sep=;
2014-02-11;4042
2014-02-19;3327
2014-07-09;3327
2014-07-24;3327
2014-08-06;4189
2014-08-27;3789
2014-09-11;3789
2014-09-25;3859
2015-05-10;17633
2015-06-17;26783
2015-06-24;29027
2015-07-05;31816
2015-07-23;33061
2015-08-05;22221
2015-09-16;24406
2015-10-14;25564
2015-10-27;25006
2015-12-10;25006
2015-12-24;20034
2015-12-31;20034
2016-01-20;20034
2016-02-01;20214
2016-02-29;26734
2016-04-15;24033
2016-04-28;24709
2016-06-15;22964
2016-07-31;23752
2016-08-31;24757
2016-11-15;26386
