sep=;
2014-02-11;15888
2014-02-19;18570
2014-02-23;20622
2014-02-26;23904
2014-03-02;27180
2014-03-05;29344
2014-03-12;28593
2014-03-16;29170
2014-03-19;29334
2014-03-23;29957
2014-04-01;30858
2014-04-09;32135
2014-04-27;32986
2014-04-29;7169
2014-06-11;7169
2014-06-18;6169
2014-07-17;6169
2014-08-06;6169
2014-09-11;6169
2014-09-18;6169
2014-09-25;8255
2014-10-01;8583
2014-10-08;10055
2015-03-18;9952
2015-04-22;9952
2015-05-27;9952
2015-06-07;9952
2015-07-05;9952
2015-07-08;9952
2015-07-23;9952
2015-11-25;17998
2016-02-16;17998
2016-08-31;17924
2016-10-16;22165
2016-11-15;22165
