#name,region,country,lat,lon,location_type,conflict_date,population
Adjumani,Nile,Uganda,3.373,31.804,camp,,92960
East_Darfur,East_Darfur,Sudan,11.077,26.844,camp,,61060
Haut-Uele,Haut-Uele,DRC,4.647,27.485,camp,,14820
Ituri,Ituri,DRC,1.85,29.966667,camp,,42170
Kakuma,Turkana,Kenya,3.729882,34.843126,camp,,17750
Kiryandongo,Western,Uganda,1.940341667,32.18017222,camp,,14440
Meri,Haut-Uele,DRC,3.839,30.144,camp,,23070
North_Darfur,North_Darfur,Sudan,14.21,25.4,camp,,19610
Rhino,Nile,Uganda,2.968,31.388,camp,,69110
South_Darfur,South_Darfur,Sudan,10.846,24.947,camp,,14260
South_Kordofan,South_Kordofan,Sudan,10.976,30.454,camp,,33040
West_Kordofan,West_Kordofan,Sudan,11.47,27.906,camp,,14110
White_Nile,White_Nile,Sudan,13.34,32.42,camp,,73760
Atar,Jonglei,South_Sudan,9.3272,31.4094,conflict_zone,283,39360
Awarajwok,Upper_Nile,South_Sudan,9.4969,31.6158,conflict_zone,136,5000
Ayod,Jonglei,South_Sudan,8.1234,31.4289,conflict_zone,279,349060
Bor,Jonglei,South_Sudan,6.2089,31.5586,conflict_zone,74,552390
Bunj,Upper_Nile,South_Sudan,9.9453,33.8094,conflict_zone,137,11230
Chukudum,Eastern_Equatoria,South_Sudan,4.2423,33.4505,conflict_zone,138,175900
Cueibet,Lakes,South_Sudan,7.0317,29.2472,conflict_zone,416,139440
Dentoang,Upper_Nile,South_Sudan,10.28,32.42,conflict_zone,247,70650
Doro,Upper_Nile,South_Sudan,10.0672,33.9429,conflict_zone,358,10000
Duk_Fadiat,Jonglei,South_Sudan,7.7508,31.4087,conflict_zone,230,162660
El-galhak,Upper_Nile,South_Sudan,11.05,32.7,conflict_zone,132,17430
Ezo,Western_Equatoria,South_Sudan,5.0706,27.4722,conflict_zone,159,129860
Gadiang,Jonglei,South_Sudan,7.397,32.0667,conflict_zone,164,36180
Ganyliel,Unity,South_Sudan,7.3932,30.476,conflict_zone,359,76150
Gel_Achel,Upper_Nile,South_Sudan,9.09,32.4,conflict_zone,330,1870
Gogrial_East,Warrap,South_Sudan,8.23,28.6,conflict_zone,330,277530
Gogrial_West,Warrap,South_Sudan,8.5348,28.1114,conflict_zone,412,609820
Ikotos,Eastern_Equatoria,South_Sudan,4.0765,33.1185,conflict_zone,40,152200
Jalle,Jonglei,South_Sudan,6.717,31.4421,conflict_zone,197,24430
Juba,Central_Equatoria,South_Sudan,4.83776,31.603165,conflict_zone,0,525950
Kajo-Keji,Central_Equatoria,South_Sudan,3.89165755,31.67633057,conflict_zone,423,280290
Kaka,Upper_Nile,South_Sudan,10.5756,32.1443,conflict_zone,339,9140
Kaljak,Jonglei,South_Sudan,9.04,31.27,conflict_zone,217,11850
Kapoeta,Eastern_Equatoria,South_Sudan,4.7762,33.5829,conflict_zone,78,145240
Khor_Adar,Upper_Nile,South_Sudan,10.3833,32.25,conflict_zone,281,54030
Koch,Unity,South_Sudan,8.54,30.01,conflict_zone,418,112040
Kodok,Upper_Nile,South_Sudan,9.888,32.117,conflict_zone,330,52640
Kotobi,Western_Equatoria,South_Sudan,5.233629,30.192522,conflict_zone,366,54520
Kuajiena,Western_Bahr_el_Ghazal,South_Sudan,7.5068,28.3033,conflict_zone,330,181400
Lafon,Eastern_Equatoria,South_Sudan,5.0333,32.4667,conflict_zone,279,185660
Lainya,Central_Equatoria,South_Sudan,4.344,31.075,conflict_zone,384,127550
Leer,Unity,South_Sudan,8.22,30.22,conflict_zone,271,79650
Liang,Upper_Nile,South_Sudan,9.87,33.65,conflict_zone,65,121920
Maban,Upper_Nile,South_Sudan,9.96,33.73,conflict_zone,147,65110
Magwi,Eastern_Equatoria,South_Sudan,4.127,32.298,conflict_zone,378,283220
Maiwut,Upper_Nile,South_Sudan,8.6031,33.9226,conflict_zone,422,113600
Makol_Cuei,Jonglei,South_Sudan,6.3755,31.6461,conflict_zone,391,45010
Malakal,Upper_Nile,South_Sudan,9.541,31.652,conflict_zone,135,181490
Malualkon,Northern_Bahr_el_Ghazal,South_Sudan,9.0213,27.628,conflict_zone,376,1023000
Maridi,Western_Equatoria,South_Sudan,4.9238,29.4626,conflict_zone,377,131850
Mayendit,Unity,South_Sudan,8.131,30.0148,conflict_zone,285,80520
Mayom,Unity,South_Sudan,9.244,29.17,conflict_zone,417,180310
Morobo,Central_Equatoria,South_Sudan,3.68,30.77,conflict_zone,358,148020
Multhiang,Upper_Nile,South_Sudan,9.01,33.5,conflict_zone,401,91440
