Time  Nyarugusu comparison Error
0 0 0.0 0.0
1 0 3591.0 1.0
2 18 5386.0 0.996658002228
3 35 7182.0 0.995126705653
4 62 8978.0 0.993094230341
5 94 10773.0 0.991274482503
6 150 12569.0 0.988065876362
7 213 14364.0 0.985171261487
8 287 16160.0 0.98224009901
9 346 17956.0 0.980730674983
10 412 19751.0 0.979140296694
11 471 21547.0 0.978140808465
12 544 23342.0 0.976694370662
13 627 25138.0 0.975057681598
14 734 26934.0 0.972748199302
15 820 28949.0 0.971674323811
16 933 30965.0 0.969869207169
17 1005 32980.0 0.969526986052
18 1116 34996.0 0.968110641216
19 1259 37012.0 0.965984005188
20 1365 39400.0 0.965355329949
21 1475 41789.0 0.964703630142
22 1600 44177.0 0.963782058537
23 1747 46566.0 0.962483356956
24 1881 48955.0 0.961576958431
25 2000 49392.0 0.959507612569
26 2118 49829.0 0.95749463164
27 2249 50267.0 0.955258917381
28 2339 50704.0 0.953869517198
29 2434 51141.0 0.952406092959
30 2526 51579.0 0.951026580585
31 2609 51711.0 0.949546518149
32 2851 51843.0 0.945007040488
33 3028 51975.0 0.941741221741
34 3209 52107.0 0.93841518414
35 3367 52239.0 0.9355462394
36 3492 52371.0 0.933321876611
37 3635 52503.0 0.930765860998
38 3784 52635.0 0.928108672936
39 3901 52767.0 0.926071218754
40 4023 52899.0 0.923949413032
41 4126 53059.0 0.922237509188
42 4268 53219.0 0.919803077848
43 4379 53380.0 0.917965530161
44 4503 53540.0 0.915894658199
45 4652 53700.0 0.913370577281
46 4805 53861.0 0.910788882494
47 4938 54021.0 0.90859110346
48 5055 54182.0 0.90670333321
49 5153 54219.0 0.904959516037
50 5248 54256.0 0.903273370687
51 5362 54294.0 0.901241389472
52 5454 54331.0 0.899615320903
53 5528 54369.0 0.898324412809
54 5608 54987.0 0.898012257443
55 5814 55606.0 0.895442937812
56 5987 56225.0 0.893517118719
57 6141 56844.0 0.891967489973
58 6247 57572.0 0.891492392135
59 6369 58300.0 0.890754716981
60 6523 59028.0 0.889493121908
61 6696 59205.0 0.886901444135
62 6858 59383.0 0.884512402539
63 7024 59561.0 0.882070482363
64 7184 59739.0 0.879743551114
65 7352 59917.0 0.877296927416
66 7529 60095.0 0.874715034529
67 7714 60273.0 0.872015662071
68 7891 60451.0 0.869464524987
69 8041 60629.0 0.867373699055
70 8212 61272.0 0.865974670322
71 8363 61916.0 0.864929905033
72 8484 62560.0 0.864386189258
73 8653 64153.0 0.865119324116
74 8798 64889.0 0.864414615728
75 8959 66943.0 0.866169726484
76 9090 69112.0 0.868474360458
77 9258 69196.0 0.866206139083
78 9394 69281.0 0.864407268948
79 9517 69365.0 0.862798241188
80 9661 69450.0 0.860892728582
81 9796 69535.0 0.859121305817
82 9921 71625.0 0.861486910995
83 10050 73715.0 0.863664111782
84 10195 74150.0 0.86250842886
85 10325 74585.0 0.861567339277
86 10467 75020.0 0.860477206078
87 10606 76956.0 0.862180986538
88 10750 77664.0 0.861583230326
89 10872 78372.0 0.861276986679
90 10997 79080.0 0.860938290339
91 11140 79268.0 0.859464096483
92 11307 79457.0 0.85769661578
93 11428 79782.0 0.856759670101
94 11588 80108.0 0.855345283867
95 11755 80219.0 0.853463643277
96 11904 80330.0 0.851811278476
97 12084 80416.0 0.849731396737
98 12208 80502.0 0.848351593749
99 12365 80588.0 0.846565245446
100 12491 80674.0 0.845166968292
101 12654 80760.0 0.843313521545
102 12804 80994.0 0.841914215868
103 12952 81228.0 0.840547594426
104 13114 81463.0 0.839018941114
105 13222 81650.0 0.838064911206
106 13369 81838.0 0.836640680369
107 13495 82025.0 0.835476988723
108 13609 82213.0 0.834466568548
109 13696 82412.0 0.833810610105
110 13786 82611.0 0.833121497137
111 13912 82811.0 0.832002994771
112 14035 83010.0 0.830923985062
113 14131 83209.0 0.830174620534
114 14256 83409.0 0.829083192461
115 14407 84526.0 0.829555403071
116 14520 85295.0 0.82976727827
117 14643 85768.0 0.829271989553
118 14742 86160.0 0.828899721448
119 14825 86572.0 0.828755255741
120 14999 87019.0 0.827635344005
121 15105 87467.0 0.827306298375
122 15202 87915.0 0.827082977876
123 15323 87925.0 0.825726471425
124 15400 88184.0 0.825365145605
125 15519 88444.0 0.824533037854
126 15611 88703.0 0.824008207163
127 15686 88963.0 0.823679507211
128 15761 89223.0 0.823352722953
129 15848 89444.0 0.822816510889
130 15904 89665.0 0.822628673395
131 15996 89935.0 0.82213821093
132 16091 90175.0 0.821558081508
133 16187 90237.0 0.820616820151
134 16267 90300.0 0.819856035437
135 16345 90363.0 0.819118444496
136 16433 90788.0 0.818995902542
137 16542 91213.0 0.818644272198
138 16607 91307.0 0.818119092731
139 16696 91402.0 0.817334412814
140 16761 91777.0 0.817372544319
141 16866 92232.0 0.817135050742
142 16972 92688.0 0.816891075436
143 17071 93144.0 0.816724641415
144 17111 93600.0 0.81719017094
145 17188 94056.0 0.817257803862
146 17264 94512.0 0.817335364821
147 17338 94967.0 0.817431318247
148 17414 95423.0 0.817507309558
149 17471 95879.0 0.81778074448
150 17500 96335.0 0.818342243214
151 17565 96791.0 0.818526515895
152 17644 97247.0 0.818565097124
153 17715 97703.0 0.818685199022
154 17808 98472.0 0.819156714599
155 17841 98877.0 0.819563700355
156 17913 99282.0 0.819574545235
157 18008 99688.0 0.819356391943
158 18088 99944.0 0.819018650444
159 18180 100201.0 0.818564684983
160 18277 100458.0 0.818063270222
161 18363 100715.0 0.81767363352
162 18430 100433.0 0.816494578475
163 18522 100152.0 0.815061107117
164 18659 99870.0 0.813167117252
165 18810 99589.0 0.811123718483
166 18940 99307.0 0.809278298609
