Day,Mahama sim,Mahama data,Mahama error,Nduta sim,Nduta data,Nduta error,Nyarugusu sim,Nyarugusu data,Nyarugusu error,Nakivale sim,Nakivale data,Nakivale error,Lusenda sim,Lusenda data,Lusenda error,Total error,refugees in camps (UNHCR),refugees in camps (simulation),raw UNHCR refugee count
0,0,0.0,0.0,0,0.0,0.0,0,210.0,1.0,0,0.0,0.0,0,0.0,0.0,0
1,519,773,0.328589909444,519,11,46.1818181818,519,3801,0.863456985004,519,186,1.79032258065,519,78,5.65384615385,0.9936069292637657,4849,4639,1795
2,810,1547,0.476405946994,810,22,35.8181818182,810,5596,0.85525375268,810,373,1.17158176944,810,156,4.19230769231,0.9620483493631401,7694,7484,3590
3,1208,2321,0.479534683326,1208,33,35.6060606061,1208,7392,0.83658008658,1208,560,1.15714285714,1208,233,4.18454935622,0.9578707657272986,10539,10329,5385
4,1643,3094,0.468972204266,1643,44,36.3409090909,1643,9188,0.821179799739,1643,747,1.19946452477,1643,312,4.26602564103,0.9579379902876354,13385,13175,7180
5,2084,3868,0.461220268873,2084,55,36.8909090909,2084,10983,0.810252207958,2084,934,1.2312633833,2084,390,4.34358974359,0.9584719654959951,16230,16020,8975
6,2606,4642,0.438604049978,2606,66,38.4848484848,2606,12779,0.7960716801,2606,1120,1.32678571429,2606,467,4.58029978587,0.9633008283527315,19074,18864,10770
7,3145,5415,0.419205909511,3145,77,39.8441558442,3145,14574,0.784204748182,3145,1307,1.40627390972,3145,546,4.76007326007,0.9673798987180072,21919,21709,12565
8,3745,6189,0.394894167071,3745,88,41.5568181818,3745,16370,0.771227855834,3745,1494,1.50669344043,3745,624,5.0016025641,0.9730668281849384,24765,24555,14360
9,4350,6963,0.375269280483,4350,99,42.9393939394,4350,18166,0.760541671254,4350,1681,1.58774538965,4350,702,5.19658119658,0.9777624859657383,27611,27401,16155
10,4992,7736,0.354705274043,4992,110,44.3818181818,4992,19961,0.749912329042,4992,1868,1.67237687366,4992,780,5.4,0.9827942866524381,30455,30245,17950
11,5652,8510,0.335840188014,5652,121,45.7107438017,5652,21757,0.740221537896,5652,2055,1.7503649635,5652,858,5.58741258741,0.9875078826461667,33301,33091,19745
12,6357,9284,0.31527358897,6357,132,47.1590909091,6357,23552,0.730086616848,6357,2241,1.83668005355,6357,935,5.79893048128,0.9928342186808322,36144,35934,21540
13,7024,10057,0.301580988366,7024,143,48.1188811189,7024,25348,0.722897270002,7024,2428,1.89291598023,7024,1014,5.92702169625,0.9962554501154142,38990,38780,23335
14,7676,10831,0.291293509371,7676,154,48.8441558442,7676,27144,0.717211906867,7676,2615,1.93537284895,7676,1092,6.0293040293,0.9989004684960321,41836,41626,25130
15,8479,11605,0.269366652305,8479,166,50.078313253,8479,29159,0.709214993655,8479,2802,2.02605281941,8479,1170,6.24700854701,1.0045209567502562,44902,44692,27145
16,9239,12378,0.253595088059,9239,177,51.197740113,9239,31175,0.703640737771,9239,2989,2.09100033456,9239,1248,6.40304487179,1.0085683907686533,47967,47757,29160
17,10045,13152,0.23623783455,10045,188,52.4308510638,10045,33190,0.697348598976,10045,3175,2.16377952756,10045,1326,6.5754147813,1.0130704865669886,51031,50821,31175
18,10831,13926,0.222246158265,10831,199,53.4271356784,10831,35206,0.692353576095,10831,3362,2.22159428911,10831,1404,6.71438746439,1.0166552673900586,54097,53887,33190
19,11663,14699,0.206544662902,11663,210,54.5380952381,11663,37222,0.686663800978,11663,3549,2.28627782474,11663,1482,6.8697705803,1.0206605787061334,57162,56952,35205
20,12588,15473,0.186453822788,12588,221,55.9592760181,12588,39610,0.682201464277,12588,3736,2.36937901499,12588,1560,7.06923076923,1.0256435643564357,60600,60390,37593
21,13535,16247,0.166923124269,13535,232,57.3405172414,13535,41999,0.677730422153,13535,3923,2.45016568952,13535,1638,7.26312576313,1.0304345789284655,64039,63829,39981
22,14445,17020,0.151292596945,14445,243,58.4444444444,14445,44387,0.674566877689,14445,4110,2.51459854015,14445,1716,7.41783216783,1.0341899341988263,67476,67266,42369
23,15370,17794,0.136225694054,15370,254,59.5118110236,15370,46776,0.671412690269,15370,4296,2.57774674115,15370,1794,7.56744704571,1.0378204585836366,70914,70704,44757
24,16361,18568,0.118860404998,16361,265,60.7396226415,16361,49165,0.667222617716,16361,4483,2.64956502342,16361,1871,7.74452164618,1.0420029051000645,74352,74142,47145
25,17101,19341,0.115816141875,17101,276,60.9601449275,17101,49602,0.655235675981,17101,4670,2.66188436831,17101,1950,7.76974358974,1.0436319044291196,75839,75629,47582
