Time,Mahama,
0,0,0
1,0,773
2,0,1547
3,0,2321
4,0,3094
5,0,3868
6,0,4642
7,0,5415
8,0,6189
9,0,6963
10,0,7736
11,1,8510
12,3,9284
13,4,10057
14,4,10831
15,4,11605
16,6,12378
17,7,13152
18,13,13926
19,19,14699
20,24,15473
21,30,16247
22,36,17020
23,40,17794
24,48,18568
25,54,19341
26,58,20115
27,66,20889
28,76,21662
29,84,22436
30,97,23210
31,112,23984
32,126,24212
33,140,24441
34,156,24670
35,167,24899
36,180,25127
37,195,25356
38,212,25585
39,241,25814
40,263,26042
41,283,26271
42,308,26500
43,331,26729
44,361,26958
45,391,27024
46,411,27091
47,447,27158
48,475,27224
49,513,27291
50,544,27358
51,578,27424
52,612,27491
53,640,27558
54,669,27625
55,700,27841
56,731,28057
57,773,28274
58,810,28490
59,845,28707
60,879,28980
61,920,29254
62,963,29410
63,1006,29441
64,1049,29472
65,1099,29504
66,1135,29563
67,1177,29623
68,1216,29719
69,1274,29816
70,1317,29866
71,1355,29916
72,1396,29966
73,1450,30016
74,1492,30066
75,1543,30116
76,1608,30166
77,1660,30216
78,1706,30266
79,1776,30316
80,1831,30367
81,1890,30647
82,1954,30701
83,2030,30756
84,2092,30810
85,2161,30865
86,2220,30920
87,2286,30974
88,2355,31029
89,2440,31084
90,2516,31114
91,2599,31145
92,2661,31176
93,2744,31206
94,2819,31237
95,2935,31268
96,3010,31299
97,3088,31329
98,3174,31360
99,3268,31391
100,3367,31422
101,3462,32524
102,3565,32794
103,3658,32878
104,3758,33431
105,3846,33977
106,3958,34523
107,4052,35070
108,4140,35710
109,4234,36231
110,4329,36753
111,4431,37643
112,4536,38334
113,4626,39025
114,4724,39717
115,4831,40157
116,4911,41176
117,5006,42172
118,5114,42268
119,5216,42364
120,5297,42460
121,5389,42557
122,5488,42653
123,5589,42749
124,5693,42845
125,5792,42942
126,5890,43038
127,5977,43134
128,6066,43230
129,6153,43327
130,6227,43430
131,6313,43534
132,6409,43567
133,6501,43600
134,6580,43633
135,6664,43667
136,6740,43716
137,6811,43741
138,6907,43779
139,6992,43817
140,7071,43856
141,7165,43894
142,7242,43932
143,7322,43971
144,7412,44010
145,7497,44050
146,7576,44090
147,7651,44124
148,7712,44159
149,7768,44193
150,7845,44228
151,7923,44330
152,8000,44182
153,8063,44035
154,8129,43887
155,8204,43740
