Time,Nyarugusu,
0,0,0
1,0,3591
2,9,5386
3,25,7182
4,60,8978
5,107,10773
6,167,12569
7,227,14364
8,288,16160
9,350,17956
10,405,19751
11,485,21547
12,570,23342
13,650,25138
14,737,26934
15,849,28949
16,949,30965
17,1048,32980
18,1163,34996
19,1259,37012
20,1354,39400
21,1476,41789
22,1586,44177
23,1724,46566
24,1864,48955
25,2005,49392
26,2135,49829
27,2266,50267
28,2376,50704
29,2477,51141
30,2572,51579
31,2666,51711
32,2890,51843
33,3090,51975
34,3266,52107
35,3441,52239
36,3589,52371
37,3722,52503
38,3888,52635
39,4023,52767
40,4152,52899
41,4269,53059
42,4405,53219
43,4533,53380
44,4688,53540
45,4860,53700
46,4993,53861
47,5121,54021
48,5253,54182
49,5354,54219
50,5474,54256
51,5579,54294
52,5686,54331
53,5798,54369
54,5895,54987
55,6085,55606
56,6236,56225
57,6394,56844
58,6580,57572
59,6702,58300
60,6821,59028
61,7027,59205
62,7200,59383
63,7350,59561
64,7527,59739
65,7718,59917
66,7901,60095
67,8078,60273
68,8270,60451
69,8448,60629
70,8615,61272
71,8770,61916
72,8953,62560
73,9103,64153
74,9238,64889
75,9383,66943
76,9523,69112
77,9643,69196
78,9774,69281
79,9916,69365
80,10061,69450
81,10204,69535
82,10337,71625
83,10449,73715
84,10577,74150
85,10697,74585
86,10820,75020
87,10955,76956
88,11086,77664
89,11222,78372
90,11348,79080
91,11493,79268
92,11635,79457
93,11753,79782
94,11891,80108
95,12014,80219
96,12171,80330
97,12341,80416
98,12476,80502
99,12597,80588
100,12716,80674
101,12864,80760
102,12994,80994
103,13107,81228
104,13253,81463
105,13365,81650
106,13488,81838
107,13593,82025
108,13664,82213
109,13758,82412
110,13889,82611
111,13981,82811
112,14079,83010
113,14188,83209
114,14282,83409
115,14390,84526
116,14511,85295
117,14626,85768
118,14725,86160
119,14816,86572
120,14926,87019
121,15031,87467
122,15137,87915
123,15248,87925
124,15346,88184
125,15467,88444
126,15553,88703
127,15664,88963
128,15748,89223
129,15846,89444
130,15940,89665
131,16032,89935
132,16128,90175
133,16196,90237
134,16258,90300
135,16340,90363
136,16428,90788
137,16473,91213
138,16544,91307
139,16609,91402
140,16690,91777
141,16769,92232
142,16860,92688
143,16941,93144
144,17012,93600
145,17060,94056
146,17122,94512
147,17192,94967
148,17245,95423
149,17319,95879
150,17380,96335
151,17424,96791
152,17468,97247
153,17530,97703
154,17589,98472
155,17684,98877
156,17764,99282
157,17836,99688
158,17905,99944
159,17978,100201
160,18055,100458
161,18128,100715
162,18187,100433
163,18279,100152
164,18383,99870
165,18488,99589
166,18580,99307
167,18669,99026
168,18769,98744
169,18857,98463
170,18941,98181
171,19031,97900
172,19111,97618
173,19189,97337
174,19258,97055
175,19304,96774
176,19381,96492
177,19451,96211
178,19504,95929
179,19579,95648
180,19637,95366
181,19702,95085
182,19779,94803
183,19861,94522
184,19948,94240
185,20052,93959
186,20169,93677
187,20266,93396
188,20365,93114
189,20439,92833
190,20541,92551
191,20617,92270
192,20696,91988
193,20785,91707
194,20862,91356
195,20951,91006
196,21024,90656
197,21112,90305
198,21191,89955
199,21262,89605
200,21319,89254
201,21382,88904
202,21492,88554
203,21551,88354
204,21628,88155
205,21704,87955
206,21786,87756
207,21848,87556
208,21907,87357
209,21973,87158
210,22031,87009
211,22081,86860
212,22146,86712
213,22192,86563
214,22265,86415
215,22334,86474
216,22397,86240
217,22470,86007
218,22520,85774
219,22580,85541
220,22659,85308
221,22713,85362
222,22786,85415
223,22852,85468
224,22907,85516
225,22979,84958
226,23042,84400
227,23092,84442
228,23131,84044
229,23190,83647
230,23247,83702
231,23328,83477
232,23375,83253
233,23438,83029
234,23492,83044
235,23541,83060
236,23598,83092
237,23655,83012
238,23718,83049
239,23778,83086
240,23849,83124
241,23886,83180
242,23952,83214
243,24014,83154
244,24065,83094
245,24118,83034
246,24175,83103
247,24221,83173
248,24277,83217
249,24324,83139
250,24374,83062
251,24424,83078
252,24459,83095
253,24512,83125
254,24568,83156
255,24618,83187
256,24662,83219
257,24732,83251
258,24788,83229
259,24833,83208
260,24888,83186
261,24942,83165
262,24985,83162
