Day,Mahama sim,Mahama data,Mahama error,Nduta sim,Nduta data,Nduta error,Nyarugusu sim,Nyarugusu data,Nyarugusu error,Nakivale sim,Nakivale data,Nakivale error,Lusenda sim,Lusenda data,Lusenda error,Total error,refugees in camps (UNHCR),refugees in camps (simulation),raw UNHCR refugee count
0,0,0.0,0.0,0,0.0,0.0,0,210.0,1.0,0,0.0,0.0,0,0.0,0.0,0
1,953,773,0.232858990944,953,11,85.6363636364,953,3801,0.749276506183,953,186,4.12365591398,953,78,11.2179487179,1.1573520313466694,4849,4639,1795
2,1526,1547,0.0135746606335,1526,22,68.3636363636,1526,5596,0.727305218013,1526,373,3.09115281501,1526,156,8.78205128205,1.0551078762672212,7694,7484,3590
3,2270,2321,0.0219732873761,2270,33,67.7878787879,2270,7392,0.692911255411,2270,560,3.05357142857,2270,233,8.74248927039,1.0586393395957872,10539,10329,5385
4,3032,3094,0.0200387847447,3032,44,67.9090909091,3032,9188,0.670004353505,3032,747,3.05890227577,3032,312,8.71794871795,1.061710870377288,13385,13175,7180
5,3855,3868,0.00336091003102,3855,55,69.0909090909,3855,10983,0.649003004644,3855,934,3.12740899358,3855,390,8.88461538462,1.0675908810844117,16230,16020,8975
6,4738,4642,0.0206807410599,4738,66,70.7878787879,4738,12779,0.629235464434,4738,1120,3.23035714286,4738,467,9.14561027837,1.085142078221663,19074,18864,10770
7,5663,5415,0.0457987072946,5663,77,72.5454545455,5663,14574,0.611431316042,5663,1307,3.33282325937,5663,546,9.37179487179,1.1048861718144076,21919,21709,12565
8,6602,6189,0.0667312974632,6602,88,74.0227272727,6602,16370,0.596701282834,6602,1494,3.41900937082,6602,624,9.58012820513,1.1217847769028872,24765,24555,14360
9,7566,6963,0.0866006031883,7566,99,75.4242424242,7566,18166,0.583507651657,7566,1681,3.500892326,7566,702,9.77777777778,1.1379160479519033,27611,27401,16155
10,8600,7736,0.111685625646,8600,110,77.1818181818,8600,19961,0.56915986173,8600,1868,3.60385438972,8600,780,10.0256410256,1.1580036118863897,30455,30245,17950
11,9661,8510,0.135252643948,9661,121,78.8429752066,9661,21757,0.555959001701,9661,2055,3.70121654501,9661,858,10.2599067599,1.1770217110597279,33301,33091,19745
12,10741,9284,0.156936665231,10741,132,80.3712121212,10741,23552,0.5439453125,10741,2241,3.79294957608,10741,935,10.4877005348,1.194748782647189,36144,35934,21540
13,11901,10057,0.1833548772,11901,143,82.2237762238,11901,25348,0.530495502604,11901,2428,3.90156507414,11901,1014,10.7366863905,1.2159271608104643,38990,38780,23335
14,13071,10831,0.206813775275,13071,154,83.8766233766,13071,27144,0.518457117595,13071,2615,3.99847036329,13071,1092,10.9697802198,1.2349411989673964,41836,41626,25130
15,14294,11605,0.231710469625,14294,166,85.1084337349,14294,29159,0.509791145101,14294,2802,4.10135617416,14294,1170,11.2170940171,1.253797158255757,44902,44692,27145
16,15610,12378,0.261108418161,15610,177,87.1920903955,15610,31175,0.499278267843,15610,2989,4.2224824356,15610,1248,11.5080128205,1.2761481852106658,47967,47757,29160
17,16923,13152,0.286724452555,16923,188,89.0159574468,16923,33190,0.490117505273,16923,3175,4.33007874016,16923,1326,11.7624434389,1.2956438243420665,51031,50821,31175
18,17210,13926,0.235817894586,17210,199,85.4824120603,17210,35206,0.511162869965,17210,3362,4.11897679952,17210,1404,11.2578347578,1.2559846202192357,54097,53887,33190
