Day,Belom sim,Belom data,Belom error,Dosseye sim,Dosseye data,Dosseye error,East sim,East data,East error,Adamaoua sim,Adamaoua data,Adamaoua error,Mole sim,Mole data,Mole error,Inke sim,Inke data,Inke error,Betou sim,Betou data,Betou error,Brazaville sim,Brazaville data,Brazaville error,Total error,refugees in camps (UNHCR),refugees in camps (simulation),raw UNHCR refugee count
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2391.0,1.0,0
1,0,1408,1.0,0,919,1.0,0,36,1.0,0,25,1.0,1231,1436,0.142757660167,0,2894,1.0,0,682,1.0,0,884,1.0,0.8514002897151135,8284,5893,15971
2,0,2816,1.0,0,1838,1.0,0,72,1.0,0,51,1.0,2730,2872,0.0494428969359,0,5788,1.0,0,1364,1.0,0,897,1.0,0.8260924958593452,15698,13307,31942
3,0,4225,1.0,4,2758,0.998549673677,5,108,0.953703703704,5,76,0.934210526316,4456,4308,0.0343546889508,0,8683,1.0,9,2046,0.995601173021,0,911,1.0,0.8190352584901579,23115,20724,47913
4,0,5633,1.0,14,3677,0.996192548273,21,145,0.855172413793,15,102,0.852941176471,5402,4382,0.232770424464,0,8711,1.0,41,2728,0.984970674487,0,925,1.0,0.8687221989887085,26303,23912,48765
5,2,7042,0.999715989776,34,4597,0.99260387209,60,181,0.668508287293,25,127,0.803149606299,6478,4456,0.453770197487,0,8739,1.0,100,3410,0.970674486804,0,938,1.0,0.909969481180061,29490,27099,49617
6,5,8450,0.999408284024,55,5516,0.990029006526,99,217,0.543778801843,55,153,0.640522875817,7510,4531,0.657470757007,0,8767,1.0,174,4092,0.957478005865,0,952,1.0,0.9406328416671766,32678,30287,50469
7,10,9858,0.998985595455,86,6435,0.986635586636,168,253,0.335968379447,82,178,0.539325842697,8605,4605,0.868621064061,0,8796,1.0,258,4774,0.945957268538,1,966,0.998964803313,0.9662623727868396,35865,33474,51321
8,19,11267,0.998313659359,132,7355,0.982053025153,240,290,0.172413793103,114,204,0.441176470588,9685,4680,1.06944444444,0,8824,1.0,342,5457,0.937328202309,2,979,0.997957099081,0.9865833674723474,39056,36665,52173
9,28,12675,0.997790927022,174,8274,0.97897026831,304,326,0.0674846625767,157,230,0.317391304348,10803,4754,1.27240218763,0,8852,1.0,447,6139,0.927186838247,3,993,0.996978851964,1.0043084061264589,42243,39852,53025
10,40,14084,0.997159897756,237,9194,0.974222318904,377,362,0.0414364640884,196,255,0.23137254902,11939,4828,1.47286661143,0,8881,1.0,581,6821,0.914821873626,4,1007,0.996027805362,1.0193255854904033,45432,43041,53877
11,60,15492,0.996127033308,304,10113,0.969939681598,468,398,0.175879396985,248,281,0.11743772242,13112,4903,1.67428105242,0,8909,1.0,716,7503,0.904571504731,4,1021,0.996082272282,1.0338543809132044,48620,46229,54729
12,85,16900,0.994970414201,364,11032,0.967005076142,558,435,0.28275862069,293,306,0.0424836601307,14307,4977,1.87462326703,0,8937,1.0,837,8185,0.897739767868,5,1034,0.995164410058,1.0474269389645987,51806,49415,55581
13,112,18309,0.993882789885,450,11952,0.96234939759,651,471,0.382165605096,358,332,0.078313253012,15529,5052,2.07383214568,0,8965,1.0,991,8867,0.888237284313,6,1048,0.99427480916,1.0594406865953887,54996,52605,56433
14,140,19717,0.992899528326,546,12871,0.957579053687,756,507,0.491124260355,418,357,0.170868347339,16764,5126,2.27038626609,0,8994,1.0,1128,9549,0.881872447377,10,1062,0.990583804143,1.0710516817627143,58183,55792,57285
15,167,21126,0.992095048755,629,13791,0.954390544558,867,544,0.59375,478,383,0.248041775457,18014,5201,2.4635646991,1,9022,0.999889159832,1271,10232,0.875781860829,12,1075,0.988837209302,1.0818424740117965,61374,58983,58137
16,204,22534,0.990947013402,725,14710,0.950713800136,983,580,0.694827586207,522,409,0.276283618582,19174,5275,2.63488151659,1,9050,0.999889502762,1411,10186,0.861476536423,19,1089,0.982552800735,1.0907211003712813,63833,61442,93368
17,236,23943,0.990143256902,811,15630,0.948112603967,1099,616,0.784090909091,566,434,0.304147465438,20306,5349,2.79622359319,2,9079,0.999779711422,1546,10141,0.847549551326,21,1103,0.980961015413,1.098906403197828,66295,63904,128599
18,264,23957,0.988980256293,898,15659,0.942652787534,1219,652,0.86963190184,624,460,0.35652173913,20954,5424,2.86320058997,2,9107,0.999780388712,1710,10096,0.830625990491,26,1116,0.976702508961,1.102676355102225,66471,64080,128847
19,314,23971,0.986900838513,1004,15689,0.936006118937,1335,689,0.937590711176,676,485,0.39381443299,21623,5498,2.93288468534,4,9135,0.9995621237,1854,10051,0.815540742215,27,1130,0.97610619469,1.1063347737366462,66648,64257,129095
20,367,23985,0.984698770065,1111,15719,0.929321203639,1453,725,1.00413793103,726,511,0.420743639922,22211,5573,2.9854656379,4,9164,0.999563509385,2011,10006,0.799020587647,29,1144,0.97465034965,1.1084890837535726,66827,64436,129343
21,411,23999,0.982874286429,1200,15748,0.9237998476,1572,761,1.06570302234,787,536,0.46828358209,22787,5647,3.03523995042,6,9192,0.999347258486,2143,9961,0.784860957735,33,1158,0.971502590674,1.1114145846392645,67002,64611,129591
22,473,24013,0.980302336235,1306,15778,0.917226517936,1674,797,1.10037641154,846,562,0.505338078292,23323,5722,3.0760223698,7,9220,0.999240780911,2282,9916,0.769866881807,40,1171,0.965841161401,1.1127286800934817,67179,64788,129839
23,530,24027,0.977941482499,1399,15808,0.911500506073,1801,834,1.15947242206,905,588,0.539115646259,23832,5796,3.11180124224,7,9248,0.999243079585,2409,9870,0.755927051672,44,1185,0.962869198312,1.114510956707643,67356,64965,130087
24,595,24041,0.975250613535,1487,15837,0.906105954411,1912,870,1.19770114943,963,613,0.570962479608,24280,5870,3.13628620102,7,9277,0.999245445726,2513,9825,0.744223918575,49,1199,0.959132610509,1.115471184031274,67532,65141,130335
25,665,24055,0.972355019746,1600,15867,0.899161782315,2002,906,1.20971302428,1015,639,0.588419405321,24706,5945,3.15576114382,8,9305,0.999140247179,2629,9780,0.73118609407,56,1212,0.953795379538,1.1149773294539869,67709,65318,130583
26,741,24069,0.969213511155,1688,15897,0.893816443354,2113,943,1.24072110286,1058,664,0.593373493976,25101,6019,3.17029406878,8,9333,0.99914282653,2737,9735,0.71884951207,64,1226,0.94779771615,1.1146333559202193,67886,65495,130831
27,798,24083,0.966864593282,1775,15926,0.888547030014,2218,979,1.26557711951,1101,690,0.595652173913,25463,6094,3.17837216935,8,9362,0.999145481735,2812,9690,0.709803921569,72,1240,0.941935483871,1.1144657968970382,68064,65673,131079
28,857,24097,0.964435406897,1863,15956,0.883241413888,2305,1015,1.27093596059,1148,715,0.605594405594,25828,6168,3.18741893645,10,9390,0.998935037274,2915,9645,0.697770865734,75,1253,0.940143655227,1.11379123375196,68239,65848,131327
29,927,24111,0.961552818216,1954,15986,0.877768047041,2390,1051,1.27402473834,1180,741,0.592442645074,26147,6242,3.18888176866,11,9418,0.998832023784,2986,9600,0.688958333333,80,1267,0.936858721389,1.1124152245088867,68416,66025,131575
30,997,24125,0.95867357513,2033,16015,0.873056509522,2481,1088,1.28033088235,1213,767,0.5814863103,26479,6317,3.19170492322,11,9447,0.998835609188,3059,9554,0.679819970693,85,1281,0.933645589383,1.1114383182202525,68594,66203,131823
31,1067,24139,0.955797671817,2131,16045,0.867186039265,2582,1124,1.29715302491,1254,792,0.583333333333,26791,6391,3.19198873416,13,9475,0.998627968338,3142,9509,0.669576190977,90,1295,0.930501930502,1.1100770684891668,68770,66379,132071
32,1153,24153,0.952262658883,2256,16075,0.85965785381,2687,1160,1.31637931034,1310,818,0.601466992665,27668,6466,3.27899783483,13,9503,0.998632010944,3259,9464,0.655642434489,91,1308,0.930428134557,1.1161036738364252,68947,66556,132319
33,1261,24167,0.94782140936,2382,16104,0.852086438152,2809,1196,1.34866220736,1367,843,0.621589561091,27992,6540,3.28012232416,13,9531,0.998636029798,3346,9419,0.644760590296,94,1322,0.928895612708,1.1144932148954023,69122,66731,132567
34,1358,24181,0.94384020512,2503,16134,0.844861782571,2932,1233,1.37793998378,1415,869,0.62830840046,28474,6615,3.3044595616,13,9560,0.998640167364,3452,9374,0.631747386388,100,1336,0.925149700599,1.1148740296095352,69302,66911,132815
35,1450,24195,0.940070262451,2626,16164,0.837540212819,3059,1269,1.41055949567,1465,894,0.63870246085,28772,6689,3.30139034235,14,9588,0.998539841469,3537,9329,0.620859684854,111,1349,0.917716827279,1.1130446046893216,69477,67086,133063
36,1550,24209,0.935974224462,2723,16193,0.831840918916,3158,1305,1.41992337165,1500,920,0.630434782609,29141,6763,3.30888658879,16,9616,0.998336106489,3619,9284,0.61018957346,123,1363,0.909757887014,1.1118688355131867,69653,67262,133311
37,1637,24223,0.932419601205,2835,16223,0.825248104543,3266,1342,1.43368107303,1541,946,0.628964059197,29400,6838,3.29950277859,16,9645,0.998341109383,3697,9239,0.599848468449,130,1377,0.905591866376,1.1094038635029284,69833,67442,133559
38,1715,24237,0.929240417543,2961,16253,0.817818248939,3346,1378,1.42815674891,1577,971,0.624098867147,29724,6912,3.30034722222,17,9673,0.998242530756,3781,9193,0.588708800174,144,1390,0.896402877698,1.1072321339294642,70007,67616,133807
39,1815,24251,0.925157725455,3060,16282,0.812062400197,3461,1414,1.44766619519,1614,997,0.618856569709,29969,6987,3.28925146701,19,9701,0.998041439027,3844,9148,0.579798863139,151,1404,0.89245014245,1.1048529579391315,70184,67793,134055
40,1905,24265,0.921491860705,3167,16312,0.805848455125,3539,1450,1.44068965517,1641,1022,0.605675146771,30222,7061,3.28013029316,19,9729,0.998047075753,3901,9103,0.571459958256,159,1418,0.887870239774,1.1021176805002844,70360,67969,134303
41,2010,24279,0.917212405783,3252,16342,0.801003549137,3617,1487,1.43241425689,1666,1048,0.589694656489,30446,7136,3.26653587444,22,9758,0.997745439639,3960,9058,0.562817398984,165,1432,0.884776536313,1.0989225971080239,70540,68149,134551
42,2108,24293,0.91322603219,3328,16372,0.796726117762,3704,1523,1.43204202232,1687,1073,0.572227399814,30637,7210,3.2492371706,24,9786,0.997547516861,4023,9013,0.553644735382,169,1445,0.883044982699,1.0956515590751608,70715,68324,134799
43,2189,24307,0.909943637635,3404,16401,0.792451679776,3777,1559,1.42270686337,1718,1099,0.563239308462,30837,7284,3.23352553542,25,9814,0.997452618708,4072,8968,0.545941123996,176,1459,0.879369431117,1.0928467647515199,70891,68500,135047
44,2270,24321,0.906665021997,3473,16431,0.788631245816,3863,1595,1.42194357367,1751,1125,0.556444444444,31047,7359,3.21891561353,25,9843,0.997460123946,4129,8923,0.537263252269,183,1473,0.875763747454,1.0903756859434361,71070,68679,135295
45,2351,24335,0.903390178755,3530,16461,0.785553733066,3932,1632,1.40931372549,1771,1150,0.54,31271,7433,3.20704964348,25,9871,0.997467328538,4179,8877,0.529232848935,190,1486,0.872139973082,1.0879921397992842,71245,68854,135543
46,2434,24349,0.900036962504,3595,16490,0.781989084294,3995,1668,1.39508393285,1794,1176,0.525510204082,31461,7508,3.19033031433,26,9899,0.997373472068,4227,8832,0.521399456522,194,1500,0.870666666667,1.084987818879337,71422,69031,135791
47,2529,24363,0.896195049871,3643,16520,0.779479418886,4081,1704,1.39495305164,1831,1201,0.52456286428,31665,7582,3.17633869691,27,9928,0.997280419017,4276,8787,0.513372026858,200,1514,0.867899603699,1.0827944524364865,71599,69208,136039
48,2600,24377,0.893342084752,3700,16550,0.776435045317,4165,1741,1.39230327398,1849,1227,0.506927465363,31852,7656,3.16039707419,27,9956,0.997288067497,4315,8742,0.506405856783,213,1527,0.860510805501,1.0802914623272404,71776,69385,136287
49,2674,24391,0.890369398549,3774,16579,0.77236262742,4258,1777,1.39617332583,1863,1252,0.488019169329,32041,7731,3.14448324926,28,9984,0.997195512821,4352,8697,0.499597562378,221,1541,0.856586632057,1.0777323771403158,71952,69561,136535
50,2748,24405,0.887400122926,3848,16609,0.7683183816,4320,1813,1.38279095422,1874,1278,0.466353677621,32190,7805,3.12427930814,29,10012,0.997103475829,4390,8652,0.492602866389,225,1555,0.855305466238,1.0742003909661857,72129,69738,136783
51,2822,24419,0.884434252017,3904,16639,0.765370515055,4388,1849,1.37317468902,1899,1304,0.456288343558,32385,7880,3.1097715736,30,10041,0.997012249776,4420,8607,0.486464505635,227,1569,0.855321861058,1.071956076782652,72308,69917,137031
52,2896,24433,0.88147177997,3942,16668,0.763498920086,4446,1886,1.35737009544,1913,1329,0.43942814146,32568,7954,3.09454362585,33,10069,0.996722613964,4458,8561,0.479266440836,234,1582,0.85208596713,1.0693413537154053,72482,70091,137279
53,2967,24447,0.878635415388,3989,16698,0.761109114864,4533,1922,1.35848074922,1929,1355,0.423616236162,32724,8029,3.07572549508,35,10097,0.996533623849,4494,8516,0.472287458901,238,1596,0.850877192982,1.0667630057803468,72660,70269,137527
54,3055,24461,0.875107313683,4034,16728,0.758847441416,4598,1958,1.34831460674,1945,1380,0.409420289855,32884,8103,3.05825003085,35,10126,0.996543551254,4526,8471,0.465706528155,250,1610,0.844720496894,1.0637725331905488,72837,70446,137775
55,3129,24475,0.87215526047,4075,16757,0.75681804619,4660,1994,1.3370110331,1958,1406,0.392603129445,33041,8177,3.0407239819,35,10154,0.996553082529,4567,8426,0.45798718253,256,1623,0.842267406038,1.0608530104640332,73012,70621,138023
56,3188,24489,0.869819102454,4124,16787,0.754333710609,4719,2031,1.3234859675,1973,1431,0.378756114605,33167,8252,3.01926805623,35,10182,0.996562561383,4605,8381,0.450542894643,261,1637,0.840562003665,1.057630823883044,73190,70799,138271
57,3258,24503,0.867036689385,4169,16817,0.752096093239,4787,2067,1.31591678761,1981,1457,0.359643102265,33325,8326,3.00252221955,35,10211,0.996572323964,4645,8336,0.44277831094,266,1651,0.838885523925,1.0547922800130847,73368,70977,138519
58,3322,24517,0.864502182159,4202,16846,0.750563932091,4853,2103,1.30765572991,1990,1483,0.341874578557,33457,8401,2.98250208309,36,10239,0.996484031644,4676,8291,0.436014955976,272,1664,0.836538461538,1.0519145001631676,73544,71153,138767
59,3414,24531,0.860829154947,4243,16876,0.748577862053,4922,2139,1.30107526882,2004,1508,0.328912466844,33601,8475,2.96471976401,36,10267,0.996493620337,4716,8246,0.428086344894,279,1678,0.833730631704,1.048765599565925,73720,71329,139015
60,3467,24545,0.858749236097,4286,16906,0.746480539453,4973,2176,1.28538602941,2018,1534,0.315514993481,33704,8550,2.94198830409,38,10295,0.99630888781,4754,8200,0.420243902439,286,1692,0.830969267139,1.0452515629651682,73898,71507,139263
61,3531,24559,0.856223787614,4330,16935,0.744316504281,5031,2212,1.27441229656,2026,1559,0.299550994227,33857,8624,2.92590445269,39,10324,0.996222394421,4792,8155,0.412385039853,290,1706,0.830011723329,1.0424170424170425,74074,71683,139511
62,3606,24573,0.853253570993,4374,16965,0.742175066313,5096,2248,1.26690391459,2042,1585,0.28832807571,34002,8698,2.90917452288,40,10352,0.996136012365,4814,8110,0.406411837238,295,1719,0.828388598022,1.0397171717171718,74250,71859,139759
63,3670,24587,0.850734127791,4431,16995,0.739276257723,5152,2285,1.25470459519,2057,1610,0.277639751553,34160,8773,2.89376496067,40,10380,0.996146435453,4847,8065,0.399008059516,306,1733,0.823427582227,1.036800666415865,74428,72037,140007
64,3746,24601,0.847729767083,4461,17024,0.737958176692,5199,2321,1.23998276605,2067,1636,0.263447432763,34273,8847,2.87396857692,40,10409,0.996157171678,4882,8020,0.391271820449,313,1747,0.820835718374,1.0333623751759264,74605,72214,140255
65,3807,24615,0.84533820841,4494,17054,0.7364841093,5262,2357,1.23249893933,2075,1662,0.248495788207,34405,8922,2.85619816185,40,10437,0.996167481077,4919,7975,0.383197492163,320,1760,0.818181818182,1.0304886202562114,74782,72391,140503
66,3866,24629,0.843030573714,4530,17084,0.734839616015,5317,2393,1.22189720017,2093,1687,0.240663900415,34544,8996,2.83992885727,41,10465,0.996082178691,4950,7930,0.37578814628,323,1774,0.817925591883,1.0279089623522506,74958,72567,140751
67,3938,24643,0.840198027838,4572,17114,0.732850298002,5369,2430,1.20946502058,2104,1713,0.228254524227,34658,9071,2.82074743689,42,10494,0.995997712979,4998,7884,0.366057838661,328,1788,0.816554809843,1.0242889654897054,75137,72746,140999
68,4008,24657,0.837449811413,4618,17143,0.730618911509,5420,2466,1.19789132198,2119,1738,0.219217491369,34787,9085,2.82905888828,43,10557,0.995926873165,5036,7839,0.357571118765,331,1801,0.816213214881,1.0227399516510374,75286,72895,141159
69,4079,24671,0.834664180617,4662,17173,0.728527339428,5467,2502,1.18505195843,2136,1764,0.210884353741,34897,9099,2.83525662161,47,10620,0.995574387947,5057,7794,0.351167564793,336,1815,0.814876033058,1.0210636549219227,75438,73047,141319
