car2014//refugees.csv
car2014//cha-amboko.csv
car2014//cha-belom.csv
car2014//cha-dosseye.csv
car2014//cha-gondje.csv
car2014//cha-moyo.csv
car2014//cam-east.csv
car2014//cam-adamaoua.csv
car2014//dcon-bili.csv
car2014//dcon-bossobolo.csv
car2014//dcon-mole.csv
car2014//dcon-inke.csv
car2014//con-betou.csv
car2014//con-brazaville.csv
Day,Amboko sim,Amboko data,Amboko error,Belom sim,Belom data,Belom error,Dosseye sim,Dosseye data,Dosseye error,Gondje sim,Gondje data,Gondje error,Moyo sim,Moyo data,Moyo error,East sim,East data,East error,Adamaoua sim,Adamaoua data,Adamaoua error,Mole sim,Mole data,Mole error,Bili sim,Bili data,Bili error,Bossobolo sim,Bossobolo data,Bossobolo error,Inke sim,Inke data,Inke error,Betou sim,Betou data,Betou error,Brazaville sim,Brazaville data,Brazaville error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,retrofitted time,refugees in camps (simulation),refugee_debt,Total error (retrofitted)
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7122.14789253,1.0,0,6173.00774935,1.0,0,0.0,0.0,0,0.0,0.0,5431,0.0,0.0,0,0.0,0.0,0,18054.0,1.0,0,0.0,0.0,0,4816.0,1.0,0,0.0,0.0,1.1501771226843656,36165,36165,36165,0,5431,0,1.1501771226843656
1,0,411,1.0,187,972,0.807613168724,64,863,0.9258400927,0,7122.14789253,1.0,23,6173.00774935,0.996274101551,0,35,1.0,0,25,1.0,6782,3084,1.1990920882,0,0.0,0.0,0,18054.0,1.0,0,2325,1.0,0,4816.0,1.0,0,21,1.0,1.0077482435908085,43901,43901,43901,0,7056,0,0.9834663365727451
2,11,822,0.986618004866,302,1945,0.844730077121,136,1726,0.921205098494,0,7122.14789253,1.0,45,6173.00774935,0.992710198686,3,70,0.957142857143,2,51,0.960784313725,8410,6168,0.363488975357,0,0.0,0.0,0,18054.0,1.0,45,4650,0.990322580645,127,4816.0,0.973629568106,0,43,1.0,0.9109828745522867,51640,51640,51640,0,9081,0,0.8695227661092193
3,26,1233,0.978913219789,431,2918,0.852296093215,191,2589,0.926226342217,0,7122.14789253,1.0,74,6173.00774935,0.988012326729,13,105,0.87619047619,7,76,0.907894736842,10028,9252,0.0838737570255,2,0.0,0.0,3,18054.0,0.999833831838,216,6975,0.969032258065,326,4816.0,0.9323089701,0,64,1.0,0.8356123691308096,59377,59377,59377,0,11317,0,0.7860982475012224
4,53,1644,0.967761557178,548,3891,0.859162169108,248,3452,0.928157589803,0,7122.14789253,1.0,102,6173.00774935,0.983476450356,23,140,0.835714285714,7,102,0.93137254902,10885,9252,0.176502377864,14,0.0,0.0,12,18054.0,0.999335327351,398,6998,0.943126607602,616,4816.0,0.872093023256,0,86,1.0,0.8442921698020425,61730,61730,61730,0,12906,0,0.7712806681010868
5,86,2055,0.958150851582,641,4864,0.868215460526,321,4315,0.92560834299,0,7122.14789253,1.0,148,6173.00774935,0.976024653458,38,175,0.782857142857,12,127,0.905511811024,11666,9252,0.260916558582,29,0.0,0.0,27,18054.0,0.99850448654,615,7021,0.912405640222,949,4816.0,0.802948504983,0,107,1.0,0.8494741911312258,64081,64081,64081,0,14532,0,0.7560611669899047
6,132,2466,0.946472019465,762,5837,0.86945348638,388,5178,0.925067593666,0,7122.14789253,1.0,188,6173.00774935,0.969544830068,54,210,0.742857142857,21,153,0.862745098039,12397,9252,0.339926502378,49,0.0,0.0,46,18054.0,0.99745208818,865,7044,0.877200454287,1295,4816.0,0.731104651163,0,129,1.0,0.8523520432591758,66434,66434,66434,0,16197,0,0.7421524466670694
7,191,2877,0.933611400765,905,6810,0.867107195301,458,6041,0.924184737626,0,7122.14789253,1.0,250,6173.00774935,0.959501103813,73,245,0.702040816327,27,178,0.848314606742,13113,9252,0.417315175097,77,0.0,0.0,85,18054.0,0.995291902072,1083,7066,0.846730823663,1667,4816.0,0.653862126246,6,150,0.96,0.8537618580175634,68784,68784,68784,0,17935,0,0.728311171811469
8,290,3289,0.911827303132,1036,7783,0.866889374277,520,6904,0.924681344148,1,7122.14789253,0.999859592918,316,6173.00774935,0.94880939522,91,280,0.675,32,204,0.843137254902,13800,9252,0.491569390402,127,0.0,0.0,129,18054.0,0.992854769026,1334,7089,0.81182113133,2024,4816.0,0.579734219269,11,172,0.936046511628,0.8543556979656454,71138,71138,71138,0,19711,0,0.7160189440507195
9,387,3700,0.895405405405,1178,8756,0.865463682047,593,7767,0.923651345436,2,7122.14789253,0.999719185837,393,6173.00774935,0.936335735195,108,315,0.657142857143,42,229,0.816593886463,14525,9252,0.569930825767,170,0.0,0.0,180,18054.0,0.990029910269,1580,7112,0.777840269966,2430,4816.0,0.495431893688,17,193,0.911917098446,0.8541435540268623,73489,73489,73489,0,21605,0,0.7043252138671104
10,481,4111,0.882996837752,1322,9729,0.864117586597,666,8631,0.9228362878,3,7122.14789253,0.999578778755,486,6173.00774935,0.921270145813,136,350,0.611428571429,51,255,0.8,15151,9252,0.637591872028,219,0.0,0.0,220,18054.0,0.987814334773,1792,7134,0.748808522568,2766,4816.0,0.425664451827,27,215,0.874418604651,0.8538561172157918,75842,75842,75842,0,23320,0,0.6926921183760988
11,581,4522,0.871517027864,1464,10702,0.8632031396,755,9494,0.920476090162,3,7122.14789253,0.999578778755,595,6173.00774935,0.903612627076,166,385,0.568831168831,59,280,0.789285714286,15859,9252,0.71411586684,262,0.0,0.0,268,18054.0,0.985155644179,2005,7157,0.719854687718,3121,4816.0,0.351951827243,31,236,0.868644067797,0.8538124338736216,78193,78193,78193,0,25169,0,0.6824160173145944
12,676,4933,0.862963713764,1598,11675,0.86312633833,823,10357,0.920536834991,3,7122.14789253,0.999578778755,727,6173.00774935,0.882229209889,198,420,0.528571428571,66,306,0.78431372549,16556,9252,0.789450929529,307,0.0,0.0,305,18054.0,0.983106236845,2220,7180,0.690807799443,3531,4816.0,0.266818936877,35,258,0.864341085271,0.8532162446537394,80546,80546,80546,0,27045,0,0.6713946768539727
13,783,5344,0.853480538922,1753,12648,0.861401012018,903,11220,0.919518716578,4,7122.14789253,0.999438371674,851,6173.00774935,0.862141757381,234,455,0.485714285714,73,331,0.779456193353,17206,9252,0.859706009511,358,0.0,0.0,353,18054.0,0.98044754625,2449,7203,0.660002776621,3899,4816.0,0.190406976744,50,280,0.821428571429,0.8517232700653826,82898,82898,82898,0,28916,0,0.6618634423252682
14,883,5755,0.846568201564,1898,13621,0.860656339476,970,12083,0.919721923363,5,7122.14789253,0.999297964592,990,6173.00774935,0.839624371101,266,490,0.457142857143,78,357,0.781512605042,17870,9252,0.931474275832,398,0.0,0.0,391,18054.0,0.978342749529,2643,7225,0.634186851211,4259,4816.0,0.115656146179,66,301,0.78073089701,0.8512024263261749,85249,85249,85249,0,30717,0,0.6521150470020772
15,977,6166,0.841550437885,2045,14593,0.859864318509,1048,12946,0.919048354704,6,7122.14789253,0.999157557511,1135,6173.00774935,0.816135011313,293,525,0.441904761905,88,382,0.769633507853,18500,9252,0.999567661046,455,0.0,0.0,429,18054.0,0.976237952808,2841,7248,0.608029801325,4656,4816.0,0.0332225913621,78,323,0.758513931889,0.8499446991082202,87600,87600,87600,0,32551,0,0.6422848817566219
16,1080,6578,0.835816357555,2196,15566,0.85892329436,1137,13809,0.917662394091,7,7122.14789253,0.999017150429,1276,6173.00774935,0.793293633864,336,560,0.4,96,408,0.764705882353,19135,9252,1.06820146995,490,0.0,0.0,462,18054.0,0.974410103024,3036,7271,0.582450832073,5045,4816.0,0.047549833887,90,344,0.738372093023,0.8534585354783063,89953,89953,89953,0,34386,0,0.638435134368838
17,1180,6989,0.831163256546,2326,16539,0.859362718423,1213,14672,0.917325517993,7,7122.14789253,0.999017150429,1433,6173.00774935,0.767860327058,364,595,0.388235294118,102,433,0.764434180139,19792,9252,1.1392131431,527,0.0,0.0,496,18054.0,0.972526863853,3227,7294,0.557581573896,5409,4816.0,0.123131229236,103,366,0.718579234973,0.8606917896308985,92305,92305,92305,0.0017896016183967373,36179,0,0.6373344417082507
18,1298,6989,0.814279582201,2490,16549,0.849537736419,1288,14700,0.912380952381,7,7122,0.99901713002,1575,6177,0.74502185527,405,630,0.357142857143,114,459,0.751633986928,20083,9252,1.17066580199,576,0.0,0.0,533,18054.0,0.970477456519,3394,7316,0.53608529251,5759,4816.0,0.195805647841,113,387,0.708010335917,0.8600973499188751,92451,92450,92450,0.19000056335572868,37635,0,0.6324841064562475
19,1397,6989,0.800114465589,2642,16559,0.840449302494,1385,14728,0.905961434003,9,7122,0.998736310025,1729,6181,0.72027180068,435,665,0.345864661654,122,484,0.747933884298,20365,9252,1.20114569823,608,0.0,0.0,565,18054.0,0.968704996123,3577,7339,0.512603896989,6112,4816.0,0.269102990033,126,409,0.691931540342,0.8592071017419571,92598,92597,92597,0.3757554754550048,39072,0,0.6273978167962254
20,1509,6989,0.784089283159,2806,16568,0.83063737325,1466,14756,0.900650582814,11,7122,0.998455490031,1855,6186,0.700129324281,470,700,0.328571428571,129,510,0.747058823529,20646,9252,1.23151750973,654,0.0,0.0,599,18054.0,0.966821756951,3735,7362,0.492665036675,6463,4816.0,0.341985049834,149,430,0.653488372093,0.8587401880445096,92745,92744,92744,0.559312869457073,40492,0,0.6228991162973355
21,1602,6989,0.770782658463,2966,16578,0.821088189166,1544,14784,0.895562770563,14,7122,0.998034260039,1989,6190,0.678675282714,501,735,0.318367346939,134,535,0.74953271028,20620,9252,1.22870730653,696,0.0,0.0,638,18054.0,0.964661570843,3933,7385,0.467433987813,6792,4816.0,0.410299003322,161,452,0.643805309735,0.8545714870116589,92892,92891,92891,0.7012466853826159,41590,0,0.6181239909343218
22,1686,6989,0.758763771641,3109,16588,0.812575355679,1616,14812,0.890899270861,17,7122,0.997613030048,2137,6194,0.654988698741,538,770,0.301298701299,139,561,0.752228163993,20600,9252,1.22654561176,737,0.0,0.0,670,18054.0,0.962889110446,4085,7407,0.448494667207,7106,4816.0,0.47549833887,176,473,0.627906976744,0.8509732686995496,93038,93037,93037,0.8338733658376315,42616,0,0.6132308182968076
23,1792,6988,0.743560389239,3249,16597,0.804241730433,1687,14839,0.886313093874,17,7122,0.997613030048,2254,6199,0.636392966608,576,805,0.284472049689,144,586,0.754266211604,20581,9252,1.22449200173,779,0.0,0.0,705,18054.0,0.960950481888,4217,7430,0.432436069987,7454,4816.0,0.547757475083,197,495,0.60202020202,0.8480500525852632,93183,93182,93182,0.9677927039968869,43652,0,0.6090141405194145
24,1878,6988,0.731253577562,3391,16607,0.795808996206,1739,14867,0.883029528486,18,7122,0.997472620051,2407,6203,0.611961953893,618,840,0.264285714286,151,612,0.753267973856,20555,9252,1.22168179853,819,0.0,0.0,726,18054.0,0.959787304752,4334,7453,0.41848919898,7747,4816.0,0.608596345515,212,516,0.589147286822,0.844764221195984,93330,93329,93329,1.0896555573226407,44595,0,0.6042940098134565
25,1978,6988,0.716943331425,3532,16617,0.787446590841,1801,14895,0.879086941927,20,7122,0.997191800056,2546,6207,0.589817947479,647,875,0.260571428571,157,637,0.753532182104,20537,9252,1.21973627324,859,0.0,0.0,752,18054.0,0.95834718068,4489,7475,0.399464882943,8058,4816.0,0.673172757475,230,538,0.57249070632,0.8413158598555763,93476,93475,93475,1.2202925905310658,45606,0,0.5997663080169038
