"#name1","name2","distance","forced_redirection"
"Alamata","Woldia",80,
"Wereta","Woldia",297,
"Woldia","Semera",245,
"Semera","Galafi",114,
"Alamata","Mehoni",50,
"Alamata","Korem",20,
"Korem","Maychew",41,
"Maychew","Mehoni",18,
"Maychew","Mekele",129,
"Mekele","Hagere_Selam",55,
"Hagere_Selam","Adiy_Addi",43,
"Mekele","Wukro",47,
"Wukro","Adiy_Addi",114,
"Wukro","Dinglet",25,
"Dinglet","Freweyni",23,
"Wukro","Atsbi",26,
"Freweyni","Hawzen",22,
"Dinglet","Hawzen",23,
"Adiy_Addi","Hawzen",82,
"Freweyni","Idaga_Hamus",17,
"Idaga_Hamus","Adigrat",20,
"Adigrat","Siero",51,
"Adigrat","Sehra",41,
"Siero","Gerhu_Sirnay",30,
"Gerhu_Sirnay","Tsorona",21,
"Adwa","Rama",38,
"Siero","Inticho",16,
"Inticho","Adwa",40,
"Adwa","Axum",21,
"Axum","Shire",64,
"Shire","Sheraro",77,
"Shire","Aba_Guna",21,
"Aba_Guna","Mai_Aini",47,
"Mai_Aini","Adi_Harush",11,
"Adi_Harush","Gondar",207,
"Shire","Hitsats",44,
"Hitsats","Shimelba",50,
"Shimelba","Denbe_Khabela",16,
"Sheraro","Denbe_Khabela",31,
"Denbe_Khabela","Adi_Goshu",66,
"Hitsats","Dedebit",32,
"Dedebit","Shimelba",14,
"Dedebit","Adi_Goshu",87,
"Adi_Goshu","Fireselam",50,
"Fireselam","Adebay",23,
"Adebay","Humera",19,
"Humera","Hamdayet",20,
"Humera","Adi_Ramets",125,
"Humera","Dansha",102,
"Humera","May_Cadera",30,
"May_Cadera","Dansha",108,
"May_Cadera","Adi_Ramets",126,
"May_Cadera","Lugdi",14,
"May_Cadera","Midre_Genet",47,
"Midre_Genet","Abderafi",7,
"Midre_Genet","Arema",108,
"Adi_Goshu","Adi_Ramets",102,
"Adi_Ramets","Gondar",189,
"Adi_Ramets","Dansha",89,
"Dansha","Arema",28,
"Arema","Gondar",124,
"Gondar","Dangur",61,
"Dangur","Shehibi",106,
"Gondar","Wereta",117,
"Wereta","Bahir_Dar",61,
"Bahir_Dar","Gilgel_Belles",172,
"Genete_Mariam","Gilgel_Belles",70,
"Genete_Mariam","Gubba",107,
"Shehibi","Metema",35,
"Metema","Midre_Genet",135,
"Shehibi","Almahal",380,
"Almahal","Wad_Al_Mahi",76,
"Almahal","Gubba",51,
"Gubba","Asosa",243,
"Asosa","Bambasi",43,
"Bambasi","Nedjo",122,
"Gilgel_Belles","Dibate",77,
"Gubba","Wembera",121,
"Wembera","Bulen",80,
"Bulen","Dibate",36,
"Bahir_Dar","Enjebara",114,
"Enjebara","Dibate",121,
"Enjebara","Shambu",216,
"Shambu","Bako",66,
"Bako","Nedjo",261,
"Nedjo","Dambidollo",198,
"Dambidollo","Bambasi",224,
"Bako","Ambo",121,
"Ambo","Gimbi",29,
"Ambo","Addis_Ababa",115,
"Bahir_Dar","Addis_Ababa",486,
"Addis_Ababa","Mojo",77,
"Mojo","Nazret",20,
"Nazret","Awash",123,
"Awash","Mieso",79,
"Awash","Galafi",488,
"Mojo","Shashamane",178,
"Shashamane","Dilla",110,
"Dilla","Negele",260,
