#Day,Futaba,Okuma,Namie,Tomioka,Naraha,Minamisoma,Kawauchi,Iitate
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0
2,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0
3,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0
4,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0
5,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0
6,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0
7,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0
8,1.0,1.0,1.0,0.8,0.8,0.0,0.0,0.0
9,1.0,1.0,1.0,0.8,0.8,0.0,0.0,0.0
10,1.0,1.0,1.0,0.8,0.8,0.0,0.0,0.0
11,1.0,1.0,1.0,0.8,0.8,0.0,0.0,0.0
12,1.0,1.0,1.0,0.8,0.8,0.0,0.0,0.0
13,1.0,1.0,1.0,0.8,0.8,0.0,0.0,0.0
14,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
15,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
16,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
17,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
18,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
19,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
20,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
21,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
22,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
23,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
24,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
25,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
26,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
27,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
28,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
29,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
30,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
31,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
32,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
33,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
34,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
35,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
36,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
37,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
38,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
39,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
40,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
41,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
42,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
43,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
44,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
45,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
46,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
47,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
48,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
49,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
50,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
51,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
52,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
53,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
54,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
55,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
56,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
57,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
58,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
59,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
60,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
61,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
62,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
63,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
64,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
65,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
66,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
67,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
68,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
69,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
70,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
71,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
72,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.8
