#name,region,country,gps_x,gps_y,location_type,conflict_date,pop/cap,conflict_intensity
Futaba,Fukushima,Japan,141.0056,37.4372,conflict,-1,6900,0
Okuma,Fukushima,Japan,141.0278,37.4067,conflict,-1,11500,0
Namie,Fukushima,Japan,141.0,37.4833,conflict,-1,20500,0
Tomioka,Fukushima,Japan,141.0167,37.3431,town,-1,15800,0
Naraha,Fukushima,Japan,141.0167,37.2833,town,-1,7700,0
Minamisoma,Fukushima,Japan,140.9578,37.6417,town,-1,70000,0
Kawauchi,Fukushima,Japan,140.8167,37.3333,town,-1,2800,0
Iitate,Fukushima,Japan,140.8,37.65,town,-1,6200,0
Koriyama,Fukushima,Japan,140.3633,37.4019,camp,-1,500000,0
Iwaki,Fukushima,Japan,140.8833,37.05,camp,-1,500000,0
Fukushima_City,Fukushima,Japan,140.4747,37.7608,camp,-1,500000,0
Sendai,Fukushima,Japan,140.8721,38.2688,camp,-1,500000,0
