"#name","region","country","latitude","longitude","location_type","conflict_date","population"
"Kidal","Kidal","Mali",18.444305,1.401523,"conflict_zone",0,25617
"Timbuktu","Timbuktu","Mali",16.78026,-3.00159,"conflict_zone",0,54453
"Niafounke","Timbuktu","Mali",15.9316,-3.9908,"conflict_zone",0,1000
"Menaka","Menaka","Mali",15.9191,2.3991,"conflict_zone",1,20702
"Tenenkou","Mopti","Mali",14.5004532,-4.8748448,"conflict_zone",2,11310
"Dire","Timbuktu","Mali",16.268,-3.397,"conflict_zone",13,22365
"Gao","Gao","Mali",16.27091,-0.04021,"conflict_zone",23,86633
"Bourem","Gao","Mali",16.958,-0.3462,"conflict_zone",30,27486
"Ansongo","Gao","Mali",15.6639,0.5067,"conflict_zone",30,32709
"Bamako","Koulikoro","Mali",12.6494,-8.0005,"conflict_zone",163,1809106
"Douentza","Mopti","Mali",15.0071,-2.953,"conflict_zone",185,28005
"Lere","Mopti","Mali",14.2116,-3.0654,"conflict_zone",273,16072
"Mopti","Mopti","Mali",14.4877,-4.1887,"town",,148456
"Konna","Mopti","Mali",14.944,-3.8904,"town",,36767
"Segou","Segou","Mali",13.4427,-6.2687,"town",,130690
"Goundam","Timbuktu","Mali",16.417,-3.6639,"town",,16253
"Fassala-Mbera","Hodh_Ech","Mauritania",15.639012,-5.751422,"camp",,75882
"Mentao","Pobe_Mengao","Burkina_Faso",13.953801,-1.6743223,"camp",,6905
"Bobo-Dioulasso","Kenedougou","Burkina_Faso",11.1757,-4.297,"camp",,1926
"Abala","Tahoua","Niger",14.9502,5.0835,"camp",,11387
"Mangaize","Tillaberi","Niger",14.6836,1.9535,"camp",,3435
"Niamey","Niamey","Niger",13.5285,2.1156,"camp",,6327
"Tabareybarey","Tillaberi","Niger",14.7786,0.9508,"camp",,6198
