#name1,name2,distance,forced_redirection
Hama,Homs,50,0
As-Sweida,Daraa,49,0
Damascus,Lebanon,52,0
Daraa,Jordan,55,0
Shadadeh,Al_Hasakeh,64,0
Damascus,Quneitra,64,0
Aleppo,Turkey,68,0
Aleppo,Idleb,68,0
Quneitra,Daraa,72,0
As-Sweida,Jordan,85,0
As-Sweida,Quneitra,97,0
Qalamoun,Damascus,99,0
Quneitra,Lebanon,101,0
Qalamoun,Homs,102,0
As-Sweida,Damascus,105,0
Hama,Idleb,105,0
Damascus,Daraa,113,0
Idleb,Latakia,120,0
Shadadeh,Deir_ez_Zur,129,0
Aleppo,Hama,139,0
Deir_ez_Zur,Raqqa,140,0
Homs,Lebanon,148,0
Damascus,Jordan,149,0
Damascus,Homs,163,0
Al_Hasakeh,Deir_ez_Zur,174,0
Latakia,Aleppo,177,0
Homs,Latakia,178,0
Shadadeh,Raqqa,197,0
Aleppo,Raqqa,200,0
Al_Hasakeh,Raqqa,204,0
Al_Hasakeh,Iraq,277,0
Deir_ez_Zur,Aleppo,326,0
