building,type,Latitude,Longitude
yes,9,51.5597717165299,-0.21664464770873385
residential,8,51.5281589112042,-0.19272380927406138
yes,9,51.55951455053375,-0.2163875554331109
residential,8,51.52799320186879,-0.19247961447866788
,0,51.54730164981415,-0.256297606217159
yes,9,51.53949329263199,-0.20794646218774426
residential,8,51.52859634603466,-0.1933455597018454
,0,51.54789635359973,-0.2610274474318999
,0,51.55615214132864,-0.2792295080015803
yes,9,51.544243769252574,-0.25471139132837917
yes,9,51.55013505555401,-0.3059544003966059
,0,51.53176875975901,-0.2427761591544329
yes,9,51.5601199,-0.21699034999999997
university,5,51.551709208684514,-0.2444264839216199
,0,51.52948617259086,-0.2086809242793518
school,5,51.579805940812385,-0.3270821517271046
apartments,8,51.53164933387145,-0.18852279571770225
,0,51.53508088775475,-0.19442438533287165
yes,9,51.537899180728076,-0.2452731799747043
,0,51.52983808457206,-0.19245271381988374
,0,51.54940826181585,-0.22183420437251697
apartments,8,51.526701499529615,-0.21517230847697558
yes,9,51.54330816632416,-0.28787735052680613
yes,9,51.55981528365975,-0.21668772815184562
residential,8,51.528185413439815,-0.19200895618387653
yes,9,51.55972961476407,-0.21660190891655773
apartments,8,51.53766948592623,-0.1887569525937834
yes,9,51.546744778787776,-0.2289860566234799
yes,9,51.599160976114796,-0.2875323134960704
public,0,51.54742190679448,-0.26151573812704987
,0,51.581876407910435,-0.2678149350420276
school,5,51.56149696491947,-0.23298530536526701
yes,9,51.54138184432383,-0.23657833398205882
residential,8,51.52773220469195,-0.19210273785778917
,0,51.558556437415945,-0.2678204292481873
residential,8,51.52833196225503,-0.1929760697973554
,0,51.528416687524846,-0.20889182916050492
residential,8,51.52753490948975,-0.19261386721284748
,0,51.53194788506623,-0.28476557616384424
residential,8,51.528075593853174,-0.1925995933563825
,0,51.55689690258886,-0.28363904364320125
residential,8,51.52888063917366,-0.19293306316262318
yes,9,51.54040573183426,-0.21522118739718174
yes,9,51.54289455304101,-0.2353341926684331
