#time,susceptible,exposed,infectious,recovered,dead
0,262040,0,10,0,0
1,261110,930,10,0,0
2,260135,1905,10,0,0
3,259179,2861,10,0,0
4,258243,3797,10,0,0
5,257346,4694,10,0,0
6,256380,966,4704,0,0
7,251402,4978,5670,0,0
8,241836,9566,10648,0,0
9,223095,18741,20214,0,0
10,189119,33976,38955,0,0
11,139685,49434,72931,0,0
12,95743,43942,122365,0,0
13,61882,33861,166307,0,0
14,38744,23138,200168,0,0
15,27219,11525,223306,0,0
16,20131,7088,234831,0,0
17,15556,4575,241919,0,0
18,12687,2869,246494,0,0
19,11043,1644,249363,0,0
20,10014,1029,251007,0,0
21,9309,705,252036,0,0
22,8827,482,252731,10,0
23,8431,396,253213,10,0
24,8119,312,253609,10,0
25,7808,311,253921,10,0
26,7513,295,254232,10,0
27,7234,279,249833,4704,0
28,6951,283,249146,5670,0
29,6662,289,244451,10648,0
30,6393,269,235174,20214,0
31,6140,253,216702,38955,0
32,5883,257,182979,72931,0
33,5637,246,133802,122365,0
34,5378,259,90106,166307,0
35,5153,225,56504,200168,0
36,4924,229,33591,223306,0
37,4711,213,22295,234831,0
38,4515,196,15420,241919,0
39,4322,193,11041,246494,0
40,4126,196,8365,249363,0
41,3977,149,6917,251007,0
42,3836,141,6037,252036,0
43,3712,124,5473,252741,0
44,3568,144,5115,253223,0
45,3437,131,4863,253619,0
46,3311,126,4682,253931,0
47,3203,108,4497,254242,0
48,3097,106,4310,254537,0
49,3004,93,4137,254816,0
50,2919,85,3947,255099,0
51,2834,85,3743,255388,0
52,2758,76,3559,255657,0
53,2700,58,3382,255910,0
54,2626,74,3183,256167,0
55,2549,77,3011,256413,0
56,2478,71,2829,256672,0
57,2411,67,2675,256897,0
58,2350,61,2513,257126,0
59,2284,66,2361,257339,0
60,2216,68,2231,257535,0
61,2175,41,2106,257728,0
