#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
0,316637,0,956,0,0,956,0,83.0
1,315531,1106,842,114,0,1106,0,109.0
2,314435,2202,833,122,1,1096,0,88.0
3,313304,3333,823,132,1,1131,0,62.0
4,312261,4376,807,148,1,1043,0,40.0
5,311180,5457,787,167,2,1081,0,3.0
6,310088,6549,736,218,2,1092,0,0.0
7,308982,6549,1814,246,2,1106,0,0.0
8,307862,6573,2905,251,2,1120,68,0.0
9,306769,6535,4014,271,4,1093,72,0.0
10,305708,6553,5035,292,5,1061,69,0.0
11,304583,6597,6088,318,7,1125,65,0.0
12,303571,6517,7156,341,8,1012,62,0.0
13,302499,6483,8215,388,8,1072,69,0.0
14,301439,6423,9301,422,8,1060,88,0.0
15,300390,6379,10339,477,8,1049,63,0.0
16,299311,6397,11314,563,8,1079,61,0.0
17,298228,6355,12398,604,8,1083,58,0.0
18,297130,6441,13270,744,8,1098,67,2.0
19,296028,6471,14248,838,8,1102,72,0.0
20,294969,6470,15198,948,8,1059,54,0.0
21,293937,6453,16247,948,8,1032,64,0.0
22,292907,6404,17326,948,8,1030,65,0.0
23,291838,6390,18409,948,8,1069,58,0.0
24,290789,6341,19507,948,8,1049,79,0.0
25,289773,6255,20590,948,27,1016,56,0.0
26,288766,6203,21637,948,39,1007,72,8.0
27,287776,6161,22659,948,49,990,58,0.0
28,286780,6127,23670,948,68,996,69,0.0
29,285814,6024,24728,948,79,966,52,0.0
30,284788,6001,25766,948,90,1026,58,0.0
31,283736,6037,26763,948,109,1052,67,0.0
