#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
0,316440,0,955,0,0,955,0,83.0
1,315000,1440,842,113,0,1440,0,109.0
2,313570,2870,834,121,0,1430,0,88.0
3,312207,4233,823,131,1,1363,0,62.0
4,310807,5633,806,148,1,1400,0,40.0
5,309420,7020,787,167,1,1387,0,3.0
6,308080,8360,735,218,2,1340,0,0.0
7,306745,8255,2146,247,2,1335,0,0.0
8,305391,8179,3570,252,3,1354,84,0.0
9,304093,8114,4913,272,3,1298,87,0.0
10,302692,8115,6293,292,3,1401,77,0.0
11,301383,8037,7653,318,4,1309,79,0.0
12,300086,7994,8969,341,5,1297,67,0.0
13,298755,7990,10256,387,7,1331,77,0.0
14,297439,7952,11576,421,7,1316,70,0.0
15,296036,8057,12819,476,7,1403,80,0.0
16,294730,7962,14131,565,7,1306,75,0.0
17,293476,7907,15399,606,7,1254,86,0.0
18,292205,7881,16556,746,7,1271,94,0.0
19,290900,7855,17793,840,7,1305,87,0.0
20,289571,7868,19001,948,7,1329,82,0.0
21,288261,7775,20404,948,7,1310,85,0.0
22,286884,7846,21710,948,7,1377,82,0.0
23,285589,7887,22964,948,7,1295,84,0.0
24,284232,7973,24235,948,7,1357,89,0.0
25,282892,8008,25531,948,16,1340,96,0.0
26,281512,8059,26839,948,37,1380,68,0.0
27,280169,8092,28123,948,63,1343,108,0.0
28,278786,8098,29480,948,83,1383,86,0.0
29,277503,8086,30758,948,100,1283,80,0.0
30,276175,8057,32098,948,117,1328,94,0.0
31,274790,8102,33417,948,138,1385,68,0.0
32,273411,8101,33348,2379,156,1379,64,0.0
33,272121,8048,33265,3788,173,1290,70,0.0
34,270736,8050,33289,5125,195,1385,81,0.0
35,269380,8123,33173,6505,214,1356,95,0.0
36,267985,8190,33107,7875,238,1395,71,0.0
37,266666,8124,33149,9198,258,1319,69,0.0
38,265288,8123,33199,10512,273,1378,81,0.0
39,263912,8209,33130,11848,296,1376,79,0.0
40,262492,8244,33219,13129,311,1420,76,0.0
41,261164,8216,33176,14508,331,1328,93,0.0
42,259728,8257,33263,15798,349,1436,88,0.0
43,258302,8364,33291,17071,367,1426,94,0.0
44,256838,8450,33335,18382,390,1464,77,0.0
45,255390,8522,33393,19683,407,1448,87,0.0
46,253884,8608,33421,21063,419,1506,65,0.0
47,252395,8769,33438,22354,439,1489,87,0.0
48,250981,8747,33615,23588,464,1414,73,0.0
49,249483,8819,33767,24841,485,1498,97,0.0
50,248006,8832,33929,26128,500,1477,87,0.0
51,246510,8880,34059,27434,512,1496,81,0.0
52,245126,8758,34255,28727,529,1384,88,0.0
53,243665,8730,34363,30092,545,1461,81,0.0
54,242255,8726,34489,31367,558,1410,94,0.0
55,240719,8764,34629,32699,584,1536,90,0.0
56,239240,8766,34762,34018,609,1479,99,0.0
57,237801,8709,34875,35383,627,1439,95,0.0
58,236309,8817,34912,36714,643,1492,95,0.0
59,234780,8885,34989,38080,661,1529,77,0.0
60,233284,8971,35111,39347,682,1496,96,0.0
61,231846,8873,35312,40662,702,1438,94,0.0
62,230364,8876,35409,42021,725,1482,100,0.0
63,228893,8908,35475,43375,744,1471,81,0.0
64,227423,8886,35674,44647,765,1470,98,0.0
65,225956,8824,35816,46016,783,1467,91,0.0
66,224437,8847,35955,47354,802,1519,88,0.0
67,222948,8898,36001,48728,820,1489,89,0.0
68,221522,8842,36167,50027,837,1426,89,0.0
69,220073,8820,36265,51382,855,1449,76,0.0
70,218621,8802,36362,52739,871,1452,80,0.0
71,217129,8827,36409,54138,892,1492,90,0.0
72,215678,8759,36595,55448,915,1451,79,0.0
73,214231,8717,36640,56865,942,1447,79,0.0
74,212758,8764,36636,58273,964,1473,93,0.0
