#time,susceptible,exposed,infectious,recovered,dead
0,262469,0,10,0,0
1,261484,985,10,0,0
2,260581,1888,10,0,0
3,259649,2820,10,0,0
4,258670,3799,10,0,0
5,257680,4789,10,0,0
6,256689,5780,10,0,0
7,255727,5757,995,0,0
8,253879,6702,1898,0,0
9,250368,9281,2830,0,0
10,244735,13935,3809,0,0
11,236137,21543,4799,0,0
12,224104,32585,5790,0,0
13,209064,46663,6752,0,0
14,191483,62396,8600,0,0
15,171589,78779,12111,0,0
16,149185,95550,17744,0,0
17,124672,111465,26342,0,0
18,100342,123762,38375,0,0
19,78784,130280,53415,0,0
20,61482,130001,70996,0,0
21,46856,124733,90890,0,0
22,35077,114108,113294,0,0
23,25816,98856,137807,0,0
24,19655,80687,162137,0,0
25,15525,63259,183695,0,0
26,12775,48707,200987,10,0
27,11043,35813,215613,10,0
28,9962,25115,227392,10,0
29,9283,16533,236653,10,0
30,8775,10880,242814,10,0
31,8404,7121,246944,10,0
32,8102,4673,248709,995,0
33,7842,3201,249538,1898,0
34,7574,2388,249687,2830,0
35,7314,1969,249387,3809,0
36,7041,1734,248905,4799,0
37,6800,1604,248285,5790,0
38,6539,1563,247625,6752,0
39,6271,1571,246037,8600,0
40,6022,1552,242794,12111,0
41,5789,1525,237421,17744,0
42,5570,1471,229096,26342,0
43,5327,1473,217304,38375,0
44,5101,1438,202525,53415,0
45,4907,1364,185212,70996,0
46,4666,1356,165567,90890,0
47,4448,1341,143396,113294,0
48,4259,1311,119102,137807,0
49,4093,1234,95015,162137,0
50,3910,1191,73683,183695,0
51,3761,1146,56575,200997,0
52,3606,1060,42190,215623,0
53,3477,971,30629,227402,0
54,3349,910,21557,236663,0
55,3231,862,15562,242824,0
56,3121,789,11615,246954,0
57,3011,750,9014,249704,0
58,2906,700,7437,251436,0
59,2820,657,6485,252517,0
60,2727,622,5934,253196,0
61,2654,577,5544,253704,0
62,2573,548,5283,254075,0
63,2525,486,5091,254377,0
64,2462,444,4936,254637,0
65,2387,433,4754,254905,0
66,2318,409,4587,255165,0
67,2249,405,4387,255438,0
68,2178,395,4227,255679,0
69,2114,411,4014,255940,0
70,2065,397,3809,256208,0
71,2011,376,3635,256457,0
72,1956,362,3471,256690,0
73,1911,338,3321,256909,0
74,1868,310,3149,257152,0
75,1820,294,2987,257378,0
76,1773,292,2842,257572,0
77,1736,275,2655,257813,0
78,1699,257,2492,258031,0
79,1657,254,2348,258220,0
80,1613,255,2225,258386,0
81,1575,245,2090,258569,0
82,1538,235,1988,258718,0
83,1511,225,1870,258873,0
84,1477,222,1778,259002,0
85,1432,225,1692,259130,0
86,1404,209,1618,259248,0
87,1370,205,1546,259358,0
88,1327,211,1473,259468,0
89,1302,209,1395,259573,0
90,1280,197,1343,259659,0
