#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
0,327298,0,958,0,0,958,0,83.0
1,327256,42,845,113,0,42,0,109.0
2,327187,111,836,121,1,69,0,88.0
3,327069,229,826,131,1,118,0,62.0
4,326916,382,808,147,3,153,0,40.0
5,326737,561,789,166,3,179,0,3.0
6,326538,760,735,218,5,199,0,0.0
7,326272,984,749,246,5,266,0,0.0
8,325974,1213,813,251,5,298,1,0.0
9,325651,1418,910,271,6,323,7,0.0
10,325247,1669,1039,293,8,404,6,0.0
11,324805,1932,1193,317,9,442,5,0.0
12,324225,2313,1365,340,13,580,8,0.0
13,323547,2725,1584,385,15,678,11,0.0
14,322825,3149,1848,419,15,722,19,0.0
15,321910,3741,2114,476,15,915,14,0.0
16,320956,4291,2431,563,15,954,26,0.0
17,319782,5023,2834,602,15,1174,31,0.0
18,318310,5915,3273,743,15,1472,24,2.0
19,316599,6948,3860,834,15,1711,38,0.0
20,314582,8243,4473,943,15,2017,33,0.0
21,312241,9669,5388,943,15,2341,34,0.0
22,309613,11343,6342,943,15,2628,51,0.0
23,306601,13181,7516,943,15,3012,64,0.0
24,303165,15145,8988,943,15,3436,78,0.0
25,299349,17250,10698,943,16,3816,80,0.0
26,295164,19418,12714,943,17,4185,91,8.0
27,290646,21595,15054,943,18,4518,129,0.0
28,285742,23871,17679,943,21,4904,147,0.0
29,280911,25690,20689,943,23,4831,153,0.0
30,275858,27307,24123,943,25,5053,190,0.0
31,270702,28647,27935,943,29,5156,196,0.0
32,265624,29540,32072,984,36,5078,254,0.0
33,260532,30114,36517,1052,41,5092,235,0.0
34,255354,30388,41299,1169,46,5178,282,0.0
35,250016,30895,45969,1319,57,5338,249,0.0
36,244413,31445,50839,1496,63,5603,280,0.0
37,238544,32158,55788,1693,73,5869,321,6.0
38,232373,33251,60592,1955,85,6171,323,0.0
39,225825,34707,65384,2246,94,6548,291,0.0
40,219041,36313,70229,2564,109,6784,317,1.0
41,212154,37862,75163,2963,114,6887,300,0.0
42,204954,39459,80314,3394,135,7200,321,0.0
43,197736,40808,85591,3968,153,7218,345,0.0
44,190366,42007,91074,4636,173,7370,375,0.0
45,182888,42937,96887,5346,198,7478,421,0.0
46,175433,43608,102728,6252,235,7455,421,0.0
47,168079,44075,108636,7191,275,7354,364,0.0
48,160802,44152,114618,8360,324,7277,397,0.0
49,153589,44147,120335,9811,374,7213,414,1.0
50,146557,43809,125955,11504,431,7032,416,0.0
51,139784,43104,131372,13501,495,6773,426,0.0
52,133239,42194,136451,15817,555,6545,457,0.0
53,126847,41232,141145,18408,624,6392,423,0.0
54,120943,39859,145385,21380,689,5904,462,4.0
55,115224,38365,149142,24767,758,5719,451,0.0
56,109823,36734,152324,28533,842,5401,437,3.0
57,104721,35063,154891,32661,920,5102,409,0.0
58,99812,33427,156910,37115,992,4909,389,5.0
59,95247,31600,158396,41959,1054,4565,403,14.0
60,90690,30253,159455,46721,1137,4557,391,4.0
61,86393,28831,160107,51709,1216,4297,350,0.0
62,82228,27595,160339,56796,1298,4165,332,0.0
63,78329,26392,160357,61790,1388,3899,313,14.0
64,74377,25435,160156,66804,1484,3952,322,0.0
65,70643,24604,159500,71910,1599,3734,299,1.0
66,67040,23650,158682,77186,1698,3603,275,1.0
67,63603,22790,157356,82706,1801,3437,289,1.0
68,60296,21932,155632,88496,1900,3307,275,2.0
69,57138,21191,153344,94585,1998,3158,239,12.0
70,54035,20342,150729,101043,2107,3103,235,14.0
71,51072,19571,147668,107731,2214,2963,234,20.0
72,48234,18806,144397,114503,2316,2838,217,8.0
73,45532,18071,140644,121604,2405,2702,223,10.0
74,42929,17367,136731,128719,2510,2603,246,16.0
75,40525,16613,132536,135990,2592,2404,213,19.0
76,38266,15769,128168,143370,2683,2259,195,51.0
77,35983,15089,123700,150716,2768,2283,163,28.0
78,33942,14292,119198,157963,2861,2041,165,5.0
79,31974,13558,114656,165138,2930,1968,174,20.0
80,30136,12793,110070,172262,2995,1838,160,21.0
81,28467,12058,105470,179189,3072,1669,168,26.0
82,26842,11424,100977,185880,3133,1625,166,23.0
83,25310,10673,96742,192334,3197,1532,154,47.0
84,23841,10101,92413,198641,3260,1469,145,34.0
85,22494,9480,88503,204452,3327,1347,137,55.0
86,21255,8881,84647,210102,3371,1239,121,88.0
87,20068,8399,80929,215438,3422,1187,124,41.0
88,18874,7968,77481,220463,3470,1194,105,141.0
89,17806,7504,74100,225311,3535,1068,84,95.0
90,16805,7036,71020,229812,3583,1001,95,110.0
