#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
0,238606,0,956,0,0,956,0,83.0
1,238604,2,843,113,0,2,0,109.0
2,238596,10,835,121,0,8,0,88.0
3,238588,18,825,131,0,8,0,62.0
4,238577,29,809,147,0,11,0,40.0
5,238557,49,789,167,0,20,0,3.0
6,238536,70,737,218,1,21,0,0.0
7,238515,89,711,246,1,21,0,0.0
8,238492,104,713,251,2,23,0,0.0
9,238469,119,698,271,5,23,1,0.0
10,238436,141,687,292,6,33,1,0.0
11,238395,162,681,318,6,41,0,0.0
12,238352,184,679,341,6,43,1,0.0
13,238317,198,653,387,7,35,0,0.0
14,238269,223,642,421,7,48,2,0.0
15,238210,259,611,475,7,59,2,0.0
16,238155,281,558,561,7,55,2,0.0
17,238093,302,558,602,7,62,1,0.0
18,238031,321,460,743,7,62,2,0.0
19,237964,353,398,840,7,67,4,0.0
20,237903,366,337,949,7,61,3,0.0
21,237816,394,396,949,7,87,5,0.0
22,237718,437,451,949,7,98,6,0.0
23,237645,448,513,949,7,73,5,0.0
24,237549,482,575,949,7,96,4,0.0
25,237446,518,642,949,7,103,1,0.0
26,237326,577,703,949,7,120,7,0.0
27,237190,626,790,949,7,136,4,0.0
28,237061,657,888,949,7,129,4,0.0
29,236910,735,961,949,7,151,2,0.0
30,236752,797,1057,949,7,158,6,0.0
31,236564,882,1160,949,7,188,7,0.0
32,236382,944,1277,951,8,182,7,0.0
33,236173,1017,1405,959,8,209,8,0.0
34,235938,1123,1526,967,8,235,9,0.0
35,235681,1229,1666,978,8,257,7,0.0
36,235419,1333,1802,998,10,262,12,0.0
37,235123,1441,1968,1019,11,296,18,0.0
38,234806,1576,2128,1040,12,317,10,0.0
39,234468,1705,2315,1062,12,338,10,0.0
40,234078,1860,2527,1085,12,390,12,0.0
41,233679,2002,2748,1118,15,399,19,0.0
42,233241,2178,2966,1159,18,438,22,0.0
43,232770,2353,3221,1200,18,471,16,0.0
44,232271,2535,3504,1234,18,499,23,0.0
45,231721,2747,3794,1281,19,550,18,0.0
46,231091,2987,4125,1340,19,630,21,0.0
47,230495,3184,4468,1395,20,596,28,0.0
48,229835,3406,4847,1454,20,660,28,0.0
49,229092,3678,5258,1513,21,743,18,0.0
50,228320,3951,5690,1580,21,772,28,0.0
51,227551,4170,6177,1641,23,769,33,0.0
52,226621,4470,6721,1727,23,930,26,0.0
53,225712,4783,7216,1825,26,909,37,0.0
54,224712,5123,7803,1897,27,1000,35,0.0
55,223684,5408,8445,1993,32,1028,43,0.0
56,222626,5694,9112,2095,35,1058,28,0.0
57,221552,5999,9758,2215,38,1074,48,0.0
58,220415,6206,10549,2349,43,1137,43,0.0
59,219264,6448,11325,2478,47,1151,57,0.0
60,218133,6579,12174,2626,50,1131,51,0.0
61,216861,6823,13043,2783,52,1272,61,0.0
62,215511,7115,13913,2966,57,1350,65,0.0
63,214222,7330,14804,3145,61,1289,71,0.0
64,212803,7612,15728,3351,68,1419,63,0.0
65,211470,7794,16644,3581,73,1333,74,0.0
66,210058,8075,17519,3834,76,1412,83,0.0
67,208671,8190,18529,4093,79,1387,77,0.0
68,207263,8248,19580,4387,84,1408,70,0.0
