#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
0,291677,0,964,0,0,964,0,83.0
1,291668,9,849,115,0,9,0,109.0
2,291648,29,841,123,0,20,0,88.0
3,291623,54,831,133,0,25,0,62.0
4,291593,84,815,149,0,30,0,40.0
5,291559,118,795,168,1,34,0,3.0
6,291520,157,744,219,1,39,0,0.0
7,291472,196,724,248,1,48,0,0.0
8,291414,234,738,253,2,58,0,0.0
9,291341,282,740,273,5,73,1,0.0
10,291285,308,747,296,5,56,2,0.0
11,291208,351,753,322,7,77,3,0.0
12,291125,395,769,344,8,83,1,0.0
13,291032,440,769,391,9,93,2,0.0
14,290918,496,792,426,9,114,4,0.0
15,290809,532,810,481,9,109,1,0.0
16,290688,597,780,567,9,121,6,0.0
17,290537,671,815,609,9,151,4,0.0
18,290384,741,757,750,9,153,2,0.0
19,290231,801,754,846,9,153,5,0.0
20,290082,836,759,955,9,149,6,0.0
21,289915,894,868,955,9,167,7,0.0
22,289736,952,989,955,9,179,9,0.0
23,289511,1026,1140,955,9,225,3,0.0
24,289284,1100,1293,955,9,227,12,0.0
25,289049,1182,1446,955,9,235,13,0.0
26,288783,1299,1595,955,9,266,3,0.0
27,288529,1386,1762,955,9,254,10,0.0
28,288238,1498,1941,955,9,291,6,0.0
29,287856,1655,2166,955,9,382,11,0.0
30,287500,1784,2392,955,10,356,9,0.0
31,287137,1912,2627,955,10,363,12,0.0
32,286692,2091,2884,964,10,445,13,0.0
33,286253,2276,3118,984,10,439,17,0.0
34,285728,2510,3384,1009,10,525,27,0.0
35,285221,2635,3734,1039,12,507,11,0.0
36,284677,2823,4055,1073,13,544,17,0.0
37,284030,3107,4380,1111,13,647,25,0.0
38,283365,3327,4775,1159,15,665,15,0.0
39,282702,3551,5156,1217,15,663,18,0.0
40,281998,3730,5605,1290,18,704,26,0.0
41,281201,4020,6053,1346,21,797,23,0.0
42,280378,4299,6522,1421,21,823,28,0.0
43,279542,4488,7085,1503,23,836,30,0.0
44,278609,4756,7657,1596,23,933,39,0.0
45,277679,5023,8208,1708,23,930,35,0.0
46,276743,5255,8801,1817,25,936,48,0.0
47,275725,5476,9476,1935,29,1018,55,0.0
48,274682,5696,10146,2083,34,1043,47,0.0
49,273604,5938,10823,2236,40,1078,61,0.0
50,272487,6122,11601,2387,44,1117,52,0.0
51,271360,6319,12378,2536,48,1127,49,0.0
52,270160,6583,13143,2703,52,1200,64,0.0
53,268964,6761,13979,2880,57,1196,49,0.0
54,267792,6890,14795,3101,63,1172,71,0.0
55,266581,7023,15645,3323,69,1211,48,0.0
56,265346,7141,16529,3552,73,1235,70,0.0
57,263998,7362,17390,3814,77,1348,69,0.0
58,262610,7550,18332,4064,85,1388,72,0.0
59,261170,7794,19241,4351,85,1440,77,0.0
60,259692,8100,20031,4728,90,1478,64,0.0
61,258191,8390,20881,5078,101,1501,75,0.0
62,256499,8847,21751,5435,109,1692,84,0.0
