#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,316969,425,0,0,0,0,0,0.0
-28,316969,425,0,0,0,0,0,0.0
-27,316969,425,0,0,0,0,0,0.0
-26,316969,425,0,0,0,0,0,0.0
-25,316969,425,0,0,0,0,0,0.0
-24,316969,425,0,0,0,0,0,0.0
-23,316969,425,0,0,0,0,0,0.0
-22,316969,425,0,0,0,0,0,0.0
-21,316969,425,0,0,0,0,0,0.0
-20,316969,425,0,0,0,0,0,0.0
-19,316969,425,0,0,0,0,0,0.0
-18,316969,425,0,0,0,0,0,0.0
-17,316969,425,0,0,0,0,0,0.0
-16,316969,374,51,0,0,0,0,0.0
-15,316966,377,51,0,0,3,0,0.0
-14,316965,361,68,0,0,1,0,0.0
-13,316958,351,85,0,0,7,0,0.0
-12,316957,335,102,0,0,1,0,0.0
-11,316955,320,119,0,0,2,0,0.0
-10,316949,272,173,0,0,6,5,0.0
-9,316946,189,259,0,0,3,0,0.0
-8,316933,127,334,0,0,13,2,0.0
-7,316913,112,323,46,0,20,2,0.0
-6,316895,60,393,46,0,18,1,0.0
-5,316875,74,384,61,0,20,1,0.0
-4,316851,95,372,76,0,24,6,0.0
-3,316817,116,369,92,0,34,5,0.0
-2,316791,122,373,108,0,26,8,0.0
-1,316749,146,340,159,0,42,6,0.0
0,316711,164,279,240,0,38,4,40.0
1,316663,188,236,307,0,48,2,7.0
2,316625,192,240,337,0,38,1,10.0
3,316579,212,199,404,0,46,2,4.0
4,316536,213,237,408,0,43,3,3.0
5,316490,221,272,411,0,46,2,5.0
6,316428,235,308,423,0,62,2,6.0
7,316363,262,326,443,0,65,1,6.0
8,316297,282,355,460,0,66,1,9.0
9,316221,315,380,478,0,76,0,12.0
10,316137,353,403,501,0,84,3,7.0
11,316049,379,432,534,0,88,2,11.0
12,315945,418,471,560,0,104,2,18.0
13,315844,453,497,600,0,101,0,13.0
14,315727,494,537,636,0,117,3,27.0
15,315570,567,573,684,0,157,0,23.0
16,315503,546,622,722,1,67,3,33.0
17,315425,520,680,767,2,78,2,23.0
18,315344,500,737,811,2,81,2,35.0
19,315248,479,810,855,2,96,3,26.0
