#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,316338,426,0,0,0,0,0,0.0
-28,316338,426,0,0,0,0,0,0.0
-27,316338,426,0,0,0,0,0,0.0
-26,316338,426,0,0,0,0,0,0.0
-25,316338,426,0,0,0,0,0,0.0
-24,316338,426,0,0,0,0,0,0.0
-23,316338,426,0,0,0,0,0,0.0
-22,316338,426,0,0,0,0,0,0.0
-21,316338,426,0,0,0,0,0,0.0
-20,316338,426,0,0,0,0,0,0.0
-19,316338,426,0,0,0,0,0,0.0
-18,316338,426,0,0,0,0,0,0.0
-17,316338,426,0,0,0,0,0,0.0
-16,316338,375,51,0,0,0,0,0.0
-15,316337,376,51,0,0,1,0,0.0
-14,316337,359,68,0,0,0,0,0.0
-13,316334,345,85,0,0,3,0,0.0
-12,316332,330,102,0,0,2,0,0.0
-11,316329,316,119,0,0,3,0,0.0
-10,316325,267,172,0,0,4,3,0.0
-9,316321,186,257,0,0,4,0,0.0
-8,316317,119,328,0,0,4,1,0.0
-7,316302,98,316,48,0,15,1,0.0
-6,316295,34,387,48,0,7,1,0.0
-5,316277,48,375,64,0,18,2,0.0
-4,316254,67,363,80,0,23,6,0.0
-3,316232,85,351,96,0,22,6,0.0
-2,316199,103,351,111,0,33,5,0.0
-1,316166,129,311,158,0,33,2,0.0
0,316133,144,250,237,0,33,4,40.0
1,316103,151,207,303,0,30,0,7.0
2,316055,177,195,337,0,48,0,10.0
3,316008,191,161,404,0,47,1,4.0
4,315967,199,190,408,0,41,1,3.0
5,315919,214,219,412,0,48,0,5.0
6,315866,237,245,416,0,53,3,6.0
7,315812,243,279,430,0,54,1,6.0
8,315754,254,318,437,1,58,1,9.0
9,315686,281,342,454,1,68,3,12.0
10,315613,306,368,476,1,73,1,7.0
11,315551,315,400,497,1,62,2,11.0
12,315485,327,423,528,1,66,1,18.0
13,315416,338,449,560,1,69,2,13.0
14,315331,355,486,591,1,85,1,27.0
15,315233,380,528,622,1,98,0,23.0
16,315196,355,544,668,1,37,1,33.0
17,315149,336,563,715,1,47,2,23.0
18,315098,318,590,757,1,51,3,35.0
19,315055,276,627,805,1,43,3,26.0
20,314998,235,672,858,1,57,3,23.0
21,314940,256,652,915,1,58,4,15.0
22,314880,269,639,975,1,60,3,1.0
23,314864,234,620,1045,1,16,0,0.0
24,314838,217,592,1116,1,26,2,0.0
25,314820,178,588,1177,1,18,2,0.0
26,314810,130,580,1243,1,10,3,0.0
27,314790,90,572,1311,1,20,0,0.0
28,314769,95,505,1394,1,21,3,0.0
29,314748,90,434,1491,1,21,1,0.0
30,314726,94,415,1528,1,22,0,0.0
31,314699,111,378,1575,1,27,1,0.0
32,314679,111,347,1626,1,20,2,0.0
33,314657,112,324,1670,1,22,1,0.0
34,314638,110,286,1729,1,19,2,0.0
35,314618,108,251,1786,1,20,0,0.0
36,314595,104,217,1847,1,23,0,0.0
37,314567,112,222,1862,1,28,2,0.0
38,314546,111,216,1890,1,21,1,0.0
39,314515,123,216,1909,1,31,1,0.0
40,314490,128,227,1918,1,25,2,0.0
41,314467,128,230,1938,1,23,2,0.0
42,314442,125,236,1960,1,25,0,0.0
43,314419,127,235,1982,1,23,1,0.0
44,314387,128,243,2005,1,32,1,0.0
45,314361,129,239,2034,1,26,1,0.0
46,314331,136,237,2058,2,30,0,0.0
47,314314,128,238,2082,2,17,1,0.0
48,314289,130,243,2100,2,25,1,0.0
49,314264,123,253,2122,2,25,2,0.0
