#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,317626,425,0,0,0,0,0,0.0
-28,317626,425,0,0,0,0,0,0.0
-27,317626,425,0,0,0,0,0,0.0
-26,317626,425,0,0,0,0,0,0.0
-25,317626,425,0,0,0,0,0,0.0
-24,317626,425,0,0,0,0,0,0.0
-23,317626,425,0,0,0,0,0,0.0
-22,317626,425,0,0,0,0,0,0.0
-21,317626,425,0,0,0,0,0,0.0
-20,317626,425,0,0,0,0,0,0.0
-19,317626,425,0,0,0,0,0,0.0
-18,317626,425,0,0,0,0,0,0.0
-17,317626,425,0,0,0,0,0,0.0
-16,317626,374,51,0,0,0,0,0.0
-15,317624,376,51,0,0,2,0,0.0
-14,317621,362,68,0,0,3,0,0.0
-13,317620,346,85,0,0,1,0,0.0
-12,317617,332,102,0,0,3,0,0.0
-11,317616,316,119,0,0,1,0,0.0
-10,317613,266,172,0,0,3,1,0.0
-9,317606,185,260,0,0,7,0,0.0
-8,317596,126,329,0,0,10,0,0.0
-7,317581,104,316,50,0,15,2,0.0
-6,317565,51,385,50,0,16,0,0.0
-5,317546,67,371,67,0,19,3,0.0
-4,317523,83,363,82,0,23,4,0.0
-3,317502,94,356,99,0,21,3,0.0
-2,317464,117,357,113,0,38,6,0.0
-1,317423,142,324,162,0,41,4,0.0
0,317384,162,258,247,0,39,5,40.0
1,317341,182,218,310,0,43,1,7.0
2,317292,210,205,344,0,49,0,10.0
3,317246,218,179,408,0,46,1,4.0
4,317184,239,217,411,0,62,3,3.0
5,317137,247,249,418,0,47,1,5.0
6,317067,274,282,428,0,70,5,6.0
7,317007,285,317,442,0,60,2,6.0
8,316939,307,348,457,0,68,1,9.0
9,316872,312,395,472,0,67,2,12.0
10,316808,329,421,493,0,64,2,7.0
11,316721,346,471,513,0,87,1,11.0
12,316649,358,495,549,0,72,4,18.0
13,316534,405,524,588,0,115,2,13.0
14,316393,479,553,626,0,141,3,27.0
15,316275,533,575,668,0,118,6,23.0
16,316207,514,614,716,0,68,2,33.0
17,316128,521,643,759,0,79,4,23.0
18,316037,497,701,816,0,91,4,35.0
19,315945,448,797,861,0,92,4,26.0
20,315835,440,847,929,0,110,2,23.0
21,315744,463,854,990,0,91,2,15.0
22,315633,495,866,1057,0,111,4,1.0
23,315612,425,887,1127,0,21,1,0.0
24,315597,348,913,1193,0,15,5,0.0
25,315573,262,936,1280,0,24,6,0.0
26,315549,195,955,1352,0,24,3,0.0
27,315524,109,955,1463,0,25,1,0.0
28,315494,118,839,1600,0,30,2,0.0
29,315471,126,736,1718,0,23,1,0.0
