#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,317604,425,0,0,0,0,0,0.0
-28,317604,425,0,0,0,0,0,0.0
-27,317604,425,0,0,0,0,0,0.0
-26,317604,425,0,0,0,0,0,0.0
-25,317604,425,0,0,0,0,0,0.0
-24,317604,425,0,0,0,0,0,0.0
-23,317604,425,0,0,0,0,0,0.0
-22,317604,425,0,0,0,0,0,0.0
-21,317604,425,0,0,0,0,0,0.0
-20,317604,425,0,0,0,0,0,0.0
-19,317604,425,0,0,0,0,0,0.0
-18,317604,425,0,0,0,0,0,0.0
-17,317604,425,0,0,0,0,0,0.0
-16,317604,374,51,0,0,0,0,0.0
-15,317602,376,51,0,0,2,0,0.0
-14,317598,363,68,0,0,4,0,0.0
-13,317595,349,85,0,0,3,0,0.0
-12,317591,336,102,0,0,4,0,0.0
-11,317588,322,119,0,0,3,0,0.0
-10,317582,275,172,0,0,6,4,0.0
-9,317575,193,261,0,0,7,0,0.0
-8,317563,134,332,0,0,12,1,0.0
-7,317550,109,323,47,0,13,0,0.0
-6,317534,54,394,47,0,16,1,0.0
-5,317513,69,384,63,0,21,2,0.0
-4,317490,85,374,80,0,23,2,0.0
-3,317461,102,370,96,0,29,5,0.0
-2,317436,114,368,111,0,25,4,0.0
-1,317398,136,333,162,0,38,2,0.0
0,317365,148,270,246,0,33,7,40.0
1,317317,173,226,313,0,48,2,7.0
2,317282,179,219,349,0,35,0,10.0
3,317245,191,179,414,0,37,0,4.0
4,317206,192,212,419,0,39,2,3.0
5,317147,218,238,426,0,59,2,5.0
6,317087,230,274,438,0,60,4,6.0
7,317033,249,297,450,0,54,1,6.0
8,316967,278,319,465,0,66,1,9.0
9,316886,320,339,484,0,81,0,12.0
10,316821,326,376,506,0,65,1,7.0
11,316752,335,408,534,0,69,2,11.0
12,316658,375,437,559,0,94,4,18.0
13,316559,408,465,597,0,99,4,13.0
14,316454,432,515,628,0,105,1,27.0
15,316350,471,532,676,0,104,1,23.0
16,316280,472,570,707,0,70,3,33.0
17,316216,442,627,744,0,64,2,23.0
18,316155,404,688,782,0,61,2,35.0
19,316091,363,737,838,0,64,2,26.0
20,316028,322,782,897,0,63,5,23.0
21,315980,300,798,951,0,48,1,15.0
22,315899,317,793,1020,0,81,2,1.0
23,315880,275,775,1099,0,19,6,0.0
24,315862,229,774,1164,0,18,7,0.0
25,315842,186,765,1236,0,20,6,0.0
26,315827,153,722,1327,0,15,6,0.0
27,315806,93,711,1419,0,21,1,0.0
28,315769,111,631,1518,0,37,1,0.0
29,315744,118,550,1617,0,25,2,0.0
30,315724,118,499,1688,0,20,3,0.0
31,315701,126,447,1755,0,23,0,0.0
32,315674,132,408,1815,0,27,1,0.0
33,315649,120,383,1877,0,25,3,0.0
34,315617,127,345,1940,0,32,0,0.0
35,315589,135,316,1989,0,28,0,0.0
36,315560,141,259,2069,0,29,1,0.0
37,315535,139,263,2092,0,25,0,0.0
38,315514,135,266,2114,0,21,2,0.0
39,315483,134,278,2134,0,31,2,0.0
40,315452,137,290,2150,0,31,1,0.0
41,315427,133,296,2173,0,25,1,0.0
42,315400,135,285,2209,0,27,1,0.0
43,315368,146,280,2235,0,32,1,0.0
44,315342,141,289,2256,1,26,1,0.0
45,315316,136,293,2283,1,26,0,0.0
46,315280,147,291,2310,1,36,1,0.0
47,315242,158,292,2336,1,38,0,0.0
48,315214,154,286,2374,1,28,0,0.0
49,315177,165,278,2408,1,37,0,0.0
50,315157,159,269,2443,1,20,2,0.0
51,315119,161,276,2472,1,38,1,0.0
52,315085,157,292,2494,1,34,5,0.0
53,315042,172,290,2524,1,43,2,0.0
54,315014,163,295,2556,1,28,1,0.0
55,314976,181,291,2580,1,38,0,0.0
56,314945,174,304,2605,1,31,0,0.0
57,314917,168,307,2636,1,28,2,0.0
58,314881,161,321,2665,1,36,3,0.0
59,314838,176,323,2691,1,43,0,0.0
60,314804,172,327,2725,1,34,3,0.0
61,314768,177,322,2761,1,36,1,0.0
62,314721,196,322,2789,1,47,1,0.0
63,314674,207,322,2825,1,47,1,0.0
