#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,317019,425,0,0,0,0,0,0.0
-28,317019,425,0,0,0,0,0,0.0
-27,317019,425,0,0,0,0,0,0.0
-26,317019,425,0,0,0,0,0,0.0
-25,317019,425,0,0,0,0,0,0.0
-24,317019,425,0,0,0,0,0,0.0
-23,317019,425,0,0,0,0,0,0.0
-22,317019,425,0,0,0,0,0,0.0
-21,317019,425,0,0,0,0,0,0.0
-20,317019,425,0,0,0,0,0,0.0
-19,317019,425,0,0,0,0,0,0.0
-18,317019,425,0,0,0,0,0,0.0
-17,317019,425,0,0,0,0,0,0.0
-16,317019,374,51,0,0,0,0,0.0
-15,317017,376,51,0,0,2,0,0.0
-14,317014,362,68,0,0,3,0,0.0
-13,317011,348,85,0,0,3,0,0.0
-12,317010,332,102,0,0,1,0,0.0
-11,317007,318,119,0,0,3,0,0.0
-10,316999,273,172,0,0,8,4,0.0
-9,316991,193,260,0,0,8,0,0.0
-8,316985,128,331,0,0,6,1,0.0
-7,316975,103,319,47,0,10,0,0.0
-6,316960,47,390,47,0,15,1,0.0
-5,316938,61,382,63,0,22,2,0.0
-4,316921,70,373,80,0,17,7,0.0
-3,316888,97,363,96,0,33,5,0.0
-2,316860,115,358,111,0,28,2,0.0
-1,316826,134,326,158,0,34,1,0.0
0,316793,145,265,241,0,33,4,40.0
1,316746,175,213,310,0,47,2,7.0
2,316698,190,212,344,0,48,0,10.0
3,316652,208,173,411,0,46,1,4.0
4,316607,219,200,418,0,45,0,3.0
5,316544,249,225,426,0,63,0,5.0
6,316487,259,267,431,0,57,1,6.0
7,316416,282,305,441,0,71,1,6.0
8,316337,315,336,456,0,79,1,9.0
9,316258,349,360,477,0,79,2,12.0
10,316157,387,407,493,0,101,2,7.0
11,316062,425,432,525,0,95,1,11.0
12,315986,430,477,551,0,76,1,18.0
13,315894,443,524,583,0,92,3,13.0
14,315779,479,570,615,1,115,5,27.0
15,315664,493,622,664,1,115,2,23.0
16,315611,451,671,710,1,53,1,33.0
17,315562,424,705,752,1,49,2,23.0
18,315490,404,754,795,1,72,1,35.0
19,315398,381,806,858,1,92,5,26.0
20,315330,334,865,914,1,68,4,23.0
21,315238,373,842,990,1,92,2,15.0
22,315139,423,811,1070,1,99,4,1.0
23,315123,367,805,1148,1,16,4,0.0
24,315104,294,797,1248,1,19,4,0.0
25,315076,254,770,1343,1,28,3,0.0
26,315047,191,788,1417,1,29,6,0.0
27,315021,118,799,1505,1,26,2,0.0
28,314993,130,702,1618,1,28,0,0.0
29,314972,132,610,1729,1,21,3,0.0
30,314942,134,586,1781,1,30,2,0.0
31,314927,120,565,1831,1,15,2,0.0
32,314901,120,522,1900,1,26,2,0.0
33,314880,113,459,1991,1,21,2,0.0
34,314856,116,412,2059,1,24,1,0.0
35,314829,113,350,2151,1,27,1,0.0
36,314806,121,267,2249,1,23,3,0.0
