#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,317702,425,0,0,0,0,0,0.0
-28,317702,425,0,0,0,0,0,0.0
-27,317702,425,0,0,0,0,0,0.0
-26,317702,425,0,0,0,0,0,0.0
-25,317702,425,0,0,0,0,0,0.0
-24,317702,425,0,0,0,0,0,0.0
-23,317702,425,0,0,0,0,0,0.0
-22,317702,425,0,0,0,0,0,0.0
-21,317702,425,0,0,0,0,0,0.0
-20,317702,374,51,0,0,0,0,0.0
-19,317702,374,51,0,0,0,0,0.0
-18,317699,360,68,0,0,3,0,0.0
-17,317698,341,88,0,0,1,0,0.0
-16,317697,324,106,0,0,1,0,0.0
-15,317693,310,123,1,0,4,0,0.0
-14,317693,255,178,1,0,0,0,0.0
-13,317687,176,262,2,0,6,0,0.0
-12,317675,114,334,4,0,12,1,0.0
-11,317668,75,377,7,0,7,0,0.0
-10,317657,11,444,15,0,11,0,0.0
-9,317638,19,446,24,0,19,0,0.0
-8,317617,21,453,36,0,21,2,0.0
-7,317588,29,457,52,1,29,0,0.0
-6,317557,31,469,69,1,31,1,0.0
-5,317521,36,476,93,1,36,1,0.0
-4,317475,46,491,114,1,46,2,0.0
-3,317418,57,517,134,1,57,5,0.0
-2,317352,66,533,175,1,66,3,0.0
-1,317288,64,545,229,1,64,5,0.0
0,317206,82,557,280,2,82,2,40.0
1,317123,83,601,317,3,83,2,7.0
2,317010,113,631,368,5,113,2,10.0
3,316889,121,708,404,5,121,1,4.0
4,316752,137,798,435,5,137,1,3.0
5,316620,132,904,465,6,132,2,5.0
6,316417,203,995,505,7,203,2,6.0
7,316226,191,1155,548,7,191,4,6.0
8,315985,241,1302,591,8,241,1,9.0
9,315745,240,1495,639,8,240,2,12.0
10,315464,281,1679,695,8,281,0,7.0
11,315191,273,1902,753,8,273,0,11.0
12,314857,334,2116,812,8,334,5,18.0
13,314535,322,2376,886,8,322,2,13.0
14,314181,354,2617,967,8,354,3,27.0
15,313774,407,2875,1063,8,407,3,23.0
16,313377,397,3163,1179,11,397,4,33.0
17,312970,407,3426,1312,12,407,5,23.0
18,312539,431,3676,1469,12,431,4,35.0
19,312074,465,3928,1648,12,465,6,26.0
20,311549,525,4201,1839,13,525,3,23.0
21,311029,520,4519,2046,13,520,10,15.0
22,310408,621,4809,2275,14,621,8,1.0
23,309789,619,5175,2528,16,619,8,0.0
24,309043,746,5540,2782,16,746,11,0.0
25,308254,789,6017,3049,18,789,6,0.0
26,307418,836,6503,3351,19,836,15,0.0
27,306566,852,7009,3680,20,852,9,0.0
28,305597,969,7530,4009,22,969,21,0.0
29,304586,1011,8116,4391,23,1011,19,0.0
30,303449,1137,8728,4785,28,1137,14,0.0
31,302344,1105,9413,5233,32,1105,19,0.0
32,301088,1256,10061,5688,34,1256,22,0.0
33,299708,1380,10825,6179,35,1380,16,0.0
34,298215,1493,11700,6680,39,1493,28,0.0
35,296626,1589,12660,7209,43,1589,31,0.0
36,294938,1688,13620,7832,49,1688,28,0.0
37,293171,1767,14667,8471,51,1767,27,0.0
38,291196,1975,15738,9165,53,1975,32,0.0
39,289195,2001,16926,9948,57,2001,39,0.0
40,287093,2102,18072,10801,59,2102,48,0.0
41,284786,2307,19289,11679,66,2307,49,0.0
42,282387,2399,20600,12672,69,2399,50,0.0
43,279775,2612,21932,13737,71,2612,64,0.0
44,277078,2697,23441,14837,74,2697,50,0.0
45,274266,2812,24923,16045,81,2812,55,0.0
46,271472,2794,26500,17270,91,2794,59,0.0
47,268507,2965,27933,18624,98,2965,62,0.0
48,265366,3141,29337,20177,106,3141,69,0.0
49,262143,3223,30890,21753,118,3223,74,0.0
50,258886,3257,32425,23430,129,3257,84,0.0
51,255374,3512,33858,25240,143,3512,94,0.0
52,251733,3641,35484,27110,159,3641,95,0.0
53,248111,3622,37113,29108,173,3622,115,0.0
54,244228,3883,38620,31207,189,3883,107,0.0
55,240226,4002,40239,33457,203,4002,109,0.0
56,236158,4068,41828,35855,218,4068,128,0.0
57,232019,4139,43418,38314,237,4139,134,0.0
58,227812,4207,44972,40885,251,4207,141,0.0
59,223465,4347,46433,43607,275,4347,130,0.0
60,219050,4415,47971,46394,297,4415,149,0.0
61,214514,4536,49448,49315,314,4536,166,0.0
62,209912,4602,50841,52434,338,4602,157,0.0
63,205350,4562,52292,55554,369,4562,147,0.0
64,200648,4702,53548,58833,396,4702,175,0.0
65,196070,4578,54861,62191,427,4578,187,0.0
66,191304,4766,55943,65656,458,4766,144,0.0
67,186642,4662,56912,69414,497,4662,178,0.0
68,181959,4683,57773,73185,527,4683,201,0.0
69,177453,4506,58574,77033,561,4506,182,0.0
70,172879,4574,59094,80988,592,4574,197,0.0
71,168350,4529,59622,85003,623,4529,205,0.0
72,163896,4454,59925,89199,653,4454,186,0.0
73,159376,4520,60034,93495,702,4520,207,0.0
74,155001,4375,60261,97743,747,4375,221,0.0
75,150535,4466,60307,102019,800,4466,204,0.0
76,146209,4326,60290,106454,848,4326,226,0.0
77,141878,4331,60109,110922,887,4331,228,0.0
78,137676,4202,59981,115340,928,4202,204,0.0
79,133540,4136,59610,119865,976,4136,209,0.0
80,129598,3942,59081,124478,1028,3942,230,0.0
81,125583,4015,58425,129033,1071,4015,251,0.0
82,121705,3878,57775,133649,1120,3878,222,0.0
83,117793,3912,57166,138078,1178,3912,223,0.0
84,114166,3627,56453,142659,1222,3627,207,0.0
85,110506,3660,55581,147122,1258,3660,237,0.0
86,107047,3459,54820,151499,1302,3459,239,0.0
87,103602,3445,53814,155909,1357,3445,194,0.0
88,100289,3313,52829,160289,1407,3313,220,0.0
89,97007,3282,51760,164620,1458,3282,213,0.0
90,93894,3113,50797,168802,1521,3113,217,0.0
91,90894,3000,49685,172968,1580,3000,206,0.0
92,87883,3011,48547,177053,1633,3011,193,0.0
93,85005,2878,47520,181045,1679,2878,193,0.0
94,82268,2737,46323,185068,1731,2737,175,0.0
95,79625,2643,45049,189039,1771,2643,157,0.0
96,77103,2522,43869,192801,1832,2522,169,0.0
97,74655,2448,42473,196669,1882,2448,167,0.0
