#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,317194,425,0,0,0,0,0,0.0
-28,317194,425,0,0,0,0,0,0.0
-27,317194,425,0,0,0,0,0,0.0
-26,317194,425,0,0,0,0,0,0.0
-25,317194,425,0,0,0,0,0,0.0
-24,317194,425,0,0,0,0,0,0.0
-23,317194,425,0,0,0,0,0,0.0
-22,317194,425,0,0,0,0,0,0.0
-21,317194,425,0,0,0,0,0,0.0
-20,317194,374,51,0,0,0,0,0.0
-19,317194,374,51,0,0,0,0,0.0
-18,317193,358,68,0,0,1,0,0.0
-17,317192,341,86,0,0,1,0,0.0
-16,317189,326,104,0,0,3,0,0.0
-15,317185,310,123,1,0,4,0,0.0
-14,317183,257,177,2,0,2,0,0.0
-13,317176,177,263,3,0,7,0,0.0
-12,317163,115,335,6,0,13,0,0.0
-11,317151,80,380,8,0,12,0,0.0
-10,317131,20,450,18,0,20,0,0.0
-9,317109,22,460,28,0,22,0,0.0
-8,317087,22,477,33,0,22,1,0.0
-7,317050,37,491,41,0,37,1,0.0
-6,317018,32,516,53,0,32,2,0.0
-5,316970,48,518,83,0,48,2,0.0
-4,316936,34,537,112,0,34,1,0.0
-3,316889,47,537,146,0,47,3,0.0
-2,316828,61,560,169,1,61,2,0.0
-1,316768,60,579,209,3,60,2,0.0
0,316696,72,586,262,3,72,4,40.0
1,316592,104,622,298,3,104,1,7.0
2,316487,105,679,343,5,105,3,10.0
3,316352,135,735,392,5,135,0,4.0
4,316237,115,827,435,5,115,1,3.0
5,316089,148,896,480,6,148,4,5.0
6,315954,135,1004,519,7,135,2,6.0
7,315801,153,1095,563,7,153,1,6.0
8,315622,179,1208,603,7,179,0,9.0
9,315434,188,1347,643,7,188,1,12.0
10,315188,246,1484,694,7,246,5,7.0
11,314974,214,1670,754,7,214,3,11.0
12,314705,269,1813,824,8,269,3,18.0
13,314424,281,2010,896,8,281,6,13.0
14,314111,313,2203,984,8,313,4,27.0
15,313763,348,2423,1076,9,348,5,23.0
16,313571,192,2646,1200,10,192,4,33.0
17,313366,205,2735,1303,10,205,7,23.0
18,313160,206,2822,1421,10,206,5,35.0
19,312947,213,2900,1549,10,213,6,26.0
20,312699,248,2966,1696,10,248,5,23.0
21,312454,245,3064,1845,11,245,7,15.0
22,312192,262,3094,2060,11,262,9,1.0
23,312118,74,3136,2279,12,74,16,0.0
24,312048,70,2995,2493,13,70,10,0.0
25,311976,72,2852,2704,15,72,6,0.0
26,311905,71,2720,2907,16,71,8,0.0
27,311822,83,2541,3155,18,83,11,0.0
28,311739,83,2365,3414,18,83,5,0.0
29,311674,65,2191,3671,18,65,8,0.0
30,311588,86,2005,3918,22,86,10,0.0
31,311514,74,1860,4149,22,74,11,0.0
32,311437,77,1714,4368,23,77,7,0.0
33,311339,98,1561,4595,26,98,8,0.0
34,311242,97,1445,4809,26,97,5,0.0
35,311152,90,1381,4967,29,90,5,0.0
36,311058,94,1296,5139,32,94,7,0.0
37,310962,96,1249,5279,33,96,8,0.0
38,310876,86,1219,5402,36,86,1,0.0
39,310796,80,1180,5525,38,80,5,0.0
40,310692,104,1167,5617,39,104,2,0.0
41,310595,97,1179,5706,42,97,3,0.0
42,310493,102,1206,5776,42,102,4,0.0
43,310388,105,1223,5859,44,105,8,0.0
44,310284,104,1234,5950,47,104,3,0.0
45,310196,88,1247,6040,48,88,5,0.0
46,310085,111,1240,6135,48,111,2,0.0
47,309984,101,1270,6214,50,101,5,0.0
48,309900,84,1288,6296,51,84,3,0.0
49,309804,96,1282,6385,52,96,3,0.0
50,309688,116,1301,6462,52,116,4,0.0
51,309560,128,1327,6550,54,128,6,0.0
52,309450,110,1359,6643,57,110,4,0.0
53,309349,101,1370,6742,57,101,4,0.0
54,309236,113,1393,6819,58,113,5,0.0
55,309103,133,1420,6905,58,133,7,0.0
56,308971,132,1442,7013,61,132,6,0.0
57,308844,127,1469,7117,62,127,7,0.0
58,308719,125,1472,7236,67,125,2,0.0
59,308588,131,1500,7331,69,131,5,0.0
60,308448,140,1531,7430,70,140,7,0.0
61,308313,135,1561,7539,71,135,4,0.0
62,308172,141,1570,7663,73,141,6,0.0
63,308024,148,1610,7763,74,148,9,0.0
64,307886,138,1644,7874,77,138,6,0.0
65,307751,135,1691,7965,77,135,3,0.0
66,307613,138,1730,8060,78,138,3,0.0
67,307465,148,1742,8185,79,148,4,0.0
68,307314,151,1776,8299,79,151,3,0.0
69,307151,163,1805,8421,79,163,13,0.0
70,307018,133,1832,8557,79,133,5,0.0
71,306870,148,1829,8692,80,148,8,0.0
72,306695,175,1853,8814,82,175,9,0.0
73,306530,165,1920,8922,82,165,5,0.0
74,306358,172,1950,9057,82,172,8,0.0
75,306220,138,1981,9193,87,138,6,0.0
76,306053,167,1978,9332,89,167,3,0.0
77,305898,155,2004,9472,90,155,1,0.0
78,305707,191,2017,9613,91,191,4,0.0
79,305510,197,2058,9762,92,197,5,0.0
80,305315,195,2108,9907,94,195,11,0.0
81,305136,179,2159,10049,96,179,2,0.0
82,304935,201,2191,10195,97,201,12,0.0
83,304729,206,2239,10347,98,206,7,0.0
84,304524,205,2301,10491,98,205,4,0.0
85,304320,204,2365,10632,98,204,9,0.0
86,304103,217,2422,10778,99,217,9,0.0
87,303896,207,2496,10919,101,207,12,0.0
88,303672,224,2541,11080,102,224,6,0.0
89,303450,222,2578,11265,104,222,5,0.0
90,303236,214,2648,11414,107,214,11,0.0
91,303039,197,2679,11595,109,197,10,0.0
92,302824,215,2691,11776,113,215,10,0.0
93,302594,230,2736,11945,114,230,8,0.0
94,302359,235,2756,12152,117,235,11,0.0
95,302146,213,2798,12343,119,213,10,0.0
96,301924,222,2839,12513,121,222,8,0.0
97,301721,203,2841,12732,122,203,8,0.0
98,301463,258,2825,12950,123,258,10,0.0
99,301221,242,2860,13170,126,242,10,0.0
100,300995,226,2891,13379,128,226,12,0.0
101,300770,225,2900,13595,129,225,6,0.0
102,300521,249,2915,13804,130,249,6,0.0
103,300287,234,2963,14004,131,234,10,0.0
104,300033,254,3009,14189,134,254,10,0.0
105,299806,227,3035,14412,139,227,11,0.0
106,299545,261,3051,14621,141,261,8,0.0
107,299308,237,3108,14822,144,237,5,0.0
108,298994,314,3138,15028,145,314,12,0.0
109,298737,257,3191,15285,149,257,11,0.0
