#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,317065,425,0,0,0,0,0,0.0
-28,317065,425,0,0,0,0,0,0.0
-27,317065,425,0,0,0,0,0,0.0
-26,317065,425,0,0,0,0,0,0.0
-25,317065,425,0,0,0,0,0,0.0
-24,317065,425,0,0,0,0,0,0.0
-23,317065,425,0,0,0,0,0,0.0
-22,317065,425,0,0,0,0,0,0.0
-21,317065,425,0,0,0,0,0,0.0
-20,317065,374,51,0,0,0,0,0.0
-19,317065,374,51,0,0,0,0,0.0
-18,317065,357,68,0,0,0,0,0.0
-17,317064,341,85,0,0,1,0,0.0
-16,317063,324,103,0,0,1,0,0.0
-15,317060,309,121,0,0,3,0,0.0
-14,317056,259,173,2,0,4,0,0.0
-13,317052,174,261,3,0,4,0,0.0
-12,317048,106,330,6,0,4,0,0.0
-11,317038,78,360,14,0,10,1,0.0
-10,317022,16,432,20,0,16,0,0.0
-9,317006,16,442,26,0,16,1,0.0
-8,316982,24,444,40,0,24,1,0.0
-7,316953,29,457,51,0,29,3,0.0
-6,316920,33,469,68,0,33,1,0.0
-5,316887,33,472,98,0,33,1,0.0
-4,316853,34,484,118,1,34,2,0.0
-3,316809,44,491,145,1,44,3,0.0
-2,316752,57,508,172,1,57,1,0.0
-1,316695,57,531,206,1,57,1,0.0
0,316625,70,541,252,2,70,1,40.0
1,316553,72,578,284,3,72,1,7.0
2,316476,77,614,320,3,77,0,10.0
3,316396,80,641,369,4,80,3,4.0
4,316297,99,683,407,4,99,0,3.0
5,316187,110,733,456,4,110,3,5.0
6,316052,135,812,487,4,135,2,6.0
7,315931,121,915,519,4,121,1,6.0
8,315757,174,1001,554,4,174,3,9.0
9,315587,170,1116,613,4,170,2,12.0
10,315380,207,1240,658,5,207,1,7.0
11,315190,190,1392,713,5,190,1,11.0
12,314964,226,1523,772,5,226,4,18.0
13,314671,293,1683,838,5,293,1,13.0
14,314391,280,1911,901,7,280,4,27.0
15,314038,353,2124,968,7,353,3,23.0
16,313833,205,2408,1037,7,205,6,33.0
17,313630,203,2520,1130,7,203,10,23.0
18,313439,191,2616,1237,7,191,7,35.0
19,313253,186,2697,1345,9,186,4,26.0
20,313075,178,2723,1504,10,178,2,23.0
21,312863,212,2737,1663,15,212,7,15.0
22,312667,196,2791,1820,16,196,8,1.0
23,312602,65,2813,1993,17,65,7,0.0
24,312535,67,2687,2184,17,67,4,0.0
25,312471,64,2552,2386,17,64,6,0.0
26,312417,54,2403,2598,18,54,9,0.0
27,312355,62,2207,2848,18,62,6,0.0
28,312290,65,2064,3053,18,65,7,0.0
29,312213,77,1884,3297,19,77,4,0.0
30,312141,72,1734,3522,21,72,3,0.0
31,312070,71,1630,3696,23,71,4,0.0
32,311991,79,1496,3901,23,79,3,0.0
33,311915,76,1387,4089,23,76,3,0.0
34,311839,76,1291,4258,26,76,4,0.0
35,311752,87,1216,4409,26,87,3,0.0
36,311674,78,1157,4554,27,78,3,0.0
37,311591,83,1109,4678,29,83,8,0.0
38,311502,89,1087,4783,29,89,4,0.0
39,311417,85,1074,4885,29,85,3,0.0
40,311322,95,1073,4971,29,95,1,0.0
41,311246,76,1076,5062,30,76,2,0.0
42,311139,107,1066,5146,32,107,4,0.0
43,311049,90,1089,5229,33,90,5,0.0
44,310938,111,1098,5309,34,111,2,0.0
45,310850,88,1134,5383,35,88,5,0.0
46,310772,78,1156,5449,35,78,2,0.0
47,310668,104,1147,5534,37,104,3,0.0
48,310561,107,1178,5606,38,107,2,0.0
49,310464,97,1196,5694,39,97,4,0.0
50,310353,111,1226,5760,40,111,3,0.0
51,310257,96,1241,5854,42,96,4,0.0
52,310154,103,1259,5932,42,103,4,0.0
53,310071,83,1276,6017,43,83,4,0.0
54,309970,101,1266,6110,43,101,5,0.0
55,309848,122,1277,6199,44,122,6,0.0
56,309739,109,1305,6293,44,109,7,0.0
57,309601,138,1322,6384,45,138,7,0.0
58,309471,130,1365,6479,45,130,3,0.0
59,309350,121,1389,6585,45,121,2,0.0
60,309236,114,1416,6677,47,114,1,0.0
61,309101,135,1446,6759,49,135,4,0.0
62,308954,147,1470,6869,50,147,4,0.0
63,308556,398,1518,6967,51,398,2,0.0
64,308110,446,1824,7059,51,446,2,0.0
65,307688,422,2171,7157,52,422,3,0.0
66,307197,491,2496,7252,54,491,9,0.0
67,306754,443,2866,7373,54,443,3,0.0
68,306242,512,3202,7479,55,512,4,0.0
69,305782,460,3616,7576,56,460,6,0.0
70,305258,524,3935,7716,57,524,10,0.0
71,304770,488,4327,7848,57,488,13,0.0
72,304261,509,4668,7993,59,509,9,0.0
73,303704,557,5027,8143,59,557,10,0.0
74,303130,574,5396,8329,61,574,10,0.0
75,302589,541,5749,8549,62,541,10,0.0
76,301949,640,6020,8816,65,640,8,0.0
77,301305,644,6326,9147,68,644,20,0.0
78,300628,677,6652,9461,72,677,22,0.0
79,299953,675,6926,9863,73,675,25,0.0
80,299227,726,7197,10265,75,726,22,0.0
81,298493,734,7515,10671,77,734,17,0.0
82,297746,747,7806,11113,78,747,32,0.0
83,296955,791,8043,11620,81,791,26,0.0
84,296127,828,8317,12129,89,828,27,0.0
85,295306,821,8654,12610,99,821,27,0.0
86,294452,854,8937,13144,103,854,26,0.0
87,293558,894,9228,13703,107,894,30,0.0
88,292668,890,9587,14237,108,890,40,0.0
89,291741,927,9892,14817,113,927,27,0.0
90,290777,964,10215,15417,117,964,40,0.0
91,289783,994,10554,16035,124,994,31,0.0
92,288736,1047,10897,16679,131,1047,32,0.0
93,287723,1013,11302,17311,141,1013,34,0.0
94,286722,1001,11616,18004,147,1001,49,0.0
95,285663,1059,11839,18768,161,1059,39,0.0
96,284509,1154,12125,19531,171,1154,58,0.0
97,283425,1084,12458,20346,177,1084,41,0.0
98,282246,1179,12746,21135,184,1179,36,0.0
99,281067,1179,13111,21942,191,1179,44,0.0
100,279901,1166,13438,22787,198,1166,58,0.0
101,278637,1264,13721,23663,205,1264,53,0.0
102,277444,1193,14057,24585,211,1193,49,0.0
103,276173,1271,14331,25497,218,1271,53,0.0
104,274891,1282,14702,26393,222,1282,50,0.0
105,273580,1311,14985,27382,232,1311,47,0.0
106,272295,1285,15364,28307,239,1285,58,0.0
107,270994,1301,15620,29319,256,1301,59,0.0
108,269675,1319,15877,30349,270,1319,62,0.0
109,268323,1352,16144,31394,277,1352,66,0.0
110,266980,1343,16427,32456,284,1343,74,0.0
111,265654,1326,16614,33597,299,1326,73,0.0
112,264277,1377,16814,34710,312,1377,58,0.0
113,262848,1429,16999,35891,323,1429,54,0.0
114,261381,1467,17198,37107,337,1467,46,0.0
115,259908,1473,17481,38275,353,1473,73,0.0
116,258472,1436,17763,39450,369,1436,68,0.0
117,257045,1427,17962,40670,386,1427,58,0.0
118,255625,1420,18069,41978,398,1420,71,0.0
119,254159,1466,18175,43279,411,1466,54,0.0
120,252728,1431,18372,44533,426,1431,61,0.0
121,251241,1487,18573,45746,443,1487,71,0.0
122,249693,1548,18772,47017,460,1548,74,0.0
123,248191,1502,18933,48389,475,1502,68,0.0
124,246640,1551,19031,49782,486,1551,68,0.0
125,245185,1455,19193,51157,500,1455,74,0.0
126,243681,1504,19286,52501,518,1504,70,0.0
127,242169,1512,19477,53800,532,1512,73,0.0
128,240670,1499,19588,55181,552,1499,83,0.0
129,239130,1540,19707,56541,572,1540,65,0.0
130,237628,1502,19822,57955,583,1502,68,0.0
131,236082,1546,19797,59467,598,1546,64,0.0
132,234550,1532,19900,60891,617,1532,87,0.0
133,233008,1542,19974,62331,635,1542,87,0.0
134,231511,1497,20041,63789,652,1497,76,0.0
135,229972,1539,20044,65259,676,1539,78,0.0
136,228404,1568,20103,66720,695,1568,74,0.0
137,226898,1506,20247,68129,710,1506,77,0.0
138,225338,1560,20276,69596,720,1560,87,0.0
139,223827,1511,20286,71123,743,1511,88,0.0
140,222238,1589,20303,72596,764,1589,83,0.0
141,220760,1478,20389,74083,780,1478,81,0.0
142,219255,1505,20404,75529,797,1505,72,0.0
143,217744,1511,20401,77018,816,1511,82,0.0
144,216212,1532,20361,78550,835,1532,66,0.0
145,214795,1417,20299,80126,853,1417,82,0.0
146,213263,1532,20145,81675,875,1532,87,0.0
147,211730,1533,20140,83193,894,1533,76,0.0
148,210193,1537,20141,84707,912,1537,76,0.0
149,208698,1495,20139,86227,931,1495,90,0.0
150,207213,1485,20195,87644,953,1485,87,0.0
151,205651,1562,20153,89151,973,1562,82,0.0
152,204126,1525,20125,90725,989,1525,101,0.0
153,202650,1476,20168,92193,1003,1476,78,0.0
154,201194,1456,20127,93689,1024,1456,68,0.0
155,199699,1495,20092,95166,1038,1495,76,0.0
156,198221,1478,20101,96630,1060,1478,81,0.0
157,196698,1523,20042,98146,1081,1523,79,0.0
158,195271,1427,20070,99621,1101,1427,77,0.0
159,193858,1413,19995,101111,1113,1413,75,0.0
160,192453,1405,19825,102669,1138,1405,83,0.0
161,191049,1404,19680,104196,1161,1404,75,0.0
162,189579,1470,19561,105703,1177,1470,79,0.0
163,188177,1402,19529,107182,1200,1402,80,0.0
164,186776,1401,19405,108695,1213,1401,72,0.0
165,185333,1443,19310,110166,1238,1443,78,0.0
166,183941,1392,19291,111611,1255,1392,82,0.0
167,182530,1411,19183,113094,1272,1411,71,0.0
168,181158,1372,19148,114523,1289,1372,62,0.0
169,179752,1406,19004,116019,1309,1406,69,0.0
170,178435,1317,18953,117454,1331,1317,81,0.0
171,177064,1371,18782,118923,1350,1371,71,0.0
172,175687,1377,18727,120339,1360,1377,70,0.0
173,174363,1324,18628,121804,1371,1324,61,0.0
174,173021,1342,18530,123203,1394,1342,81,0.0
175,171639,1382,18507,124557,1405,1382,72,0.0
176,170310,1329,18472,125952,1427,1329,75,0.0
177,169005,1305,18319,127412,1449,1305,74,0.0
178,167738,1267,18208,128816,1461,1267,61,0.0
179,166496,1242,18083,130193,1476,1242,61,0.0
180,165274,1222,17880,131628,1486,1222,71,0.0
