#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,327480,425,0,0,0,0,0,0.0
-28,327480,425,0,0,0,0,0,0.0
-27,327480,425,0,0,0,0,0,0.0
-26,327480,425,0,0,0,0,0,0.0
-25,327480,425,0,0,0,0,0,0.0
-24,327480,425,0,0,0,0,0,0.0
-23,327480,425,0,0,0,0,0,0.0
-22,327480,425,0,0,0,0,0,0.0
-21,327480,425,0,0,0,0,0,0.0
-20,327480,374,51,0,0,0,0,0.0
-19,327480,374,51,0,0,0,0,0.0
-18,327479,358,68,0,0,1,0,0.0
-17,327478,341,85,1,0,1,0,0.0
-16,327475,326,103,1,0,3,0,0.0
-15,327470,311,122,2,0,5,0,0.0
-14,327467,258,178,2,0,3,1,0.0
-13,327456,181,262,6,0,11,1,0.0
-12,327448,110,335,12,0,8,0,0.0
-11,327431,85,371,18,0,17,0,0.0
-10,327413,18,450,24,0,18,2,0.0
-9,327397,16,460,32,0,16,1,0.0
-8,327370,27,469,39,0,27,1,0.0
-7,327325,45,485,50,0,45,0,0.0
-6,327289,36,512,68,0,36,1,0.0
-5,327236,53,523,93,0,53,5,0.0
-4,327180,56,549,120,0,56,3,0.0
-3,327124,56,562,163,0,56,1,0.0
-2,327052,72,586,195,0,72,6,0.0
-1,326960,92,625,228,0,92,1,0.0
0,326860,100,675,270,0,100,4,40.0
1,326749,111,731,314,0,111,4,7.0
2,326603,146,794,362,0,146,2,10.0
3,326438,165,896,405,1,165,3,4.0
4,326278,160,1018,448,1,160,2,3.0
5,326068,210,1135,491,1,210,2,5.0
6,325809,259,1302,533,2,259,1,6.0
7,325533,276,1514,579,3,276,4,6.0
8,325228,305,1744,625,3,305,2,9.0
9,324911,317,1996,678,3,317,1,12.0
10,324561,350,2246,745,3,350,3,7.0
11,324196,365,2515,826,3,365,3,11.0
12,323823,373,2799,907,3,373,11,18.0
13,323404,419,3055,1023,4,419,5,13.0
14,322973,431,3368,1129,4,431,7,27.0
15,322542,431,3651,1276,5,431,5,23.0
16,322302,240,3932,1426,5,240,6,33.0
17,322048,254,4020,1578,5,254,13,23.0
18,321773,275,4074,1776,7,275,19,35.0
19,321492,281,4100,2023,9,281,16,26.0
20,321165,327,4154,2248,11,327,11,23.0
21,320839,326,4216,2512,12,326,11,15.0
22,320478,361,4249,2804,13,361,12,1.0
23,320393,85,4296,3116,15,85,11,0.0
24,320305,88,4044,3451,17,88,12,0.0
25,320223,82,3837,3741,22,82,11,0.0
26,320138,85,3603,4057,22,85,11,0.0
27,320048,90,3359,4384,24,90,7,0.0
28,319950,98,3087,4740,30,98,7,0.0
29,319835,115,2863,5060,32,115,11,0.0
30,319732,103,2660,5377,33,103,10,0.0
31,319617,115,2450,5685,38,115,8,0.0
32,319488,129,2261,5986,41,129,10,0.0
33,319395,93,2091,6281,45,93,7,0.0
34,319277,118,1925,6536,49,118,5,0.0
35,319158,119,1800,6778,50,119,8,0.0
36,319039,119,1720,6977,50,119,9,0.0
37,318916,123,1635,7180,51,123,3,0.0
38,318808,108,1600,7335,54,108,7,0.0
39,318666,142,1570,7470,57,142,6,0.0
40,318533,133,1576,7602,61,133,3,0.0
41,318415,118,1568,7742,62,118,7,0.0
42,318280,135,1569,7857,64,135,5,0.0
43,318141,139,1590,7970,65,139,4,0.0
44,318006,135,1614,8083,67,135,4,0.0
45,317886,120,1622,8210,67,120,5,0.0
46,317754,132,1613,8339,67,132,7,0.0
47,317604,150,1622,8460,69,150,5,0.0
