#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,327667,426,0,0,0,0,0,0.0
-28,327667,426,0,0,0,0,0,0.0
-27,327667,426,0,0,0,0,0,0.0
-26,327667,426,0,0,0,0,0,0.0
-25,327667,426,0,0,0,0,0,0.0
-24,327667,426,0,0,0,0,0,0.0
-23,327667,426,0,0,0,0,0,0.0
-22,327667,426,0,0,0,0,0,0.0
-21,327667,426,0,0,0,0,0,0.0
-20,327667,375,51,0,0,0,0,0.0
-19,327667,375,51,0,0,0,0,0.0
-18,327666,359,68,0,0,1,0,0.0
-17,327664,343,86,0,0,2,0,0.0
-16,327658,330,105,0,0,6,0,0.0
-15,327653,312,127,1,0,5,1,0.0
-14,327645,264,182,2,0,8,0,0.0
-13,327632,183,276,2,0,13,0,0.0
-12,327621,113,355,4,0,11,1,0.0
-11,327611,78,396,8,0,10,0,0.0
-10,327589,22,467,15,0,22,1,0.0
-9,327572,17,477,27,0,17,1,0.0
-8,327536,36,485,36,0,36,0,0.0
-7,327507,29,504,53,0,29,1,0.0
-6,327460,47,512,74,0,47,2,0.0
-5,327401,59,539,94,0,59,2,0.0
-4,327342,59,572,120,0,59,1,0.0
-3,327280,62,607,144,0,62,3,0.0
-2,327209,71,629,184,0,71,3,0.0
-1,327097,112,650,234,0,112,2,0.0
0,327028,69,721,275,0,69,3,40.0
1,326938,90,751,313,1,90,5,7.0
2,326815,123,789,362,4,123,3,10.0
3,326682,133,875,399,4,133,2,4.0
4,326522,160,954,452,5,160,1,3.0
5,326365,157,1069,497,5,157,2,5.0
6,326168,197,1172,551,5,197,3,6.0
7,325964,204,1315,603,7,204,3,6.0
8,325727,237,1459,663,7,237,0,9.0
9,325453,274,1647,711,8,274,2,12.0
10,325143,310,1852,777,11,310,0,7.0
11,324824,319,2100,838,12,319,6,11.0
12,324460,364,2348,909,12,364,3,18.0
13,324005,455,2622,997,14,455,6,13.0
14,323512,493,2975,1097,16,493,5,27.0
15,322962,550,3358,1207,16,550,4,23.0
16,322699,263,3785,1330,16,263,8,33.0
17,322410,289,3919,1459,16,289,8,23.0
18,322072,338,4055,1612,16,338,7,35.0
19,321712,360,4205,1799,17,360,8,26.0
20,321353,359,4353,2011,17,359,8,23.0
21,320995,358,4478,2243,19,358,13,15.0
22,320547,448,4602,2477,19,448,15,1.0
23,320453,94,4751,2776,19,94,14,0.0
24,320365,88,4535,3085,20,88,8,0.0
25,320255,110,4313,3393,22,110,10,0.0
26,320132,123,4083,3732,23,123,15,0.0
27,320016,116,3884,4051,26,116,20,0.0
28,319907,109,3641,4406,30,109,13,0.0
29,319780,127,3391,4762,33,127,12,0.0
30,319654,126,3118,5161,34,126,12,0.0
31,319515,139,2880,5520,39,139,11,0.0
32,319380,135,2687,5851,40,135,11,0.0
33,319249,131,2473,6196,44,131,9,0.0
34,319095,154,2284,6514,46,154,14,0.0
35,318942,153,2153,6796,49,153,11,0.0
36,318806,136,2061,7038,52,136,9,0.0
37,318673,133,1957,7278,52,133,4,0.0
38,318517,156,1887,7476,57,156,4,0.0
39,318364,153,1876,7641,59,153,8,0.0
40,318194,170,1884,7786,59,170,4,0.0
41,318041,153,1890,7947,62,153,10,0.0
42,317873,168,1910,8076,66,168,10,0.0
43,317704,169,1937,8215,68,169,6,0.0
44,317536,168,1978,8341,70,168,4,0.0
45,317352,184,2006,8478,73,184,5,0.0
46,317181,171,2028,8637,76,171,10,0.0
47,316995,186,2074,8758,80,186,6,0.0
48,316833,162,2114,8902,82,162,5,0.0
49,316684,149,2147,9031,82,149,14,0.0
50,316518,166,2154,9170,85,166,6,0.0
51,316342,176,2174,9316,85,176,7,0.0
52,316140,202,2216,9449,86,202,5,0.0
53,315943,197,2244,9623,86,197,5,0.0
54,315738,205,2281,9783,86,205,12,0.0
55,315540,198,2319,9949,87,198,10,0.0
56,315333,207,2352,10113,88,207,5,0.0
57,315116,217,2399,10269,92,217,5,0.0
58,314877,239,2452,10431,94,239,4,0.0
59,314649,228,2533,10589,94,228,17,0.0
60,314414,235,2587,10761,96,235,11,0.0
61,314219,195,2629,10954,96,195,9,0.0
62,314009,210,2642,11136,96,210,3,0.0
63,313774,235,2674,11313,97,235,7,0.0
64,313506,268,2725,11496,98,268,7,0.0
65,313211,295,2818,11667,102,295,9,0.0
66,312943,268,2922,11858,102,268,10,0.0
67,312653,290,2977,12071,102,290,7,0.0
68,312362,291,3083,12255,102,291,9,0.0
69,312052,310,3167,12459,105,310,8,0.0
70,311766,286,3286,12649,106,286,12,0.0
71,311396,370,3362,12856,109,370,12,0.0
72,311057,339,3514,13070,113,339,13,0.0
73,310723,334,3637,13286,113,334,5,0.0
74,310400,323,3749,13507,114,323,10,0.0
75,310053,347,3849,13728,116,347,16,0.0
76,309708,345,3939,13983,118,345,14,0.0
77,309360,348,4039,14224,122,348,11,0.0
78,308988,372,4116,14494,123,372,10,0.0
79,308615,373,4232,14748,125,373,9,0.0
80,308253,362,4326,15025,127,362,17,0.0
81,307884,369,4413,15297,130,369,10,0.0
82,307506,378,4453,15623,133,378,11,0.0
83,307088,418,4548,15903,136,418,17,0.0
84,306694,394,4667,16200,138,394,9,0.0
85,306281,413,4726,16533,140,413,13,0.0
86,305879,402,4814,16856,142,402,17,0.0
87,305458,421,4911,17158,145,421,17,0.0
88,305019,439,5007,17480,148,439,11,0.0
89,304592,427,5107,17816,151,427,12,0.0
90,304207,385,5182,18163,156,385,21,0.0
91,303775,432,5206,18520,160,432,26,0.0
92,303331,444,5293,18863,162,444,15,0.0
93,302890,441,5374,19223,165,441,23,0.0
94,302415,475,5464,19570,169,475,15,0.0
95,301939,476,5553,19952,173,476,19,0.0
96,301427,512,5652,20327,175,512,19,0.0
97,300952,475,5771,20714,181,475,24,0.0
98,300445,507,5871,21085,185,507,15,0.0
99,299967,478,5966,21491,191,478,22,0.0
100,299493,474,6034,21897,195,474,20,0.0
101,298983,510,6078,22322,200,510,22,0.0
102,298516,467,6151,22753,206,467,29,0.0
103,297989,527,6157,23206,214,527,16,0.0
104,297460,529,6245,23643,216,529,11,0.0
105,296938,522,6345,24070,218,522,25,0.0
106,296435,503,6409,24525,221,503,21,0.0
107,295930,505,6475,24956,227,505,24,0.0
108,295393,537,6547,25387,229,537,22,0.0
109,294808,585,6654,25814,232,585,20,0.0
110,294254,554,6768,26281,236,554,20,0.0
111,293724,530,6841,26756,242,530,20,0.0
112,293160,564,6868,27251,250,564,25,0.0
113,292608,552,6934,27743,256,552,18,0.0
114,292049,559,7002,28218,265,559,32,0.0
115,291497,552,7048,28725,271,552,37,0.0
116,290946,551,7080,29239,277,551,26,0.0
117,290346,600,7096,29769,282,600,33,0.0
118,289763,583,7198,30266,283,583,20,0.0
119,289198,565,7255,30790,285,565,20,0.0
120,288613,585,7299,31305,291,585,26,0.0
121,287943,670,7358,31828,294,670,29,0.0
122,287294,649,7505,32345,300,649,25,0.0
123,286618,676,7600,32893,306,676,24,0.0
124,286000,618,7764,33397,314,618,25,0.0
125,285387,613,7810,33964,319,613,25,0.0
126,284805,582,7924,34456,326,582,31,0.0
127,284135,670,7946,35010,332,670,15,0.0
128,283504,631,8039,35582,337,631,37,0.0
129,282880,624,8171,36077,341,624,23,0.0
130,282188,692,8182,36685,346,692,27,0.0
131,281525,663,8328,37224,353,663,41,0.0
132,280866,659,8375,37833,360,659,33,0.0
133,280243,623,8418,38446,363,623,30,0.0
134,279583,660,8414,39069,367,660,36,0.0
135,278926,657,8429,39709,372,657,36,0.0
136,278176,750,8505,40288,374,750,37,0.0
137,277463,713,8647,40884,386,713,30,0.0
138,276735,728,8729,41505,396,728,29,0.0
139,275996,739,8823,42135,400,739,38,0.0
140,275290,706,8963,42726,408,706,39,0.0
141,274546,744,9025,43366,412,744,34,0.0
142,273774,772,9147,43983,417,772,36,0.0
143,273030,744,9273,44622,424,744,32,0.0
144,272297,733,9401,45233,429,733,39,0.0
145,271554,743,9464,45894,438,743,34,0.0
146,270797,757,9586,46506,447,757,43,0.0
147,270074,723,9680,47159,457,723,26,0.0
148,269309,765,9718,47840,461,765,33,0.0
149,268525,784,9757,48559,468,784,30,0.0
150,267760,765,9838,49255,475,765,43,0.0
151,266965,795,9855,49997,481,795,32,0.0
152,266152,813,9904,50739,485,813,24,0.0
153,265391,761,10025,51418,498,761,40,0.0
154,264562,829,10004,52189,509,829,37,0.0
155,263829,733,10118,52897,516,733,42,0.0
156,263024,805,10141,53599,524,805,30,0.0
157,262200,824,10216,54322,531,824,30,0.0
158,261393,807,10304,55053,536,807,30,0.0
159,260552,841,10405,55751,544,841,41,0.0
160,259699,853,10538,56453,550,853,46,0.0
161,258888,811,10609,57223,562,811,41,0.0
162,258048,840,10645,57982,578,840,36,0.0
163,257170,878,10684,58773,588,878,36,0.0
164,256353,817,10812,59519,592,817,31,0.0
165,255518,835,10806,60325,609,835,37,0.0
166,254696,822,10839,61114,622,822,46,0.0
167,253871,825,10844,61925,628,825,53,0.0
168,253019,852,10910,62673,639,852,49,0.0
169,252188,831,11017,63413,644,831,36,0.0
170,251316,872,11073,64180,652,872,25,0.0
171,250470,846,11114,65003,660,846,37,0.0
172,249640,830,11129,65825,669,830,43,0.0
173,248806,834,11095,66681,677,834,40,0.0
174,247899,907,11144,67458,685,907,39,0.0
175,246997,902,11190,68309,695,902,39,0.0
176,246126,871,11255,69132,709,871,46,0.0
177,245169,957,11364,69889,714,957,44,0.0
178,244211,958,11505,70695,724,958,40,0.0
179,243292,919,11624,71519,739,919,52,0.0
180,242342,950,11705,72355,741,950,48,0.0
