#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,328400,425,0,0,0,0,0,0.0
-28,328400,425,0,0,0,0,0,0.0
-27,328400,425,0,0,0,0,0,0.0
-26,328400,425,0,0,0,0,0,0.0
-25,328400,425,0,0,0,0,0,0.0
-24,328400,425,0,0,0,0,0,0.0
-23,328400,425,0,0,0,0,0,0.0
-22,328400,425,0,0,0,0,0,0.0
-21,328400,425,0,0,0,0,0,0.0
-20,328400,374,51,0,0,0,0,0.0
-19,328399,375,51,0,0,1,0,0.0
-18,328398,358,69,0,0,1,0,0.0
-17,328396,342,87,0,0,2,0,0.0
-16,328395,324,106,0,0,1,0,0.0
-15,328394,307,124,0,0,1,0,0.0
-14,328389,260,175,1,0,5,0,0.0
-13,328379,180,262,4,0,10,0,0.0
-12,328372,109,338,6,0,7,0,0.0
-11,328358,82,373,12,0,14,0,0.0
-10,328332,26,449,18,0,26,2,0.0
-9,328308,24,467,26,0,24,2,0.0
-8,328276,32,479,38,0,32,4,0.0
-7,328238,38,499,50,0,38,0,0.0
-6,328187,51,518,69,0,51,3,0.0
-5,328134,53,545,93,0,53,3,0.0
-4,328065,69,575,116,0,69,3,0.0
-3,327985,80,617,143,0,80,0,0.0
-2,327903,82,654,185,1,82,3,0.0
-1,327786,117,686,235,1,117,2,0.0
0,327668,118,752,286,1,118,1,40.0
1,327527,141,823,333,1,141,3,7.0
2,327339,188,920,377,1,188,2,10.0
3,327138,201,1067,418,1,201,1,4.0
4,326927,211,1228,458,1,211,2,3.0
5,326666,261,1396,501,1,261,3,5.0
6,326378,288,1607,551,1,288,3,6.0
7,326052,326,1837,609,1,326,4,6.0
8,325740,312,2109,663,1,312,2,9.0
9,325422,318,2368,716,1,318,2,12.0
10,325049,373,2612,790,1,373,4,7.0
11,324605,444,2877,898,1,444,1,11.0
12,324199,406,3196,1020,4,406,5,18.0
13,323710,489,3489,1131,6,489,5,13.0
14,323214,496,3850,1259,6,496,5,27.0
15,322619,595,4196,1407,8,595,11,23.0
16,322327,292,4592,1605,9,292,10,33.0
17,322022,305,4677,1811,10,305,12,23.0
18,321686,336,4765,2028,10,336,15,35.0
19,321368,318,4862,2266,11,318,14,26.0
20,320991,377,4897,2548,12,377,13,23.0
21,320588,403,4995,2824,15,403,10,15.0
22,320169,419,5070,3152,15,419,15,1.0
23,320065,104,5114,3525,17,104,18,0.0
24,319965,100,4851,3889,20,100,15,0.0
25,319851,114,4572,4265,23,114,14,0.0
26,319738,113,4286,4660,28,113,9,0.0
27,319606,132,4031,5025,31,132,12,0.0
28,319465,141,3758,5426,35,141,14,0.0
29,319321,144,3488,5835,37,144,17,0.0
30,319187,134,3224,6236,44,134,13,0.0
31,319041,146,2987,6603,48,146,10,0.0
32,318914,127,2776,6957,51,127,6,0.0
33,318771,143,2547,7312,52,143,10,0.0
34,318630,141,2379,7622,53,141,8,0.0
35,318487,143,2232,7909,54,143,10,0.0
36,318312,175,2130,8153,55,175,12,0.0
37,318153,159,2071,8382,60,159,6,0.0
38,318017,136,2025,8585,62,136,8,0.0
39,317840,177,1976,8769,63,177,7,0.0
40,317660,180,1995,8925,65,180,7,0.0
41,317493,167,2045,9050,70,167,6,0.0
42,317342,151,2054,9207,71,151,12,0.0
43,317182,160,2065,9345,73,160,11,0.0
44,317010,172,2076,9492,75,172,7,0.0
45,316830,180,2083,9655,77,180,15,0.0
46,316649,181,2120,9795,80,181,6,0.0
47,316475,174,2155,9941,80,174,5,0.0
48,316312,163,2183,10086,81,163,4,0.0
49,316109,203,2186,10242,85,203,7,0.0
50,315908,201,2249,10381,86,201,4,0.0
51,315717,191,2291,10538,88,191,9,0.0
52,315515,202,2335,10683,90,202,8,0.0
53,315272,243,2375,10843,92,243,7,0.0
54,315047,225,2459,11000,94,225,6,0.0
55,314854,193,2522,11160,96,193,14,0.0
56,314630,224,2548,11326,97,224,6,0.0
57,314419,211,2615,11481,99,211,6,0.0
58,314206,213,2636,11669,101,213,12,0.0
