#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,328456,425,0,0,0,0,0,0.0
-28,328456,425,0,0,0,0,0,0.0
-27,328456,425,0,0,0,0,0,0.0
-26,328456,425,0,0,0,0,0,0.0
-25,328456,425,0,0,0,0,0,0.0
-24,328456,425,0,0,0,0,0,0.0
-23,328456,425,0,0,0,0,0,0.0
-22,328456,425,0,0,0,0,0,0.0
-21,328456,425,0,0,0,0,0,0.0
-20,328456,374,51,0,0,0,0,0.0
-19,328456,374,51,0,0,0,0,0.0
-18,328456,357,68,0,0,0,0,0.0
-17,328454,342,85,0,0,2,0,0.0
-16,328452,325,104,0,0,2,0,0.0
-15,328448,310,123,0,0,4,0,0.0
-14,328445,258,177,1,0,3,1,0.0
-13,328437,178,264,2,0,8,0,0.0
-12,328421,118,337,5,0,16,0,0.0
-11,328408,81,380,12,0,13,0,0.0
-10,328393,15,457,16,0,15,2,0.0
-9,328370,23,463,25,0,23,2,0.0
-8,328338,32,479,32,0,32,0,0.0
-7,328302,36,497,46,0,36,2,0.0
-6,328263,39,511,68,0,39,3,0.0
-5,328205,58,533,84,1,58,3,0.0
-4,328145,60,573,102,1,60,4,0.0
-3,328066,79,603,132,1,79,2,0.0
-2,327991,75,644,170,1,75,0,0.0
-1,327891,100,663,225,2,100,1,0.0
0,327784,107,721,267,2,107,1,40.0
1,327670,114,778,317,2,114,5,7.0
2,327509,161,846,363,2,161,2,10.0
3,327360,149,963,406,3,149,1,4.0
4,327177,183,1068,450,3,183,3,3.0
5,326942,235,1206,495,3,235,4,5.0
6,326672,270,1400,535,4,270,2,6.0
7,326390,282,1608,595,6,282,0,6.0
8,326084,306,1832,653,6,306,0,9.0
9,325743,341,2081,709,7,341,3,12.0
10,325407,336,2354,777,7,336,1,7.0
11,325037,370,2596,870,8,370,9,11.0
12,324666,371,2869,967,8,371,4,18.0
13,324258,408,3140,1067,8,408,6,13.0
14,323835,423,3429,1184,10,423,6,27.0
15,323370,465,3701,1334,11,465,9,23.0
16,323155,215,4021,1478,12,215,8,33.0
17,322922,233,4074,1640,12,233,8,23.0
18,322630,292,4103,1843,13,292,11,35.0
19,322337,293,4170,2067,14,293,15,26.0
20,322036,301,4221,2309,14,301,16,23.0
21,321736,300,4252,2579,14,300,8,15.0
22,321361,375,4269,2862,14,375,18,1.0
23,321284,77,4341,3162,17,77,20,0.0
24,321206,78,4079,3498,20,78,16,0.0
25,321108,98,3803,3851,21,98,13,0.0
26,321016,92,3568,4179,26,92,21,0.0
27,320918,98,3324,4514,27,98,10,0.0
28,320820,98,3084,4849,30,98,14,0.0
29,320730,90,2885,5142,34,90,6,0.0
30,320606,124,2666,5445,40,124,13,0.0
31,320516,90,2474,5756,45,90,7,0.0
32,320402,114,2246,6072,47,114,8,0.0
33,320285,117,2080,6348,51,117,8,0.0
34,320158,127,1927,6617,52,127,8,0.0
35,320049,109,1801,6869,53,109,5,0.0
36,319924,125,1683,7096,53,125,12,0.0
37,319783,141,1626,7275,56,141,1,0.0
38,319657,126,1605,7436,57,126,11,0.0
39,319535,122,1582,7583,59,122,8,0.0
40,319404,131,1565,7718,63,131,2,0.0
41,319256,148,1568,7846,63,148,10,0.0
42,319117,139,1610,7951,64,139,4,0.0
43,318971,146,1654,8045,65,146,4,0.0
44,318831,140,1672,8167,71,140,4,0.0
45,318695,136,1687,8288,75,136,5,0.0
46,318557,138,1719,8391,76,138,6,0.0
47,318410,147,1745,8502,77,147,9,0.0
48,318256,154,1785,8608,78,154,7,0.0
49,318107,149,1815,8731,79,149,9,0.0
50,317970,137,1847,8847,80,137,7,0.0
51,317812,158,1861,8970,80,158,8,0.0
52,317654,158,1892,9097,80,158,5,0.0
53,317495,159,1898,9248,81,159,3,0.0
54,317345,150,1920,9384,82,150,9,0.0
55,317181,164,1935,9518,83,164,9,0.0
56,316999,182,1968,9646,86,182,9,0.0
57,316844,155,2004,9791,87,155,9,0.0
58,316655,189,2025,9924,88,189,6,0.0
59,316478,177,2060,10078,88,177,10,0.0
60,316316,162,2099,10214,90,162,7,0.0
61,316100,216,2118,10356,91,216,8,0.0
62,315940,160,2176,10514,91,160,10,0.0
63,315797,143,2189,10660,92,143,6,0.0
64,315607,190,2187,10805,92,190,9,0.0
65,315443,164,2243,10937,94,164,11,0.0
66,315244,199,2264,11079,95,199,9,0.0
67,315060,184,2278,11264,95,184,7,0.0
68,314857,203,2282,11442,97,203,9,0.0
69,314660,197,2321,11606,97,197,5,0.0
70,314467,193,2367,11754,100,193,7,0.0
71,314238,229,2388,11925,101,229,4,0.0
72,314014,224,2459,12081,103,224,9,0.0
73,313791,223,2529,12234,104,223,11,0.0
74,313600,191,2567,12419,104,191,10,0.0
75,313381,219,2578,12599,104,219,13,0.0
76,313157,224,2607,12786,107,224,10,0.0
77,312925,232,2639,12976,109,232,10,0.0
78,312702,223,2702,13142,112,223,9,0.0
79,312466,236,2742,13324,113,236,11,0.0
80,312258,208,2787,13514,114,208,8,0.0
81,312034,224,2808,13699,116,224,6,0.0
82,311804,230,2830,13900,117,230,10,0.0
83,311584,220,2848,14111,118,220,7,0.0
84,311356,228,2863,14312,122,228,9,0.0
85,311113,243,2873,14527,125,243,11,0.0
86,310831,282,2916,14725,127,282,10,0.0
87,310568,263,3015,14907,128,263,11,0.0
88,310299,269,3042,15142,129,269,11,0.0
89,310048,251,3108,15344,130,251,12,0.0
90,309756,292,3159,15544,130,292,8,0.0
91,309505,251,3212,15779,134,251,16,0.0
92,309227,278,3230,16010,136,278,8,0.0
93,308926,301,3309,16209,136,301,10,0.0
94,308604,322,3378,16439,138,322,17,0.0
95,308316,288,3471,16668,138,288,16,0.0
96,307968,348,3542,16882,141,348,16,0.0
97,307637,331,3640,17129,144,331,16,0.0
98,307331,306,3717,17378,149,306,15,0.0
99,307002,329,3777,17621,152,329,16,0.0
100,306639,363,3879,17845,155,363,10,0.0
101,306293,346,3993,18091,158,346,14,0.0
102,305926,367,4073,18354,161,367,13,0.0
103,305591,335,4202,18586,167,335,16,0.0
104,305200,391,4264,18857,169,391,13,0.0
105,304818,382,4373,19135,173,382,13,0.0
106,304460,358,4447,19440,176,358,14,0.0
107,304088,372,4506,19733,182,372,17,0.0
108,303722,366,4570,20036,187,366,22,0.0
109,303338,384,4609,20360,190,384,18,0.0
110,302937,401,4672,20675,196,401,27,0.0
111,302513,424,4784,20962,198,424,20,0.0
112,302092,421,4832,21332,204,421,25,0.0
113,301666,426,4948,21637,204,426,11,0.0
114,301252,414,5029,21978,208,414,17,0.0
115,300820,432,5090,22329,210,432,19,0.0
116,300398,422,5204,22645,212,422,15,0.0
117,299935,463,5300,22970,213,463,21,0.0
118,299496,439,5402,23327,217,439,20,0.0
119,299046,450,5424,23736,225,450,16,0.0
120,298612,434,5507,24100,228,434,14,0.0
121,298160,452,5545,24490,234,452,15,0.0
122,297693,467,5639,24843,239,467,28,0.0
123,297197,496,5710,25235,243,496,18,0.0
124,296715,482,5793,25645,246,482,17,0.0
125,296199,516,5891,26021,254,516,23,0.0
126,295695,504,6008,26414,260,504,18,0.0
127,295202,493,6106,26818,262,493,24,0.0
128,294757,445,6201,27212,266,445,21,0.0
129,294202,555,6207,27649,268,555,21,0.0
130,293660,542,6340,28067,272,542,25,0.0
131,293138,522,6408,28532,281,522,28,0.0
132,292610,528,6487,28972,284,528,29,0.0
133,292035,575,6543,29439,289,575,18,0.0
134,291484,551,6652,29898,296,551,21,0.0
135,290929,555,6745,30350,302,555,14,0.0
136,290384,545,6830,30814,308,545,23,0.0
137,289830,554,6919,31268,310,554,24,0.0
138,289201,629,7002,31729,320,629,21,0.0
139,288624,577,7151,32207,322,577,27,0.0
140,288002,622,7231,32696,330,622,26,0.0
141,287383,619,7341,33203,335,619,28,0.0
142,286763,620,7431,33727,340,620,22,0.0
143,286140,623,7570,34201,347,623,37,0.0
144,285510,630,7693,34695,353,630,30,0.0
145,284795,715,7811,35202,358,715,25,0.0
146,284140,655,8005,35719,362,655,34,0.0
147,283497,643,8092,36281,368,643,28,0.0
148,282816,681,8191,36817,376,681,41,0.0
149,282174,642,8303,37378,384,642,36,0.0
150,281510,664,8332,37981,394,664,30,0.0
151,280794,716,8417,38553,401,716,36,0.0
152,280101,693,8534,39144,409,693,34,0.0
