#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,327829,425,0,0,0,0,0,0.0
-28,327829,425,0,0,0,0,0,0.0
-27,327829,425,0,0,0,0,0,0.0
-26,327829,425,0,0,0,0,0,0.0
-25,327829,425,0,0,0,0,0,0.0
-24,327829,425,0,0,0,0,0,0.0
-23,327829,425,0,0,0,0,0,0.0
-22,327829,425,0,0,0,0,0,0.0
-21,327829,425,0,0,0,0,0,0.0
-20,327829,374,51,0,0,0,0,0.0
-19,327829,374,51,0,0,0,0,0.0
-18,327828,358,68,0,0,1,0,0.0
-17,327826,342,86,0,0,2,0,0.0
-16,327826,323,105,0,0,0,0,0.0
-15,327825,307,122,0,0,1,0,0.0
-14,327818,262,174,0,0,7,0,0.0
-13,327809,179,266,0,0,9,1,0.0
-12,327793,118,340,3,0,16,0,0.0
-11,327774,87,388,5,0,19,0,0.0
-10,327752,22,467,13,0,22,1,0.0
-9,327719,33,482,20,0,33,0,0.0
-8,327678,41,507,28,0,41,0,0.0
-7,327630,48,533,43,0,48,1,0.0
-6,327582,48,557,67,0,48,0,0.0
-5,327507,75,585,86,1,75,3,0.0
-4,327439,68,637,109,1,68,2,0.0
-3,327358,81,683,131,1,81,2,0.0
-2,327246,112,723,172,1,112,3,0.0
-1,327139,107,792,215,1,107,6,0.0
0,326992,147,862,251,2,147,2,40.0
1,326856,136,967,293,2,136,3,7.0
2,326681,175,1053,343,2,175,0,10.0
3,326474,207,1157,414,2,207,5,4.0
4,326218,256,1313,464,3,256,0,3.0
5,325924,294,1509,523,4,294,5,5.0
6,325593,331,1747,577,6,331,3,6.0
7,325230,363,2014,641,6,363,2,6.0
8,324858,372,2296,720,8,372,7,9.0
9,324431,427,2586,801,9,427,6,12.0
10,323986,445,2938,876,9,445,10,7.0
11,323522,464,3293,965,10,464,4,11.0
12,322996,526,3639,1083,10,526,5,18.0
13,322432,564,4047,1201,10,564,10,13.0
14,321853,579,4457,1355,10,579,6,27.0
15,321268,585,4862,1528,11,585,6,23.0
16,320966,302,5243,1730,13,302,12,33.0
17,320604,362,5335,1940,13,362,10,23.0
18,320243,361,5467,2169,14,361,16,35.0
19,319828,415,5543,2454,14,415,16,26.0
20,319456,372,5635,2777,14,372,12,23.0
21,319068,388,5647,3137,14,388,14,15.0
22,318675,393,5636,3535,15,393,12,1.0
23,318579,96,5634,3929,16,96,17,0.0
24,318493,86,5305,4353,17,86,23,0.0
25,318366,127,4921,4822,18,127,17,0.0
26,318236,130,4583,5282,23,130,13,0.0
27,318131,105,4254,5739,25,105,10,0.0
28,318014,117,3943,6152,28,117,12,0.0
29,317896,118,3600,6604,36,118,13,0.0
30,317749,147,3336,6981,41,147,15,0.0
31,317614,135,3062,7396,47,135,13,0.0
32,317458,156,2832,7755,53,156,9,0.0
33,317312,146,2642,8099,55,146,5,0.0
34,317185,127,2454,8429,59,127,6,0.0
35,317039,146,2266,8740,63,146,10,0.0
36,316882,157,2127,9023,65,157,8,0.0
37,316718,164,2040,9264,68,164,3,0.0
38,316561,157,2002,9462,72,157,6,0.0
39,316396,165,1960,9658,75,165,11,0.0
40,316215,181,1985,9795,78,181,4,0.0
41,316044,171,2006,9955,78,171,8,0.0
42,315871,173,2026,10105,79,173,6,0.0
43,315706,165,2057,10244,82,165,14,0.0
44,315551,155,2060,10406,82,155,6,0.0
45,315364,187,2075,10544,84,187,12,0.0
46,315192,172,2135,10670,85,172,6,0.0
47,315011,181,2144,10833,85,181,6,0.0
48,314837,174,2193,10960,90,174,5,0.0
49,314620,217,2201,11124,92,217,7,0.0
50,314432,188,2253,11289,92,188,11,0.0
51,314214,218,2309,11419,94,218,6,0.0
52,314005,209,2353,11591,96,209,8,0.0
53,313816,189,2406,11744,99,189,11,0.0
54,313598,218,2427,11910,101,218,13,0.0
55,313386,212,2486,12068,102,212,6,0.0
56,313191,195,2518,12246,104,195,9,0.0
57,312991,200,2542,12417,104,200,7,0.0
58,312774,217,2569,12587,107,217,10,0.0
59,312527,247,2632,12739,109,247,10,0.0
60,312305,222,2699,12917,111,222,8,0.0
61,312056,249,2721,13114,114,249,7,0.0
62,311828,228,2790,13292,116,228,9,0.0
63,311607,221,2825,13480,121,221,13,0.0
64,311385,222,2825,13700,122,222,13,0.0
65,311151,234,2844,13900,125,234,17,0.0
66,310887,264,2891,14085,127,264,13,0.0
67,310630,257,2965,14273,129,257,19,0.0
68,310368,262,3017,14475,132,262,8,0.0
69,310155,213,3094,14659,133,213,13,0.0
70,309903,252,3080,14883,136,252,14,0.0
71,309666,237,3113,15101,137,237,18,0.0
72,309415,251,3127,15320,141,251,10,0.0
73,309110,305,3162,15533,144,305,8,0.0
74,308837,273,3220,15774,150,273,16,0.0
75,308547,290,3269,15996,152,290,9,0.0
76,308288,259,3320,16229,158,259,15,0.0
77,308030,258,3345,16459,162,258,8,0.0
78,307558,472,3348,16712,164,472,6,0.0
79,307033,525,3579,16950,167,525,5,0.0
80,306516,517,3854,17198,169,517,13,0.0
81,306006,510,4138,17431,169,510,16,0.0
82,305432,574,4402,17675,171,574,14,0.0
83,304902,530,4716,17931,175,530,15,0.0
84,304371,531,5020,18155,177,531,17,0.0
85,303788,583,5310,18395,178,583,11,0.0
86,303228,560,5623,18663,180,560,15,0.0
87,302636,592,5887,18955,184,592,21,0.0
88,302067,569,6178,19256,184,569,17,0.0
89,301455,612,6450,19549,188,612,13,0.0
90,300858,597,6707,19899,193,597,24,0.0
91,300263,595,6893,20304,199,595,22,0.0
92,299646,617,7118,20671,202,617,19,0.0
93,299002,644,7298,21104,206,644,25,0.0
94,298364,638,7514,21526,212,638,32,0.0
95,297712,652,7689,21989,212,652,29,0.0
96,297023,689,7802,22526,214,689,16,0.0
97,296320,703,7948,23062,221,703,18,0.0
98,295613,707,8118,23588,228,707,23,0.0
99,294843,770,8296,24111,234,770,27,0.0
100,294126,717,8555,24616,240,717,37,0.0
101,293384,742,8666,25217,245,742,34,0.0
102,292658,726,8840,25782,248,726,39,0.0
103,291884,774,8947,26393,256,774,21,0.0
104,291102,782,9082,27026,262,782,28,0.0
105,290346,756,9277,27608,267,756,30,0.0
106,289563,783,9383,28250,275,783,28,0.0
107,288768,795,9559,28852,280,795,37,0.0
108,287978,790,9714,29486,286,790,42,0.0
109,287104,874,9822,30163,291,874,30,0.0
110,286317,787,10021,30833,296,787,44,0.0
111,285451,866,10129,31506,302,866,33,0.0
112,284598,853,10304,32188,311,853,29,0.0
113,283665,933,10478,32858,320,933,37,0.0
114,282846,819,10650,33610,329,819,41,0.0
115,281914,932,10701,34367,340,932,34,0.0
116,280980,934,10938,35055,347,934,45,0.0
117,280066,914,11121,35800,353,914,49,0.0
118,279149,917,11260,36561,367,917,42,0.0
119,278209,940,11368,37363,374,940,48,0.0
120,277255,954,11515,38147,383,954,50,0.0
121,276259,996,11692,38912,395,996,51,0.0
122,275285,974,11907,39685,403,974,49,0.0
123,274269,1016,12060,40494,415,1016,41,0.0
124,273226,1043,12257,41308,420,1043,44,0.0
125,272216,1010,12469,42134,425,1010,33,0.0
126,271216,1000,12592,43010,436,1000,45,0.0
127,270191,1025,12718,43874,446,1025,48,0.0
128,269184,1007,12861,44740,462,1007,52,0.0
129,268123,1061,12916,45680,474,1061,41,0.0
130,267139,984,13088,46555,488,984,35,0.0
131,266108,1031,13203,47418,494,1031,40,0.0
132,265029,1079,13299,48349,498,1079,54,0.0
133,263928,1101,13407,49312,506,1101,59,0.0
134,262911,1017,13537,50270,519,1017,59,0.0
135,261863,1048,13519,51298,526,1048,46,0.0
136,260828,1035,13566,52291,534,1035,44,0.0
137,259692,1136,13609,53269,548,1136,55,0.0
138,258574,1118,13747,54255,560,1118,48,0.0
139,257450,1124,13886,55215,579,1124,52,0.0
140,256320,1130,13983,56226,595,1130,54,0.0
141,255151,1169,14121,57208,605,1169,52,0.0
142,253985,1166,14311,58177,615,1166,52,0.0
143,252863,1122,14453,59196,620,1122,53,0.0
144,251729,1134,14541,60217,633,1134,58,0.0
145,250642,1087,14628,61247,650,1087,54,0.0
146,249437,1205,14642,62311,659,1205,50,0.0
147,248265,1172,14804,63348,665,1172,65,0.0
148,247121,1144,14930,64382,677,1144,62,0.0
149,245939,1182,14997,65446,690,1182,55,0.0
150,244768,1171,15161,66460,694,1171,62,0.0
151,243608,1160,15312,67472,702,1160,47,0.0
152,242429,1179,15390,68543,713,1179,53,0.0
153,241216,1213,15444,69651,730,1213,57,0.0
154,240028,1188,15512,70785,741,1188,56,0.0
155,238785,1243,15550,71922,754,1243,63,0.0
156,237573,1212,15650,73054,765,1212,54,0.0
157,236326,1247,15678,74227,776,1247,58,0.0
158,235069,1257,15705,75436,787,1257,52,0.0
159,233820,1249,15873,76515,797,1249,63,0.0
160,232592,1228,15961,77664,809,1228,65,0.0
161,231363,1229,16003,78831,828,1229,66,0.0
162,230086,1277,16001,80049,841,1277,64,0.0
163,228819,1267,16129,81188,851,1267,57,0.0
164,227567,1252,16229,82342,864,1252,53,0.0
165,226218,1349,16285,83521,881,1349,52,0.0
166,224928,1290,16480,84662,894,1290,70,0.0
167,223650,1278,16560,85859,907,1278,55,0.0
168,222381,1269,16674,87014,916,1269,64,0.0
169,221181,1200,16667,88268,938,1200,54,0.0
170,219914,1267,16607,89518,948,1267,55,0.0
171,218633,1281,16697,90681,962,1281,79,0.0
172,217358,1275,16751,91892,978,1275,69,0.0
173,216108,1250,16843,93062,991,1250,59,0.0
174,214872,1236,16841,94301,1004,1236,65,0.0
175,213606,1266,16809,95553,1020,1266,68,0.0
176,212330,1276,16856,96762,1030,1276,57,0.0
177,211029,1301,16951,97930,1043,1301,49,0.0
178,209774,1255,17038,99127,1060,1255,66,0.0
179,208477,1297,17007,100402,1071,1297,59,0.0
180,207163,1314,16974,101716,1087,1314,44,0.0
