#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,240351,426,0,0,0,0,0,0.0
-28,240351,426,0,0,0,0,0,0.0
-27,240351,426,0,0,0,0,0,0.0
-26,240351,426,0,0,0,0,0,0.0
-25,240351,426,0,0,0,0,0,0.0
-24,240351,426,0,0,0,0,0,0.0
-23,240351,426,0,0,0,0,0,0.0
-22,240351,426,0,0,0,0,0,0.0
-21,240351,426,0,0,0,0,0,0.0
-20,240351,375,51,0,0,0,0,0.0
-19,240351,375,51,0,0,0,0,0.0
-18,240350,359,68,0,0,1,0,0.0
-17,240346,345,86,0,0,4,0,0.0
-16,240345,325,107,0,0,1,1,0.0
-15,240339,313,124,1,0,6,0,0.0
-14,240337,258,180,2,0,2,0,0.0
-13,240326,181,266,4,0,11,1,0.0
-12,240316,112,344,5,0,10,1,0.0
-11,240303,81,384,9,0,13,0,0.0
-10,240286,17,460,14,0,17,1,0.0
-9,240261,25,470,21,0,25,1,0.0
-8,240226,35,489,27,0,35,0,0.0
-7,240175,51,513,38,0,51,2,0.0
-6,240138,37,547,55,0,37,0,0.0
-5,240095,43,558,81,0,43,6,0.0
-4,240040,55,566,116,0,55,2,0.0
-3,239976,64,591,146,0,64,3,0.0
-2,239900,76,610,191,0,76,4,0.0
-1,239825,75,648,229,0,75,4,0.0
0,239721,104,670,282,0,104,2,40.0
1,239642,79,723,333,0,79,1,7.0
2,239531,111,755,380,0,111,3,10.0
3,239409,122,820,425,1,122,3,4.0
4,239293,116,900,466,2,116,1,3.0
5,239130,163,970,512,2,163,3,5.0
6,238957,173,1086,558,3,173,1,6.0
7,238779,178,1220,597,3,178,1,6.0
8,238561,218,1355,640,3,218,4,9.0
9,238337,224,1520,693,3,224,5,12.0
10,238063,274,1685,752,3,274,3,7.0
11,237760,303,1885,826,3,303,3,11.0
12,237443,317,2109,902,6,317,3,18.0
13,237054,389,2341,986,7,389,8,13.0
14,236649,405,2628,1085,10,405,2,27.0
15,236213,436,2931,1187,10,436,8,23.0
16,236077,136,3251,1303,10,136,8,33.0
17,235902,175,3266,1424,10,175,6,23.0
18,235703,199,3306,1558,11,199,9,35.0
19,235511,192,3360,1703,11,192,8,26.0
20,235296,215,3378,1877,11,215,8,23.0
21,235045,251,3396,2072,13,251,11,15.0
22,234818,227,3443,2275,14,227,11,1.0
23,234740,78,3427,2516,16,78,8,0.0
24,234667,73,3263,2754,20,73,14,0.0
25,234568,99,3056,3034,20,99,10,0.0
26,234483,85,2872,3316,21,85,17,0.0
27,234374,109,2674,3598,22,109,11,0.0
28,234273,101,2461,3916,26,101,14,0.0
29,234150,123,2271,4205,28,123,13,0.0
30,234050,100,2163,4434,30,100,10,0.0
31,233952,98,2030,4662,35,98,9,0.0
32,233855,97,1903,4886,36,97,11,0.0
33,233747,108,1802,5083,37,108,16,0.0
34,233617,130,1713,5274,43,130,6,0.0
35,233523,94,1644,5473,43,94,8,0.0
36,233405,118,1577,5630,47,118,10,0.0
37,233283,122,1547,5776,49,122,7,0.0
38,233152,131,1528,5914,52,131,6,0.0
39,233037,115,1523,6046,56,115,6,0.0
40,232886,151,1511,6170,59,151,9,0.0
41,232736,150,1543,6288,60,150,10,0.0
42,232600,136,1579,6399,63,136,2,0.0
43,232478,122,1595,6519,63,122,8,0.0
44,232366,112,1613,6621,65,112,10,0.0
45,232250,116,1603,6742,66,116,4,0.0
46,232097,153,1633,6824,70,153,4,0.0
47,231973,124,1668,6940,72,124,5,0.0
48,231846,127,1676,7056,72,127,5,0.0
49,231692,154,1705,7153,73,154,7,0.0
50,231553,139,1745,7266,74,139,4,0.0
51,231404,149,1750,7398,76,149,4,0.0
52,231229,175,1773,7522,78,175,7,0.0
53,231095,134,1810,7660,78,134,7,0.0
54,230952,143,1816,7786,80,143,5,0.0
55,230807,145,1831,7912,82,145,8,0.0
56,230640,167,1850,8038,82,167,9,0.0
57,230484,156,1904,8149,84,156,9,0.0
58,230332,152,1911,8296,86,152,6,0.0
59,230173,159,1927,8429,89,159,8,0.0
60,230004,169,1966,8548,90,169,10,0.0
61,229827,177,1999,8681,93,177,7,0.0
62,229653,174,2047,8806,97,174,11,0.0
63,229492,161,2072,8953,99,161,8,0.0
64,229324,168,2090,9095,100,168,7,0.0
65,229148,176,2111,9242,100,176,8,0.0
66,228949,199,2153,9376,100,199,12,0.0
67,228776,173,2186,9540,102,173,13,0.0
68,228616,160,2221,9677,103,160,10,0.0
69,228424,192,2217,9840,104,192,9,0.0
70,228217,207,2255,9990,108,207,15,0.0
71,228030,187,2305,10145,110,187,9,0.0
72,227842,188,2341,10295,111,188,6,0.0
73,227632,210,2355,10465,115,210,9,0.0
74,227454,178,2407,10621,117,178,12,0.0
75,227273,181,2411,10793,119,181,10,0.0
76,227094,179,2426,10957,121,179,9,0.0
77,226899,195,2442,11116,125,195,6,0.0
78,225660,1239,2459,11290,129,1239,13,0.0
79,224429,1231,3517,11469,131,1231,10,0.0
80,223123,1306,4571,11643,134,1306,5,0.0
81,221746,1377,5706,11811,137,1377,10,0.0
82,220357,1389,6888,12004,139,1389,10,0.0
83,218863,1494,8097,12183,140,1494,7,0.0
84,217396,1467,9390,12383,141,1467,10,0.0
85,215855,1541,10656,12583,142,1541,15,0.0
86,214142,1713,11953,12824,145,1713,22,0.0
87,212449,1693,13356,13130,149,1693,30,0.0
88,210489,1960,14683,13493,152,1960,33,0.0
89,208549,1940,16208,13927,153,1940,52,0.0
90,206466,2083,17591,14483,154,2083,31,0.0
91,204339,2127,18972,15184,155,2127,52,0.0
92,201992,2347,20265,16016,157,2347,83,0.0
93,199685,2307,21713,16910,162,2307,59,0.0
94,197186,2499,22988,17938,166,2499,72,0.0
95,194610,2576,24320,19100,171,2576,71,0.0
