#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,239973,427,0,0,0,0,0,0.0
-28,239973,427,0,0,0,0,0,0.0
-27,239973,427,0,0,0,0,0,0.0
-26,239973,427,0,0,0,0,0,0.0
-25,239973,427,0,0,0,0,0,0.0
-24,239973,427,0,0,0,0,0,0.0
-23,239973,427,0,0,0,0,0,0.0
-22,239973,427,0,0,0,0,0,0.0
-21,239973,427,0,0,0,0,0,0.0
-20,239973,376,51,0,0,0,0,0.0
-19,239973,376,51,0,0,0,0,0.0
-18,239971,360,69,0,0,2,0,0.0
-17,239968,344,88,0,0,3,0,0.0
-16,239966,326,108,0,0,2,0,0.0
-15,239962,311,127,0,0,4,0,0.0
-14,239958,260,181,1,0,4,0,0.0
-13,239950,179,270,1,0,8,0,0.0
-12,239939,114,343,4,0,11,0,0.0
-11,239932,76,385,7,0,7,0,0.0
-10,239914,18,453,15,0,18,1,0.0
-9,239892,22,461,25,0,22,1,0.0
-8,239868,24,474,34,0,24,2,0.0
-7,239839,29,481,51,0,29,1,0.0
-6,239798,41,489,72,0,41,2,0.0
-5,239763,35,510,92,0,35,0,0.0
-4,239711,52,515,122,0,52,2,0.0
-3,239652,59,536,153,0,59,1,0.0
-2,239586,66,565,183,0,66,3,0.0
-1,239521,65,585,229,0,65,1,0.0
0,239446,75,606,272,1,75,3,40.0
1,239359,87,633,319,2,87,4,7.0
2,239277,82,680,359,2,82,3,10.0
3,239168,109,727,394,2,109,2,4.0
4,239042,126,791,438,3,126,4,3.0
5,238897,145,868,487,3,145,2,5.0
6,238736,161,971,529,3,161,1,6.0
7,238563,173,1095,565,4,173,2,6.0
8,238391,172,1224,607,6,172,1,9.0
9,238205,186,1346,656,7,186,4,12.0
10,237984,221,1482,706,7,221,3,7.0
11,237740,244,1649,759,8,244,3,11.0
12,237452,288,1832,820,8,288,3,18.0
13,237138,314,2034,906,8,314,3,13.0
14,236800,338,2264,988,10,338,4,27.0
15,236425,375,2512,1077,11,375,5,23.0
16,236294,131,2797,1166,12,131,7,33.0
17,236163,131,2813,1280,13,131,6,23.0
18,236003,160,2803,1420,14,160,5,35.0
19,235866,137,2840,1543,14,137,13,26.0
20,235682,184,2833,1687,14,184,18,23.0
21,235505,177,2820,1884,14,177,17,15.0
22,235317,188,2801,2078,16,188,10,1.0
23,235254,63,2782,2283,18,63,8,0.0
24,235159,95,2639,2489,18,95,11,0.0
25,235080,79,2533,2688,20,79,9,0.0
26,235002,78,2409,2887,24,78,9,0.0
27,234908,94,2235,3137,26,94,16,0.0
28,234817,91,2104,3358,30,91,12,0.0
29,234735,82,1964,3587,32,82,11,0.0
30,234625,110,1810,3821,34,110,8,0.0
31,234534,91,1701,4034,40,91,7,0.0
32,234443,91,1599,4221,46,91,5,0.0
33,234352,91,1505,4404,48,91,13,0.0
34,234255,97,1440,4556,52,97,6,0.0
35,234156,99,1380,4712,53,99,7,0.0
36,234065,91,1338,4849,57,91,3,0.0
37,233976,89,1316,4961,58,89,6,0.0
38,233865,111,1296,5067,61,111,11,0.0
39,233764,101,1298,5175,62,101,5,0.0
40,233647,117,1295,5278,63,117,5,0.0
41,233538,109,1301,5387,65,109,7,0.0
42,233407,131,1327,5468,67,131,4,0.0
43,233287,120,1369,5557,67,120,2,0.0
44,233166,121,1391,5654,68,121,3,0.0
45,233043,123,1418,5748,68,123,3,0.0
46,232933,110,1434,5853,70,110,7,0.0
47,232818,115,1445,5950,72,115,5,0.0
48,232691,127,1462,6048,72,127,6,0.0
49,232573,118,1491,6144,74,118,6,0.0
50,232463,110,1510,6243,74,110,4,0.0
51,232328,135,1515,6348,74,135,9,0.0
52,232189,139,1545,6451,76,139,1,0.0
