#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,240493,425,0,0,0,0,0,0.0
-28,240493,425,0,0,0,0,0,0.0
-27,240493,425,0,0,0,0,0,0.0
-26,240493,425,0,0,0,0,0,0.0
-25,240493,425,0,0,0,0,0,0.0
-24,240493,425,0,0,0,0,0,0.0
-23,240493,425,0,0,0,0,0,0.0
-22,240493,425,0,0,0,0,0,0.0
-21,240493,425,0,0,0,0,0,0.0
-20,240493,374,51,0,0,0,0,0.0
-19,240492,375,51,0,0,1,0,0.0
-18,240490,359,69,0,0,2,0,0.0
-17,240486,344,88,0,0,4,0,0.0
-16,240483,326,109,0,0,3,0,0.0
-15,240480,309,129,0,0,3,0,0.0
-14,240473,262,181,2,0,7,0,0.0
-13,240465,178,271,4,0,8,0,0.0
-12,240458,109,342,9,0,7,0,0.0
-11,240449,77,381,11,0,9,0,0.0
-10,240434,15,451,18,0,15,1,0.0
-9,240411,23,456,28,0,23,1,0.0
-8,240382,29,465,42,0,29,1,0.0
-7,240350,32,483,53,0,32,1,0.0
-6,240313,37,501,67,0,37,2,0.0
-5,240273,40,517,88,0,40,3,0.0
-4,240215,58,531,114,0,58,3,0.0
-3,240136,79,552,151,0,79,4,0.0
-2,240055,81,591,190,1,81,4,0.0
-1,239968,87,627,235,1,87,3,0.0
0,239868,100,667,282,1,100,3,40.0
1,239774,94,723,326,1,94,3,7.0
2,239648,126,770,373,1,126,1,10.0
3,239502,146,847,422,1,146,0,4.0
4,239381,121,943,471,2,121,2,3.0
5,239230,151,1027,507,3,151,2,5.0
6,239053,177,1139,546,3,177,0,6.0
7,238838,215,1277,585,3,215,2,6.0
8,238651,187,1441,635,4,187,3,9.0
9,238422,229,1578,683,6,229,5,12.0
10,238202,220,1738,752,6,220,9,7.0
11,237913,289,1882,828,6,289,3,11.0
12,237627,286,2100,898,7,286,5,18.0
13,237284,343,2299,984,8,343,3,13.0
14,236870,414,2537,1087,10,414,7,27.0
15,236422,448,2833,1205,10,448,2,23.0
16,236262,160,3149,1335,12,160,5,33.0
17,236088,174,3181,1463,12,174,4,23.0
18,235880,208,3205,1613,12,208,7,35.0
19,235676,204,3264,1761,13,204,8,26.0
20,235461,215,3288,1940,14,215,17,23.0
21,235229,232,3330,2113,14,232,13,15.0
22,234967,262,3336,2338,15,262,8,1.0
23,234874,93,3357,2578,16,93,19,0.0
24,234792,82,3204,2821,19,82,14,0.0
