#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,292840,425,0,0,0,0,0,0.0
-28,292840,425,0,0,0,0,0,0.0
-27,292840,425,0,0,0,0,0,0.0
-26,292840,425,0,0,0,0,0,0.0
-25,292840,425,0,0,0,0,0,0.0
-24,292840,425,0,0,0,0,0,0.0
-23,292840,425,0,0,0,0,0,0.0
-22,292840,425,0,0,0,0,0,0.0
-21,292840,425,0,0,0,0,0,0.0
-20,292840,374,51,0,0,0,0,0.0
-19,292834,380,51,0,0,6,0,0.0
-18,292825,366,74,0,0,9,0,0.0
-17,292805,360,100,0,0,20,0,0.0
-16,292765,363,137,0,0,40,0,0.0
-15,292693,378,194,0,0,72,0,0.0
-14,292584,364,315,2,0,109,1,0.0
-13,292425,329,509,2,0,159,0,0.0
-12,292122,405,735,3,0,303,0,0.0
-11,291629,561,1068,7,0,493,0,0.0
-10,290782,847,1622,14,0,847,0,0.0
-9,289403,1379,2461,22,0,1379,0,0.0
-8,287119,2284,3819,43,0,2284,2,0.0
-7,283458,3661,6087,59,0,3661,0,0.0
-6,278119,5339,9712,95,0,5339,5,0.0
-5,273321,4798,14995,150,1,4798,2,0.0
-4,269429,3892,19709,234,1,3892,10,0.0
-3,266152,3277,23493,342,1,3277,14,0.0
-2,263366,2786,26596,516,1,2786,18,0.0
-1,261006,2360,29096,802,1,2360,27,0.0
0,258751,2255,31062,1196,1,2255,51,40.0
1,256457,2294,32727,1785,2,2294,64,7.0
2,253985,2472,34056,2747,5,2472,91,10.0
3,251378,2607,35257,4016,7,2607,106,4.0
4,248178,3200,36299,5578,10,3200,118,3.0
5,244475,3703,37486,7587,14,3703,164,5.0
6,240001,4474,38839,9929,22,4474,125,6.0
7,234835,5166,40690,12544,30,5166,167,6.0
8,229071,5764,42948,15441,41,5764,150,9.0
9,222470,6601,45770,18369,55,6601,142,12.0
10,215052,7418,49342,21378,75,7418,158,7.0
11,207088,7964,53792,24324,97,7964,164,11.0
12,198650,8438,58673,27377,127,8438,133,18.0
13,189637,9013,64105,30356,154,9013,130,13.0
14,180374,9263,70201,33240,187,9263,170,27.0
15,170924,9450,76371,36302,218,9450,173,23.0
16,167641,3283,82623,39467,251,3283,184,33.0
17,164186,3455,82457,42883,284,3455,212,23.0
