#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,293287,425,0,0,0,0,0,0.0
-28,293287,425,0,0,0,0,0,0.0
-27,293287,425,0,0,0,0,0,0.0
-26,293287,425,0,0,0,0,0,0.0
-25,293287,425,0,0,0,0,0,0.0
-24,293287,425,0,0,0,0,0,0.0
-23,293287,425,0,0,0,0,0,0.0
-22,293287,425,0,0,0,0,0,0.0
-21,293287,425,0,0,0,0,0,0.0
-20,293287,374,51,0,0,0,0,0.0
-19,293281,380,51,0,0,6,0,0.0
-18,293268,370,74,0,0,13,0,0.0
-17,293246,362,104,0,0,22,0,0.0
-16,293206,363,143,0,0,40,0,0.0
-15,293132,380,199,1,0,74,0,0.0
-14,293023,364,322,3,0,109,0,0.0
-13,292847,346,516,3,0,176,0,0.0
-12,292551,398,758,5,0,296,0,0.0
-11,292052,567,1084,9,0,499,1,0.0
-10,291134,918,1642,18,0,918,1,0.0
-9,289649,1485,2549,29,0,1485,0,0.0
-8,287196,2453,4017,46,0,2453,2,0.0
-7,283352,3844,6448,68,0,3844,3,0.0
-6,277649,5703,10247,113,0,5703,4,0.0
-5,273128,4521,15900,163,0,4521,6,0.0
-4,269423,3705,20341,243,0,3705,5,0.0
-3,266113,3310,23916,372,1,3310,14,0.0
-2,263209,2904,27011,587,1,2904,14,0.0
-1,260408,2801,29618,884,1,2801,22,0.0
0,257560,2848,31961,1340,3,2848,41,40.0
1,254671,2889,34145,2004,3,2889,65,7.0
2,251432,3239,36131,2903,7,3239,98,10.0
3,247692,3740,38095,4172,13,3740,114,4.0
4,243293,4399,40139,5865,16,4399,118,3.0
5,238153,5140,42514,7883,22,5140,154,5.0
6,232277,5876,45181,10345,33,5876,126,6.0
7,225499,6778,48331,13063,41,6778,163,6.0
8,217903,7596,52069,16094,50,7596,153,9.0
9,209833,8070,56623,19124,62,8070,158,12.0
10,201432,8401,61467,22325,87,8401,168,7.0
11,192578,8854,66599,25568,113,8854,164,11.0
12,183533,9045,72096,28899,139,9045,167,18.0
13,174401,9132,77668,32343,168,9132,192,13.0
14,165083,9318,83231,35885,195,9318,221,27.0
15,155821,9262,88802,39596,231,9262,227,23.0
16,152971,2850,94002,43626,263,2850,232,33.0
17,149974,2997,92328,48111,302,2997,259,23.0
18,146867,3107,90462,52947,329,3107,308,35.0
19,143727,3140,88255,58238,352,3140,315,26.0
20,140486,3241,85428,64165,392,3241,368,23.0
21,137254,3232,82403,70389,434,3232,370,15.0
22,133990,3264,78717,77261,480,3264,397,1.0
23,132329,1661,74843,84345,534,1661,369,0.0
24,130614,1715,69017,91776,590,1715,392,0.0
25,128944,1670,63252,99196,650,1670,359,0.0
26,127153,1791,57621,106426,721,1791,375,0.0
27,125416,1737,52298,113465,796,1737,316,0.0
28,123680,1736,47389,120041,866,1736,274,0.0
29,121860,1820,42964,126126,942,1820,262,0.0
30,120085,1775,39116,131712,1024,1775,212,0.0
31,118316,1769,35851,136678,1098,1769,204,0.0
32,116577,1739,33119,141101,1176,1739,176,0.0
33,114856,1721,30826,145064,1245,1721,142,0.0
34,113160,1696,28967,148557,1332,1696,144,0.0
35,111484,1676,27438,151713,1401,1676,141,0.0
36,109849,1635,26296,154472,1460,1635,119,0.0
37,108230,1619,25336,157012,1515,1619,105,0.0
38,106561,1669,24535,159372,1575,1669,92,0.0
39,104992,1569,23925,161606,1620,1569,90,0.0
40,103443,1549,23364,163690,1666,1549,95,0.0
41,101895,1548,22947,165619,1703,1548,116,0.0
42,100314,1581,22557,167513,1747,1581,95,0.0
43,98774,1540,22291,169335,1772,1540,104,0.0
44,97226,1548,21959,171176,1803,1548,87,0.0
45,95837,1389,21672,172984,1830,1389,79,0.0
46,94406,1431,21337,174686,1852,1431,77,0.0
47,93021,1385,21035,176401,1870,1385,79,0.0
48,91604,1417,20741,178061,1889,1417,70,0.0
49,90238,1366,20503,179692,1913,1366,91,0.0
50,88909,1329,20280,181260,1934,1329,72,0.0
51,87537,1372,20045,182803,1955,1372,79,0.0
52,86212,1325,19810,184396,1969,1325,78,0.0
53,84903,1309,19461,186054,1985,1309,75,0.0
54,83638,1265,19232,187576,2001,1265,84,0.0
55,82361,1277,18929,189122,2023,1277,80,0.0
