#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,292245,425,0,0,0,0,0,0.0
-28,292245,425,0,0,0,0,0,0.0
-27,292245,425,0,0,0,0,0,0.0
-26,292245,425,0,0,0,0,0,0.0
-25,292245,425,0,0,0,0,0,0.0
-24,292245,425,0,0,0,0,0,0.0
-23,292245,425,0,0,0,0,0,0.0
-22,292245,425,0,0,0,0,0,0.0
-21,292245,425,0,0,0,0,0,0.0
-20,292245,374,51,0,0,0,0,0.0
-19,292245,374,51,0,0,0,0,0.0
-18,292240,362,68,0,0,5,0,0.0
-17,292218,362,90,0,0,22,0,0.0
-16,292196,345,129,0,0,22,0,0.0
-15,292165,337,167,1,0,31,0,0.0
-14,292115,305,247,3,0,50,0,0.0
-13,292028,257,380,5,0,87,0,0.0
-12,291886,244,535,5,0,142,0,0.0
-11,291642,312,706,10,0,244,0,0.0
-10,291166,476,1015,13,0,476,0,0.0
-9,290443,723,1488,16,0,723,0,0.0
-8,289238,1205,2197,30,0,1205,2,0.0
-7,287258,1980,3386,46,0,1980,1,0.0
-6,284031,3227,5337,75,0,3227,4,0.0
-5,279247,4784,8520,119,0,4784,2,0.0
-4,274169,5078,13246,177,0,5078,10,0.0
-3,270126,4043,18244,257,0,4043,6,0.0
-2,266720,3406,22169,375,0,3406,10,0.0
-1,263886,2834,25410,539,1,2834,17,0.0
0,261222,2664,28030,753,1,2664,32,40.0
1,258811,2411,30326,1120,2,2411,35,7.0
2,256549,2262,32184,1673,2,2262,60,10.0
3,254163,2386,33630,2489,2,2386,84,4.0
4,251693,2470,34933,3571,3,2470,88,3.0
5,248949,2744,35919,5053,5,2744,132,5.0
6,245834,3115,36821,6885,15,3115,131,6.0
7,242018,3816,37738,9075,23,3816,173,6.0
8,237729,4289,38967,11649,36,4289,164,9.0
9,232711,5018,40395,14501,45,5018,171,12.0
10,226850,5861,42511,17390,58,5861,171,7.0
11,220176,6674,45398,20341,81,6674,155,11.0
12,213019,7157,48997,23392,105,7157,158,18.0
13,205191,7828,53174,26344,133,7828,127,13.0
14,196940,8251,58073,29251,155,8251,133,27.0
15,188651,8289,63256,32275,199,8289,121,23.0
16,185897,2754,68569,35224,226,2754,154,33.0
17,182888,3009,68273,38252,248,3009,171,23.0
18,179623,3265,68124,41383,275,3265,172,35.0
19,176365,3258,67957,44772,318,3258,208,26.0
20,172998,3367,67354,48599,352,3367,217,23.0
21,169601,3397,66516,52767,389,3397,250,15.0
22,166124,3477,65390,57254,425,3477,271,1.0
23,164332,1792,63865,62225,456,1792,285,0.0
24,162505,1827,60144,67699,495,1827,299,0.0
25,160621,1884,56357,73270,538,1884,277,0.0
26,158609,2012,52572,78903,574,2012,262,0.0
27,156597,2012,48837,84615,609,2012,271,0.0
28,154562,2035,45306,90097,670,2035,232,0.0
29,152593,1969,41978,95405,725,1969,237,0.0
30,150577,2016,39037,100265,775,2016,209,0.0
31,148506,2071,36450,104804,839,2071,191,0.0
32,146503,2003,34327,108944,893,2003,151,0.0
