#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,327181,425,0,0,0,0,0,0.0
-28,327181,425,0,0,0,0,0,0.0
-27,327181,425,0,0,0,0,0,0.0
-26,327181,425,0,0,0,0,0,0.0
-25,327181,425,0,0,0,0,0,0.0
-24,327181,425,0,0,0,0,0,0.0
-23,327181,425,0,0,0,0,0,0.0
-22,327181,425,0,0,0,0,0,0.0
-21,327181,425,0,0,0,0,0,0.0
-20,327181,425,0,0,0,0,0,0.0
-19,327181,425,0,0,0,0,0,0.0
-18,327181,425,0,0,0,0,0,0.0
-17,327181,425,0,0,0,0,0,0.0
-16,327181,374,51,0,0,0,0,0.0
-15,327181,374,51,0,0,0,0,0.0
-14,327180,358,68,0,0,1,0,0.0
-13,327179,342,85,0,0,1,0,0.0
-12,327175,329,102,0,0,4,0,0.0
-11,327174,313,119,0,0,1,0,0.0
-10,327164,272,170,0,0,10,0,0.0
-9,327157,193,256,0,0,7,0,0.0
-8,327149,132,325,0,0,8,0,0.0
-7,327136,107,312,51,0,13,0,0.0
-6,327114,60,381,51,0,22,1,0.0
-5,327088,76,374,68,0,26,0,0.0
-4,327062,95,364,85,0,26,5,0.0
-3,327025,124,356,101,0,37,8,0.0
-2,326985,151,352,118,0,40,5,0.0
-1,326947,167,328,164,0,38,3,0.0
0,326901,187,276,242,0,46,1,40.0
1,326864,198,238,306,0,37,1,7.0
2,326823,202,240,341,0,41,1,10.0
3,326772,213,212,409,0,51,1,4.0
4,326712,235,241,418,0,60,1,3.0
5,326667,234,280,425,0,45,0,5.0
6,326607,257,310,432,0,60,1,6.0
7,326542,281,338,445,0,65,0,6.0
8,326465,307,367,467,0,77,0,9.0
9,326389,323,402,492,0,76,2,12.0
10,326300,367,421,518,0,89,1,7.0
11,326194,413,444,555,0,106,2,11.0
12,326089,453,471,593,0,105,2,18.0
13,325978,487,511,630,0,111,0,13.0
14,325873,516,543,674,0,105,3,27.0
15,325737,563,597,709,0,136,3,23.0
16,325664,530,662,750,0,73,2,33.0
17,325603,486,719,798,0,61,4,23.0
18,325536,442,773,855,0,67,1,35.0
19,325450,423,834,899,0,86,1,26.0
20,325366,371,914,955,0,84,5,23.0
21,325268,396,919,1023,0,98,5,15.0
22,325181,422,896,1107,0,87,3,1.0
23,325162,374,887,1183,0,19,1,0.0
24,325142,308,886,1270,0,20,9,0.0
25,325120,246,866,1374,0,22,7,0.0
26,325093,175,859,1479,0,27,4,0.0
27,325064,117,843,1582,0,29,2,0.0
28,325036,126,763,1681,0,28,2,0.0
29,325013,129,649,1815,0,23,0,0.0
30,324975,145,599,1887,0,38,2,0.0
31,324952,141,565,1948,0,23,3,0.0
32,324913,151,527,2015,0,39,2,0.0
33,324866,170,471,2099,0,47,2,0.0
34,324835,178,411,2182,0,31,2,0.0
35,324797,178,352,2279,0,38,0,0.0
36,324763,189,288,2366,0,34,0,0.0
37,324724,189,307,2386,0,39,2,0.0
38,324701,165,334,2406,0,23,2,0.0
39,324666,169,341,2430,0,35,1,0.0
40,324629,168,350,2459,0,37,2,0.0
41,324592,171,355,2488,0,37,2,0.0
42,324555,169,363,2519,0,37,0,0.0
43,324523,178,364,2541,0,32,1,0.0
44,324488,178,362,2578,0,35,4,0.0
45,324455,174,372,2605,0,33,4,0.0
46,324431,161,366,2647,1,24,3,0.0
47,324407,148,358,2692,1,24,0,0.0
48,324369,154,362,2720,1,38,5,0.0
49,324325,163,353,2764,1,44,2,0.0
50,324284,171,345,2805,1,41,3,0.0
51,324241,190,331,2843,1,43,5,0.0
52,324194,213,332,2866,1,47,2,0.0
53,324163,206,337,2899,1,31,5,0.0
54,324127,198,348,2932,1,36,1,0.0
55,324097,187,352,2969,1,30,2,0.0
56,324046,195,361,3003,1,51,1,0.0
57,324005,189,375,3036,1,41,3,0.0
58,323964,199,371,3071,1,41,0,0.0
59,323927,200,373,3105,1,37,4,0.0
60,323876,221,381,3127,1,51,3,0.0
61,323836,210,408,3151,1,40,4,0.0
62,323794,211,412,3188,1,42,2,0.0
63,323750,214,410,3231,1,44,7,0.0
64,323710,217,408,3270,1,40,1,0.0
65,323665,211,416,3313,1,45,3,0.0
66,323624,212,413,3356,1,41,1,0.0
67,323577,217,425,3386,1,47,3,0.0
68,323524,226,434,3421,1,53,0,0.0
69,323487,223,442,3453,1,37,2,0.0
70,323442,223,436,3504,1,45,1,0.0
71,323381,243,433,3548,1,61,5,0.0
72,323341,236,441,3587,1,40,3,0.0
73,323288,236,452,3629,1,53,1,0.0
74,323244,243,441,3677,1,44,0,0.0
75,323198,244,446,3717,1,46,0,0.0
76,323143,238,462,3762,1,55,1,0.0
77,323095,246,456,3808,1,48,4,0.0
78,323041,247,465,3852,1,54,2,0.0
79,322994,250,464,3897,1,47,1,0.0
80,322927,271,472,3935,1,67,2,0.0
81,322882,261,480,3982,1,45,1,0.0
82,322842,253,474,4036,1,40,4,0.0
83,322791,250,493,4071,1,51,2,0.0
84,322739,255,493,4118,1,52,3,0.0
85,322658,269,500,4178,1,81,3,0.0
86,322605,277,503,4220,1,53,2,0.0
87,322557,285,491,4272,1,48,6,0.0
88,322502,289,494,4320,1,55,0,0.0
89,322452,287,502,4364,1,50,1,0.0
90,322412,246,531,4416,1,40,2,0.0
91,322355,250,535,4465,1,57,3,0.0
92,322300,257,527,4521,1,55,3,0.0
93,322233,269,537,4566,1,67,3,0.0
94,322160,292,521,4632,1,73,1,0.0
95,322107,305,517,4676,1,53,0,0.0
96,322028,327,532,4718,1,79,4,0.0
97,321961,339,535,4770,1,67,2,0.0
98,321896,337,549,4823,1,65,3,0.0
99,321816,344,545,4900,1,80,3,0.0
100,321745,362,546,4952,1,71,3,0.0
101,321677,351,579,4998,1,68,2,0.0
102,321602,359,589,5055,1,75,4,0.0
103,321526,370,604,5105,1,76,5,0.0
104,321444,372,645,5144,1,82,3,0.0
105,321389,356,661,5199,1,55,4,0.0
106,321302,375,678,5250,1,87,0,0.0
107,321223,379,685,5318,1,79,5,0.0
108,321152,374,689,5390,1,71,4,0.0
109,321066,378,715,5446,1,86,3,0.0
110,320988,401,693,5523,1,78,3,0.0
111,320912,390,715,5588,1,76,4,0.0
112,320832,391,725,5657,1,80,3,0.0
113,320740,412,719,5734,1,92,5,0.0
114,320668,398,736,5803,1,72,5,0.0
115,320576,412,747,5870,1,92,3,0.0
116,320502,410,751,5942,1,74,2,0.0
117,320425,407,757,6016,1,77,6,0.0
118,320345,395,767,6098,1,80,2,0.0
119,320262,406,786,6151,1,83,6,0.0
120,320177,399,797,6232,1,85,6,0.0
121,320085,417,789,6314,1,92,2,0.0
122,319999,426,798,6381,2,86,1,0.0
123,319891,454,795,6464,2,108,10,0.0
124,319801,461,800,6542,2,90,7,0.0
125,319723,454,807,6620,2,78,5,0.0
126,319631,454,825,6694,2,92,2,0.0
127,319529,470,823,6782,2,102,7,0.0
128,319437,454,858,6855,2,92,2,0.0
129,319346,455,856,6947,2,91,4,0.0
130,319249,474,864,7017,2,97,5,0.0
131,319156,475,881,7092,2,93,7,0.0
132,319049,480,902,7173,2,107,4,0.0
133,318956,481,911,7256,2,93,7,0.0
134,318842,504,921,7337,2,114,6,0.0
135,318728,521,926,7428,3,114,3,0.0
136,318627,529,936,7511,3,101,4,0.0
137,318523,526,939,7615,3,104,5,0.0
138,318408,548,939,7708,3,115,2,0.0
139,318309,533,974,7787,3,99,5,0.0
140,318203,525,998,7877,3,106,4,0.0
141,318102,525,997,7979,3,101,3,0.0
142,317998,525,1010,8070,3,104,5,0.0
143,317888,520,1036,8159,3,110,3,0.0
144,317767,542,1037,8257,3,121,2,0.0
145,317652,551,1049,8351,3,115,9,0.0
146,317548,554,1044,8457,3,104,5,0.0
147,317437,561,1056,8549,3,111,3,0.0
148,317322,566,1051,8664,3,115,2,0.0
149,317220,547,1057,8779,3,102,9,0.0
150,317095,557,1070,8881,3,125,3,0.0
151,316993,555,1070,8985,3,102,7,0.0
152,316869,568,1066,9099,4,124,5,0.0
153,316738,584,1083,9197,4,131,6,0.0
154,316629,591,1082,9300,4,109,6,0.0
155,316493,602,1103,9404,4,136,7,0.0
156,316352,641,1100,9509,4,141,7,0.0
157,316204,665,1116,9617,4,148,8,0.0
158,316061,677,1126,9737,5,143,8,0.0
159,315926,703,1121,9851,5,135,7,0.0
160,315786,707,1157,9951,5,140,13,0.0
161,315675,677,1190,10059,5,111,8,0.0
162,315534,670,1225,10172,5,141,3,0.0
163,315409,652,1277,10263,5,125,5,0.0
164,315248,678,1289,10386,5,161,10,0.0
165,315097,689,1327,10488,5,151,4,0.0
166,314938,737,1316,10610,5,159,4,0.0
167,314797,737,1328,10738,6,141,10,0.0
168,314638,771,1345,10846,6,159,6,0.0
169,314481,767,1371,10981,6,157,4,0.0
170,314329,768,1382,11121,6,152,7,0.0
171,314174,764,1396,11265,7,155,7,0.0
172,314009,788,1395,11407,7,165,2,0.0
173,313847,791,1423,11537,8,162,5,0.0
174,313707,774,1439,11678,8,140,13,0.0
175,313565,764,1480,11789,8,142,13,0.0
176,313415,759,1493,11931,8,150,5,0.0
177,313253,756,1541,12048,8,162,12,0.0
178,313085,762,1549,12202,8,168,10,0.0
179,312889,818,1537,12354,8,196,6,0.0
180,312731,834,1526,12507,8,158,9,0.0
