#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,327492,425,0,0,0,0,0,0.0
-28,327492,425,0,0,0,0,0,0.0
-27,327492,425,0,0,0,0,0,0.0
-26,327492,425,0,0,0,0,0,0.0
-25,327492,425,0,0,0,0,0,0.0
-24,327492,425,0,0,0,0,0,0.0
-23,327492,425,0,0,0,0,0,0.0
-22,327492,425,0,0,0,0,0,0.0
-21,327492,425,0,0,0,0,0,0.0
-20,327492,425,0,0,0,0,0,0.0
-19,327492,425,0,0,0,0,0,0.0
-18,327492,425,0,0,0,0,0,0.0
-17,327492,425,0,0,0,0,0,0.0
-16,327492,374,51,0,0,0,0,0.0
-15,327491,375,51,0,0,1,0,0.0
-14,327490,359,68,0,0,1,0,0.0
-13,327486,346,85,0,0,4,0,0.0
-12,327484,331,102,0,0,2,0,0.0
-11,327482,316,119,0,0,2,0,0.0
-10,327477,269,171,0,0,5,4,0.0
-9,327472,188,257,0,0,5,0,0.0
-8,327463,125,329,0,0,9,2,0.0
-7,327456,96,318,47,0,7,0,0.0
-6,327436,46,388,47,0,20,0,0.0
-5,327412,65,378,62,0,24,5,0.0
-4,327383,89,366,79,0,29,2,0.0
-3,327355,108,358,96,0,28,8,0.0
-2,327316,140,353,108,0,39,4,0.0
-1,327276,160,323,158,0,40,4,0.0
0,327236,176,269,236,0,40,4,40.0
1,327191,192,230,304,0,45,1,7.0
2,327135,220,226,336,0,56,0,10.0
3,327076,240,199,402,0,59,0,4.0
4,327018,258,234,407,0,58,2,3.0
5,326973,263,269,412,0,45,3,5.0
6,326909,282,305,421,0,64,3,6.0
7,326856,279,355,427,0,53,1,6.0
8,326788,288,396,445,0,68,1,9.0
9,326711,307,432,467,0,77,2,12.0
10,326624,349,449,495,0,87,3,7.0
11,326531,378,486,522,0,93,1,11.0
12,326433,423,502,559,0,98,1,18.0
13,326314,474,532,597,0,119,2,13.0
14,326180,531,569,637,0,134,3,27.0
15,326044,580,607,686,0,136,5,23.0
16,325885,646,646,740,0,159,4,33.0
17,325724,709,686,798,0,161,2,23.0
18,325578,736,751,852,0,146,4,35.0
19,325383,797,844,893,0,195,0,26.0
20,325192,852,914,959,0,191,1,23.0
21,324984,901,1021,1011,0,208,6,15.0
22,324762,962,1106,1087,0,222,4,1.0
23,324508,1070,1173,1166,0,254,3,0.0
24,324205,1178,1283,1251,0,303,5,0.0
25,323912,1280,1381,1344,0,293,2,0.0
26,323591,1393,1493,1440,0,321,7,0.0
27,323228,1534,1600,1555,0,363,13,0.0
28,322871,1637,1722,1687,0,357,8,0.0
29,322432,1773,1895,1817,0,439,5,0.0
30,321979,1933,2039,1966,0,453,10,0.0
31,321499,2092,2204,2122,0,480,9,0.0
32,320952,2276,2425,2264,0,547,9,0.0
33,320419,2452,2595,2451,0,533,15,0.0
34,319774,2658,2850,2635,0,645,7,0.0
35,319147,2832,3100,2837,1,627,13,0.0
36,318420,3079,3368,3049,1,727,11,0.0
