#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,328017,425,0,0,0,0,0,0.0
-28,328017,425,0,0,0,0,0,0.0
-27,328017,425,0,0,0,0,0,0.0
-26,328017,425,0,0,0,0,0,0.0
-25,328017,425,0,0,0,0,0,0.0
-24,328017,425,0,0,0,0,0,0.0
-23,328017,425,0,0,0,0,0,0.0
-22,328017,425,0,0,0,0,0,0.0
-21,328017,425,0,0,0,0,0,0.0
-20,328017,425,0,0,0,0,0,0.0
-19,328017,425,0,0,0,0,0,0.0
-18,328017,425,0,0,0,0,0,0.0
-17,328017,425,0,0,0,0,0,0.0
-16,328017,374,51,0,0,0,0,0.0
-15,328016,375,51,0,0,1,0,0.0
-14,328014,360,68,0,0,2,0,0.0
-13,328009,348,85,0,0,5,0,0.0
-12,328008,332,102,0,0,1,0,0.0
-11,328006,317,119,0,0,2,0,0.0
-10,327995,276,171,0,0,11,2,0.0
-9,327992,192,258,0,0,3,0,0.0
-8,327978,133,331,0,0,14,1,0.0
-7,327963,113,317,49,0,15,1,0.0
-6,327945,61,387,49,0,18,0,0.0
-5,327920,75,382,65,0,25,1,0.0
-4,327893,99,369,81,0,27,1,0.0
-3,327858,120,366,98,0,35,4,0.0
-2,327817,146,365,114,0,41,3,0.0
-1,327776,169,332,165,0,41,4,0.0
0,327730,190,274,248,0,46,4,40.0
1,327684,209,231,318,0,46,0,7.0
2,327631,227,235,349,0,53,0,10.0
3,327566,251,210,415,0,65,0,4.0
4,327517,259,240,426,0,49,1,3.0
5,327453,277,283,429,0,64,1,5.0
6,327381,303,315,443,0,72,5,6.0
7,327296,335,354,457,0,85,1,6.0
8,327207,359,401,475,0,89,2,9.0
9,327112,405,430,495,0,95,3,12.0
10,327019,434,468,521,0,93,5,7.0
11,326899,482,507,554,0,120,2,11.0
12,326771,525,554,592,0,128,0,18.0
13,326640,567,607,628,0,131,1,13.0
14,326483,629,658,672,0,157,2,27.0
15,326324,695,703,720,0,159,1,23.0
16,326244,655,770,772,1,80,4,33.0
17,326170,601,834,836,1,74,2,23.0
18,326089,551,916,885,1,81,5,35.0
19,326006,477,1013,945,1,83,2,26.0
20,325875,449,1101,1016,1,131,7,23.0
21,325779,465,1100,1097,1,96,2,15.0
22,325653,517,1083,1188,1,126,6,1.0
23,325631,458,1074,1278,1,22,3,0.0
24,325608,398,1063,1372,1,23,7,0.0
25,325583,292,1075,1491,1,25,5,0.0
26,325557,222,1046,1616,1,26,8,0.0
27,325529,124,1048,1740,1,28,3,0.0
28,325511,120,918,1892,1,18,2,0.0
29,325486,122,788,2045,1,25,1,0.0
30,325455,128,735,2123,1,31,1,0.0
31,325429,128,684,2200,1,26,5,0.0
32,325397,132,631,2281,1,32,2,0.0
33,325364,147,565,2365,1,33,1,0.0
34,325327,159,460,2495,1,37,0,0.0
35,325292,163,392,2594,1,35,1,0.0
36,325258,171,291,2721,1,34,3,0.0
37,325224,173,301,2743,1,34,2,0.0
38,325201,163,311,2766,1,23,0,0.0
39,325162,165,324,2790,1,39,1,0.0
40,325129,163,333,2816,1,33,2,0.0
41,325097,161,336,2847,1,32,1,0.0
42,325058,166,350,2867,1,39,2,0.0
43,325026,175,345,2895,1,32,1,0.0
44,324992,170,351,2928,1,34,3,0.0
45,324959,170,354,2958,1,33,2,0.0
46,324931,166,353,2991,1,28,1,0.0
47,324890,168,356,3027,1,41,2,0.0
48,324860,166,350,3065,1,30,1,0.0
49,324824,168,343,3106,1,36,1,0.0
50,324790,169,340,3142,1,34,1,0.0
51,324757,174,327,3183,1,33,2,0.0
52,324718,172,343,3208,1,39,1,0.0
53,324671,189,332,3249,1,47,2,0.0
54,324629,195,336,3281,1,42,1,0.0
55,324574,216,338,3313,1,55,0,0.0
56,324539,218,330,3354,1,35,2,0.0
57,324499,219,336,3387,1,40,3,0.0
58,324454,217,349,3421,1,45,3,0.0
59,324406,223,360,3452,1,48,1,0.0
60,324362,212,390,3477,1,44,1,0.0
61,324325,214,384,3518,1,37,0,0.0
62,324271,228,393,3549,1,54,3,0.0
63,324222,232,403,3584,1,49,3,0.0
64,324191,215,416,3619,1,31,2,0.0
65,324135,227,427,3652,1,56,3,0.0
66,324084,241,426,3690,1,51,4,0.0
67,324030,241,432,3738,1,54,4,0.0
68,323979,243,441,3778,1,51,2,0.0
69,323935,256,419,3831,1,44,3,0.0
70,323886,249,442,3864,1,49,3,0.0
71,323836,248,454,3903,1,50,1,0.0
72,323775,255,464,3947,1,61,2,0.0
73,323722,257,468,3994,1,53,2,0.0
74,323667,268,468,4038,1,55,6,0.0
75,323607,279,481,4074,1,60,2,0.0
76,323561,275,476,4129,1,46,3,0.0
77,323511,264,493,4173,1,50,2,0.0
78,323215,507,514,4205,1,296,4,0.0
79,322940,727,515,4259,1,275,2,0.0
80,322653,954,526,4308,1,287,3,0.0
81,322321,1240,521,4359,1,332,2,0.0
82,321997,1514,520,4410,1,324,4,0.0
83,321710,1505,773,4453,1,287,2,0.0
84,321355,1585,1000,4501,1,355,4,0.0
85,321022,1631,1240,4548,1,333,2,0.0
86,320689,1632,1513,4607,1,333,2,0.0
87,320352,1645,1783,4661,1,337,2,0.0
88,319941,1769,2014,4717,1,411,2,0.0
89,319539,1816,2310,4776,1,402,18,0.0
90,319035,1987,2596,4823,1,504,11,0.0
91,318572,2117,2876,4876,1,463,15,0.0
92,318077,2275,2932,5157,1,495,18,0.0
93,317558,2383,3077,5423,1,519,18,0.0
94,316981,2558,3204,5697,2,577,18,0.0
95,316360,2675,3391,6014,2,621,17,0.0
96,315740,2832,3547,6321,2,620,11,0.0
97,315050,3027,3771,6592,2,690,20,0.0
98,314307,3251,3950,6932,2,743,12,0.0
99,313548,3433,4198,7261,2,759,23,0.0
100,312811,3549,4503,7576,3,737,23,0.0
101,311983,3757,4796,7903,3,828,23,0.0
102,311149,3901,5095,8294,3,834,27,0.0
103,310188,4119,5456,8676,3,961,24,0.0
104,309216,4332,5731,9160,3,972,27,0.0
105,308153,4658,6027,9601,3,1063,29,0.0
106,307115,4868,6380,10076,3,1038,31,0.0
107,305950,5199,6716,10574,3,1165,36,0.0
108,304750,5438,7124,11127,3,1200,41,0.0
109,303492,5724,7500,11722,4,1258,39,0.0
110,302170,5983,7974,12311,4,1322,44,0.0
111,300732,6383,8358,12965,4,1438,40,0.0
112,299257,6693,8814,13674,4,1475,39,0.0
113,297749,7001,9295,14393,4,1508,43,0.0
114,296130,7362,9835,15111,4,1619,57,0.0
115,294560,7610,10355,15913,4,1570,49,0.0
116,292921,7811,10987,16719,4,1639,64,0.0
117,291158,8099,11533,17647,5,1763,43,0.0
118,289310,8439,12098,18590,5,1848,76,0.0
119,287432,8698,12698,19609,5,1878,61,0.0
120,285420,9140,13257,20620,5,2012,69,0.0
121,283375,9546,13793,21721,7,2045,80,0.0
122,281190,9968,14394,22883,7,2185,86,0.0
123,278906,10404,15039,24086,7,2284,84,0.0
124,276581,10851,15649,25354,7,2325,87,0.0
125,274190,11230,16278,26735,9,2391,103,0.0
126,271815,11560,16908,28150,9,2375,110,0.0
127,269321,11869,17635,29608,9,2494,87,0.0
128,266741,12165,18375,31151,10,2580,84,0.0
129,264183,12398,19209,32642,10,2558,103,0.0
130,261534,12656,20011,34231,10,2649,96,0.0
131,258786,13029,20674,35942,11,2748,129,0.0
132,255943,13378,21382,37728,11,2843,117,0.0
133,253061,13680,22138,39550,13,2882,109,0.0
134,250117,14066,22767,41478,14,2944,128,0.0
135,247060,14474,23443,43451,14,3057,119,0.0
136,244077,14709,24064,45578,14,2983,151,0.0
137,241096,14847,24705,47780,14,2981,121,0.0
138,237924,15137,25336,50031,14,3172,142,0.0
139,234749,15368,25980,52331,14,3175,135,0.0
140,231576,15484,26731,54635,16,3173,136,0.0
141,228381,15696,27300,57049,16,3195,141,0.0
142,225083,16013,27786,59544,16,3298,187,0.0
143,221679,16245,28466,62036,16,3404,161,0.0
144,218331,16418,29070,64606,17,3348,156,0.0
145,215039,16537,29594,67253,19,3292,173,0.0
146,211743,16638,30026,70013,22,3296,170,0.0
147,208351,16732,30503,72834,22,3392,172,0.0
148,204898,16781,31044,75696,23,3453,166,0.0
149,201423,16908,31403,78680,28,3475,204,0.0
150,198036,17003,31781,81590,32,3387,179,0.0
151,194612,17131,32145,84521,33,3424,176,0.0
152,191248,17103,32480,87576,35,3364,170,0.0
153,187935,16963,32847,90660,37,3313,169,0.0
154,184599,16824,33213,93769,37,3336,190,0.0
155,181226,16810,33469,96896,41,3373,181,0.0
156,177869,16743,33633,100154,43,3357,187,0.0
157,174544,16704,33651,103498,45,3325,202,0.0
158,171356,16579,33675,106784,48,3188,182,0.0
159,167988,16611,33763,110029,51,3368,195,0.0
160,164685,16541,33912,113250,54,3303,210,0.0
161,161500,16369,33909,116608,56,3185,191,0.0
162,158337,16207,33844,119994,60,3163,211,0.0
163,155219,16137,33622,123402,62,3118,193,0.0
164,152112,15876,33654,126734,66,3107,189,0.0
165,149069,15616,33601,130090,66,3043,185,0.0
166,146073,15427,33461,133409,72,2996,181,0.0
167,143103,15234,33309,136720,76,2970,192,0.0
168,140106,15113,33108,140037,78,2997,198,0.0
169,137235,14877,32865,143384,81,2871,177,0.0
170,134298,14771,32555,146735,83,2937,208,0.0
171,131502,14571,32247,150037,85,2796,208,0.0
172,128752,14351,32025,153228,86,2750,176,0.0
173,125915,14191,31703,156546,87,2837,176,0.0
174,123116,14119,31282,159836,89,2799,180,0.0
175,120523,13775,31030,163023,91,2593,177,0.0
176,117984,13518,30662,166184,94,2539,206,0.0
177,115393,13359,30304,169290,96,2591,171,0.0
178,112876,13039,30042,172387,98,2517,153,0.0
179,110334,12782,29801,175425,100,2542,168,0.0
180,107866,12657,29385,178432,102,2468,157,0.0
