#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,328586,426,0,0,0,0,0,0.0
-28,328586,426,0,0,0,0,0,0.0
-27,328586,426,0,0,0,0,0,0.0
-26,328586,426,0,0,0,0,0,0.0
-25,328586,426,0,0,0,0,0,0.0
-24,328586,426,0,0,0,0,0,0.0
-23,328586,426,0,0,0,0,0,0.0
-22,328586,426,0,0,0,0,0,0.0
-21,328586,426,0,0,0,0,0,0.0
-20,328586,426,0,0,0,0,0,0.0
-19,328586,426,0,0,0,0,0,0.0
-18,328586,426,0,0,0,0,0,0.0
-17,328586,426,0,0,0,0,0,0.0
-16,328586,375,51,0,0,0,0,0.0
-15,328585,376,51,0,0,1,0,0.0
-14,328584,360,68,0,0,1,0,0.0
-13,328581,345,86,0,0,3,0,0.0
-12,328576,333,103,0,0,5,0,0.0
-11,328574,318,120,0,0,2,0,0.0
-10,328565,275,172,0,0,9,2,0.0
-9,328560,194,258,0,0,5,0,0.0
-8,328548,135,329,0,0,12,2,0.0
-7,328537,107,319,49,0,11,1,0.0
-6,328513,61,389,49,0,24,1,0.0
-5,328494,71,383,64,0,19,1,0.0
-4,328465,95,371,81,0,29,4,0.0
-3,328441,107,367,97,0,24,1,0.0
-2,328407,130,362,113,0,34,4,0.0
-1,328365,148,338,161,0,42,3,0.0
0,328317,177,272,246,0,48,9,40.0
1,328265,200,234,313,0,52,1,7.0
2,328211,230,222,349,0,54,0,10.0
3,328144,263,195,410,0,67,2,4.0
4,328078,287,229,418,0,66,0,3.0
5,328017,300,272,423,0,61,0,5.0
6,327941,324,314,433,0,76,0,6.0
7,327868,343,357,444,0,73,2,6.0
8,327803,341,400,468,0,65,2,9.0
9,327725,353,447,487,0,78,2,12.0
10,327642,375,481,514,0,83,3,7.0
11,327516,425,535,536,0,126,3,11.0
12,327409,459,576,568,0,107,4,18.0
13,327273,530,602,607,0,136,4,13.0
14,327112,613,635,652,0,161,2,27.0
15,326965,677,668,702,0,147,8,23.0
16,326903,613,743,753,0,62,2,33.0
17,326847,562,781,821,1,56,4,23.0
18,326769,504,858,880,1,78,2,35.0
19,326707,405,958,941,1,62,1,26.0
20,326643,322,1031,1015,1,64,1,23.0
21,326555,348,1018,1090,1,88,6,15.0
22,326462,385,1009,1155,1,93,4,1.0
23,326437,332,1006,1236,1,25,2,0.0
24,326410,297,989,1315,1,27,6,0.0
25,326392,251,921,1447,1,18,10,0.0
26,326353,202,903,1553,1,39,3,0.0
27,326325,137,866,1683,1,28,4,0.0
28,326307,130,738,1836,1,18,2,0.0
29,326274,136,621,1980,1,33,0,0.0
30,326239,153,580,2039,1,35,2,0.0
31,326207,146,563,2094,2,32,2,0.0
32,326176,149,512,2173,2,31,3,0.0
33,326141,166,469,2234,2,35,8,0.0
34,326104,170,437,2299,2,37,0,0.0
35,326068,171,385,2386,2,36,3,0.0
36,326036,171,329,2474,2,32,1,0.0
37,325986,190,331,2503,2,50,0,0.0
38,325955,186,339,2530,2,31,0,0.0
39,325917,187,356,2550,2,38,1,0.0
40,325887,181,345,2597,2,30,1,0.0
41,325854,182,348,2626,2,33,2,0.0
42,325813,173,377,2647,2,41,1,0.0
43,325763,192,374,2681,2,50,0,0.0
44,325722,195,377,2715,3,41,1,0.0
45,325687,200,375,2747,3,35,1,0.0
46,325650,204,372,2783,3,37,3,0.0
47,325603,210,376,2820,3,47,3,0.0
48,325572,191,388,2858,3,31,3,0.0
49,325544,178,390,2897,3,28,0,0.0
50,325503,184,387,2935,3,41,1,0.0
51,325459,191,375,2984,3,44,3,0.0
52,325422,181,388,3018,3,37,2,0.0
53,325373,199,380,3057,3,49,2,0.0
54,325333,211,381,3084,3,40,1,0.0
55,325289,214,389,3117,3,44,1,0.0
56,325241,218,392,3158,3,48,1,0.0
57,325190,232,377,3210,3,51,0,0.0
58,325150,223,378,3258,3,40,3,0.0
59,325090,243,384,3292,3,60,2,0.0
60,325046,243,388,3332,3,44,0,0.0
61,325000,241,390,3378,3,46,2,0.0
62,324945,245,412,3407,3,55,2,0.0
63,324892,258,424,3435,3,53,1,0.0
64,324833,257,444,3475,3,59,5,0.0
65,324787,259,444,3518,4,46,6,0.0
66,324737,263,452,3556,4,50,3,0.0
67,324687,258,462,3601,4,50,2,0.0
68,324623,269,481,3635,4,64,4,0.0
69,324573,260,498,3677,4,50,3,0.0
70,324519,268,497,3724,4,54,2,0.0
71,324467,270,498,3773,4,52,1,0.0
72,324402,285,509,3812,4,65,0,0.0
73,324329,294,512,3873,4,73,2,0.0
74,324264,309,519,3916,4,65,3,0.0
75,324199,320,526,3963,4,65,5,0.0
76,324125,342,522,4019,4,74,2,0.0
77,324081,321,536,4070,4,44,2,0.0
78,323983,346,553,4126,4,98,3,0.0
79,323889,375,573,4171,4,94,5,0.0
80,323799,400,589,4220,4,90,3,0.0
81,323697,428,615,4268,4,102,4,0.0
82,323620,461,599,4328,4,77,1,0.0
83,323539,444,646,4379,4,81,5,0.0
