#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,327813,425,0,0,0,0,0,0.0
-28,327813,425,0,0,0,0,0,0.0
-27,327813,425,0,0,0,0,0,0.0
-26,327813,425,0,0,0,0,0,0.0
-25,327813,425,0,0,0,0,0,0.0
-24,327813,425,0,0,0,0,0,0.0
-23,327813,425,0,0,0,0,0,0.0
-22,327813,425,0,0,0,0,0,0.0
-21,327813,425,0,0,0,0,0,0.0
-20,327813,425,0,0,0,0,0,0.0
-19,327813,425,0,0,0,0,0,0.0
-18,327813,425,0,0,0,0,0,0.0
-17,327813,425,0,0,0,0,0,0.0
-16,327813,374,51,0,0,0,0,0.0
-15,327812,375,51,0,0,1,0,0.0
-14,327811,359,68,0,0,1,0,0.0
-13,327808,345,85,0,0,3,0,0.0
-12,327801,335,102,0,0,7,0,0.0
-11,327795,324,119,0,0,6,0,0.0
-10,327791,276,171,0,0,4,1,0.0
-9,327782,199,257,0,0,9,0,0.0
-8,327774,136,328,0,0,8,0,0.0
-7,327765,104,319,50,0,9,2,0.0
-6,327744,51,393,50,0,21,1,0.0
-5,327710,81,380,67,0,34,1,0.0
-4,327685,97,374,82,0,25,2,0.0
-3,327650,124,366,98,0,35,4,0.0
-2,327604,161,359,114,0,46,6,0.0
-1,327562,182,330,164,0,42,6,0.0
0,327500,210,282,246,0,62,2,40.0
1,327441,244,242,311,0,59,0,7.0
2,327368,282,242,346,0,73,0,10.0
3,327288,316,215,419,0,80,1,4.0
4,327207,355,253,423,0,81,2,3.0
5,327107,393,306,432,0,100,2,5.0
6,327000,441,358,439,0,107,0,6.0
7,326881,487,422,448,0,119,1,6.0
8,326773,515,482,468,0,108,1,9.0
9,326651,556,529,502,0,122,1,12.0
10,326501,606,605,526,0,150,3,7.0
11,326329,671,678,560,0,172,3,11.0
12,326134,747,752,605,0,195,0,18.0
13,325932,841,821,644,0,202,4,13.0
14,325715,936,883,704,0,217,4,27.0
15,325465,1036,973,764,0,250,3,23.0
16,325386,943,1076,833,0,79,6,33.0
17,325289,845,1195,909,0,97,4,23.0
18,325188,744,1317,989,0,101,4,35.0
19,325080,635,1439,1084,0,108,4,26.0
20,324972,493,1584,1189,0,108,3,23.0
21,324828,558,1546,1306,0,144,7,15.0
22,324674,615,1534,1415,0,154,4,1.0
23,324646,542,1511,1539,0,28,10,0.0
24,324619,461,1471,1687,0,27,7,0.0
25,324591,381,1407,1859,0,28,14,0.0
26,324560,268,1364,2046,0,31,8,0.0
27,324534,140,1323,2241,0,26,2,0.0
28,324495,151,1147,2445,0,39,2,0.0
29,324464,155,929,2690,0,31,5,0.0
30,324435,156,878,2769,0,29,3,0.0
31,324403,157,814,2864,0,32,1,0.0
32,324357,177,742,2962,0,46,7,0.0
33,324306,189,674,3069,0,51,3,0.0
34,324271,193,597,3177,0,35,1,0.0
35,324223,212,487,3316,0,48,1,0.0
36,324192,211,366,3469,0,31,0,0.0
37,324142,215,385,3496,0,50,0,0.0
38,324105,201,407,3525,0,37,2,0.0
39,324069,202,411,3556,0,36,4,0.0
40,324027,196,425,3590,0,42,3,0.0
41,323995,197,427,3618,1,32,0,0.0
42,323946,196,440,3655,1,49,2,0.0
43,323906,199,445,3687,1,40,4,0.0
44,323878,191,448,3720,1,28,3,0.0
45,323823,204,458,3752,1,55,2,0.0
46,323777,218,442,3800,1,46,3,0.0
47,323727,219,439,3852,1,50,0,0.0
48,323684,222,438,3893,1,43,7,0.0
49,323643,235,414,3945,1,41,1,0.0
50,323590,233,424,3990,1,53,0,0.0
51,323535,242,418,4042,1,55,3,0.0
52,323486,241,429,4081,1,49,2,0.0
53,323439,245,434,4119,1,47,4,0.0
54,323397,246,431,4163,1,42,4,0.0
55,323347,243,451,4196,1,50,3,0.0
56,323293,242,460,4242,1,54,2,0.0
57,323235,251,466,4285,1,58,1,0.0
58,323193,246,485,4313,1,42,4,0.0
59,323148,249,473,4367,1,45,3,0.0
60,323100,247,477,4413,1,48,3,0.0
61,323053,240,484,4460,1,47,4,0.0
62,323003,232,501,4501,1,50,1,0.0
63,322954,239,502,4542,1,49,6,0.0
64,322895,253,493,4596,1,59,5,0.0
65,322847,253,485,4652,1,48,3,0.0
66,322792,261,489,4695,1,55,3,0.0
67,322735,268,496,4738,1,57,1,0.0
68,322675,279,503,4780,1,60,2,0.0
69,322624,271,512,4830,1,51,2,0.0
70,322568,279,505,4885,1,56,3,0.0
71,322525,267,501,4944,1,43,2,0.0
72,322455,280,517,4985,1,70,4,0.0
73,322402,273,528,5034,1,53,2,0.0
74,322341,283,532,5081,1,61,2,0.0
75,322272,296,545,5124,1,69,3,0.0
76,322203,322,537,5175,1,69,2,0.0
77,322144,311,559,5223,1,59,3,0.0
78,322080,322,553,5282,1,64,7,0.0
79,322024,317,564,5332,1,56,5,0.0
80,321956,316,579,5386,1,68,2,0.0
81,321898,305,595,5439,1,58,3,0.0
82,321825,319,598,5495,1,73,2,0.0
83,321756,324,609,5548,1,69,2,0.0
84,321698,326,609,5604,1,58,3,0.0
85,321624,332,633,5648,1,74,6,0.0
86,321543,355,619,5720,1,81,5,0.0
87,321468,357,641,5771,1,75,3,0.0
