#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,327783,427,0,0,0,0,0,0.0
-28,327783,427,0,0,0,0,0,0.0
-27,327783,427,0,0,0,0,0,0.0
-26,327783,427,0,0,0,0,0,0.0
-25,327783,427,0,0,0,0,0,0.0
-24,327783,427,0,0,0,0,0,0.0
-23,327783,427,0,0,0,0,0,0.0
-22,327783,427,0,0,0,0,0,0.0
-21,327783,427,0,0,0,0,0,0.0
-20,327783,427,0,0,0,0,0,0.0
-19,327783,427,0,0,0,0,0,0.0
-18,327783,427,0,0,0,0,0,0.0
-17,327783,427,0,0,0,0,0,0.0
-16,327783,376,51,0,0,0,0,0.0
-15,327783,376,51,0,0,0,0,0.0
-14,327782,360,68,0,0,1,0,0.0
-13,327780,345,85,0,0,2,0,0.0
-12,327779,329,102,0,0,1,0,0.0
-11,327777,314,119,0,0,2,0,0.0
-10,327770,270,170,0,0,7,1,0.0
-9,327767,185,258,0,0,3,0,0.0
-8,327756,126,328,0,0,11,1,0.0
-7,327743,104,313,50,0,13,2,0.0
-6,327727,50,383,50,0,16,1,0.0
-5,327713,57,374,66,0,14,0,0.0
-4,327692,75,362,81,0,21,3,0.0
-3,327664,92,357,97,0,28,10,0.0
-2,327621,122,353,114,0,43,9,0.0
-1,327587,140,321,162,0,34,3,0.0
0,327542,171,257,240,0,45,3,40.0
1,327498,194,217,301,0,44,0,7.0
2,327442,222,213,333,0,56,0,10.0
3,327407,214,189,400,0,35,3,4.0
4,327346,241,216,407,0,61,1,3.0
5,327301,241,258,410,0,45,0,5.0
6,327226,272,292,420,0,75,1,6.0
7,327153,289,336,432,0,73,1,6.0
8,327072,335,355,448,0,81,0,9.0
9,326981,365,403,461,0,91,0,12.0
10,326886,415,428,481,0,95,2,7.0
11,326784,442,475,509,0,102,3,11.0
12,326668,485,505,552,0,116,1,18.0
13,326540,532,554,584,0,128,2,13.0
14,326399,582,603,626,0,141,2,27.0
15,326247,639,654,670,0,152,1,23.0
16,326195,589,702,724,0,52,1,33.0
17,326147,521,784,758,0,48,6,23.0
18,326079,461,850,820,0,68,3,35.0
19,326029,370,946,865,0,50,3,26.0
20,325964,283,1029,934,0,65,6,23.0
21,325880,315,1008,1007,0,84,3,15.0
22,325814,333,969,1094,0,66,3,1.0
23,325792,287,943,1188,0,22,3,0.0
24,325767,262,898,1283,0,25,4,0.0
25,325744,220,861,1385,0,23,5,0.0
26,325714,166,832,1498,0,30,10,0.0
27,325688,126,774,1622,0,26,2,0.0
28,325665,127,657,1761,0,23,3,0.0
29,325634,133,538,1905,0,31,4,0.0
30,325600,144,510,1956,0,34,1,0.0
31,325576,138,493,2003,0,24,0,0.0
32,325545,143,454,2068,0,31,5,0.0
33,325514,151,428,2117,0,31,2,0.0
34,325484,150,394,2182,0,30,2,0.0
35,325451,149,347,2263,0,33,2,0.0
36,325418,158,304,2330,0,33,0,0.0
37,325394,151,314,2351,0,24,0,0.0
38,325359,155,320,2376,0,35,2,0.0
39,325339,145,325,2401,0,20,2,0.0
40,325296,155,327,2432,0,43,4,0.0
41,325265,153,334,2458,0,31,2,0.0
42,325235,159,331,2485,0,30,4,0.0
43,325184,175,335,2516,0,51,2,0.0
44,325153,186,319,2552,0,31,1,0.0
45,325124,172,337,2577,0,29,1,0.0
46,325079,186,337,2608,0,45,1,0.0
47,325041,194,335,2640,0,38,1,0.0
48,324999,185,354,2672,0,42,2,0.0
49,324958,195,349,2708,0,41,1,0.0
50,324918,206,341,2745,0,40,1,0.0
51,324881,198,354,2777,0,37,1,0.0
52,324856,185,356,2813,0,25,1,0.0
53,324822,177,376,2835,0,34,4,0.0
54,324774,184,372,2880,0,48,4,0.0
55,324742,176,381,2911,0,32,1,0.0
56,324707,174,392,2937,0,35,1,0.0
57,324669,187,366,2988,0,38,2,0.0
58,324621,201,368,3020,0,48,1,0.0
59,324580,194,386,3049,1,41,2,0.0
60,324529,213,374,3093,1,51,3,0.0
61,324478,229,372,3130,1,51,4,0.0
62,324434,235,370,3170,1,44,3,0.0
63,324383,238,378,3210,1,51,0,0.0
64,324342,238,381,3248,1,41,3,0.0
65,324305,224,394,3286,1,37,6,0.0
66,324253,225,419,3312,1,52,5,0.0
67,324197,237,428,3347,1,56,5,0.0
68,324132,251,435,3391,1,65,3,0.0
69,324084,258,447,3420,1,48,2,0.0
70,324032,273,453,3451,1,52,3,0.0
71,323971,282,468,3488,1,61,6,0.0
72,323911,286,477,3535,1,60,1,0.0
73,323862,270,502,3575,1,49,2,0.0
74,323794,290,503,3622,1,68,1,0.0
75,323743,289,503,3674,1,51,2,0.0
76,323694,277,520,3718,1,49,2,0.0
77,323629,282,528,3770,1,65,2,0.0
78,323572,290,534,3813,1,57,1,0.0
79,323514,280,562,3853,1,58,5,0.0
80,323469,274,561,3905,1,45,6,0.0
81,323419,275,554,3961,1,50,2,0.0
82,323351,278,557,4023,1,68,4,0.0
83,323288,284,571,4066,1,63,2,0.0
84,323235,279,576,4119,1,53,2,0.0
85,323154,315,562,4178,1,81,3,0.0
86,323080,339,550,4240,1,74,4,0.0
87,322994,357,568,4290,1,86,4,0.0
88,322921,367,565,4356,1,73,6,0.0
89,322862,373,568,4406,1,59,7,0.0
90,322782,372,598,4457,1,80,3,0.0
91,322714,366,609,4520,1,68,1,0.0
92,322645,349,641,4574,1,69,3,0.0
93,322575,346,657,4631,1,70,4,0.0
94,322498,364,670,4677,1,77,6,0.0
95,322419,363,700,4727,1,79,5,0.0
96,322346,368,698,4797,1,73,4,0.0
97,322277,368,707,4856,2,69,9,0.0
98,322202,373,726,4907,2,75,3,0.0
99,322120,378,725,4985,2,82,1,0.0
100,322048,371,737,5052,2,72,5,0.0
