#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,327791,425,0,0,0,0,0,0.0
-28,327791,425,0,0,0,0,0,0.0
-27,327791,425,0,0,0,0,0,0.0
-26,327791,425,0,0,0,0,0,0.0
-25,327791,425,0,0,0,0,0,0.0
-24,327791,425,0,0,0,0,0,0.0
-23,327791,425,0,0,0,0,0,0.0
-22,327791,425,0,0,0,0,0,0.0
-21,327791,425,0,0,0,0,0,0.0
-20,327791,425,0,0,0,0,0,0.0
-19,327791,425,0,0,0,0,0,0.0
-18,327791,425,0,0,0,0,0,0.0
-17,327791,425,0,0,0,0,0,0.0
-16,327791,374,51,0,0,0,0,0.0
-15,327790,375,51,0,0,1,0,0.0
-14,327788,360,68,0,0,2,0,0.0
-13,327788,343,85,0,0,0,0,0.0
-12,327785,329,102,0,0,3,0,0.0
-11,327781,316,119,0,0,4,0,0.0
-10,327776,269,171,0,0,5,1,0.0
-9,327766,192,258,0,0,10,0,0.0
-8,327755,135,326,0,0,11,0,0.0
-7,327743,110,313,50,0,12,1,0.0
-6,327723,58,385,50,0,20,0,0.0
-5,327704,72,373,67,0,19,1,0.0
-4,327679,87,367,83,0,25,3,0.0
-3,327642,113,361,100,0,37,1,0.0
-2,327608,135,357,116,0,34,3,0.0
-1,327560,163,327,166,0,48,5,0.0
0,327526,178,260,252,0,34,6,40.0
1,327490,189,220,317,0,36,0,7.0
2,327441,201,225,349,0,49,0,10.0
3,327391,217,193,415,0,50,0,4.0
4,327328,232,236,420,0,63,2,3.0
5,327274,252,260,430,0,54,1,5.0
6,327208,282,285,441,0,66,4,6.0
7,327131,310,324,451,0,77,1,6.0
8,327053,338,355,470,0,78,1,9.0
9,326970,358,401,487,0,83,0,12.0
10,326879,395,431,511,0,91,4,7.0
11,326781,427,461,547,0,98,1,11.0
12,326678,453,504,581,0,103,3,18.0
13,326550,503,538,625,0,128,4,13.0
14,326400,570,588,658,0,150,6,27.0
15,326257,622,645,692,0,143,3,23.0
16,326195,586,698,737,0,62,0,33.0
17,326138,540,757,781,0,57,3,23.0
18,326070,480,824,842,0,68,3,35.0
19,326002,398,920,896,0,68,3,26.0
20,325924,333,998,961,0,78,5,23.0
21,325861,334,983,1038,0,63,4,15.0
22,325751,387,963,1115,0,110,7,1.0
23,325727,343,949,1197,0,24,4,0.0
24,325714,288,925,1289,0,13,5,0.0
25,325685,239,908,1384,0,29,6,0.0
26,325651,210,872,1483,0,34,8,0.0
27,325622,129,859,1606,0,29,3,0.0
28,325594,133,739,1750,0,28,2,0.0
29,325575,139,614,1888,0,19,6,0.0
30,325536,149,582,1949,0,39,2,0.0
31,325511,140,557,2008,0,25,1,0.0
32,325490,132,521,2072,1,21,2,0.0
33,325459,135,482,2139,1,31,6,0.0
34,325432,143,424,2216,1,27,1,0.0
35,325402,134,397,2282,1,30,2,0.0
36,325361,150,318,2386,1,41,4,0.0
37,325327,163,312,2413,1,34,1,0.0
38,325300,159,328,2428,1,27,0,0.0
39,325266,166,325,2458,1,34,2,0.0
40,325229,173,319,2494,1,37,3,0.0
41,325206,155,330,2523,2,23,4,0.0
42,325173,154,334,2553,2,33,3,0.0
43,325139,161,342,2572,2,34,1,0.0
44,325102,164,338,2610,2,37,2,0.0
45,325056,173,349,2636,2,46,1,0.0
46,325017,189,348,2660,2,39,3,0.0
47,324983,190,346,2695,2,34,4,0.0
48,324947,192,352,2723,2,36,0,0.0
49,324920,182,356,2756,2,27,1,0.0
50,324881,175,358,2800,2,39,2,0.0
51,324840,177,356,2841,2,41,1,0.0
52,324795,188,361,2870,2,45,0,0.0
53,324750,197,364,2903,2,45,4,0.0
54,324716,204,350,2944,2,34,2,0.0
55,324673,208,365,2968,2,43,1,0.0
56,324633,207,376,2998,2,40,4,0.0
57,324586,209,387,3032,2,47,1,0.0
58,324536,214,391,3073,2,50,2,0.0
59,324487,229,382,3116,2,49,4,0.0
60,324447,226,385,3156,2,40,1,0.0
61,324404,229,389,3192,2,43,2,0.0
62,324356,230,404,3224,2,48,1,0.0
63,324243,293,427,3250,3,113,1,0.0
64,324122,365,437,3289,3,121,2,0.0
65,324021,426,435,3331,3,101,3,0.0
66,323909,495,431,3378,3,112,1,0.0
67,323799,557,433,3424,3,110,2,0.0
68,323666,577,514,3456,3,133,7,0.0
69,323529,593,591,3500,3,137,5,0.0
70,323394,627,654,3538,3,135,1,0.0
71,323248,661,722,3581,4,146,1,0.0
72,323127,672,783,3630,4,121,3,0.0
73,322986,680,868,3678,4,141,2,0.0
74,322847,682,965,3718,4,139,5,0.0
75,322701,693,1057,3761,4,146,4,0.0
76,322542,706,1155,3809,4,159,7,0.0
77,322384,743,1168,3917,4,158,1,0.0
78,322215,771,1189,4037,4,169,5,0.0
79,322049,798,1231,4133,5,166,4,0.0
80,321899,802,1265,4245,5,150,2,0.0
81,321730,812,1314,4355,5,169,4,0.0
82,321541,843,1342,4485,5,189,10,0.0
83,321355,860,1374,4622,5,186,8,0.0
84,321181,868,1405,4757,5,174,6,0.0
85,320954,945,1418,4894,5,227,10,0.0
86,320734,996,1473,5008,5,220,5,0.0
87,320506,1035,1526,5144,5,228,8,0.0
88,320289,1066,1581,5275,5,217,9,0.0
89,320068,1113,1612,5418,5,221,10,0.0
90,319845,1109,1684,5573,5,223,12,0.0
91,319577,1157,1753,5724,5,268,7,0.0
92,319323,1183,1820,5885,5,254,10,0.0
93,319069,1220,1875,6047,5,254,8,0.0
94,318805,1263,1948,6195,5,264,9,0.0
95,318533,1312,2010,6356,5,272,15,0.0
96,318257,1320,2096,6538,5,276,16,0.0
97,317941,1382,2171,6717,5,316,8,0.0
98,317654,1415,2264,6878,5,287,9,0.0
99,317337,1468,2312,7094,5,317,6,0.0
100,317029,1504,2368,7310,5,308,15,0.0
101,316719,1538,2416,7538,5,310,16,0.0
102,316387,1554,2520,7750,5,332,13,0.0
103,316043,1611,2596,7961,5,344,16,0.0
104,315718,1619,2700,8174,5,325,10,0.0
105,315358,1671,2749,8432,6,360,20,0.0
106,315002,1717,2817,8674,6,356,12,0.0
107,314632,1755,2896,8927,6,370,14,0.0
108,314252,1791,2987,9179,7,380,17,0.0
109,313851,1867,3046,9445,7,401,18,0.0
110,313436,1922,3131,9720,7,415,20,0.0
111,313044,1958,3183,10023,8,392,15,0.0
112,312642,1990,3276,10300,8,402,16,0.0
113,312226,2026,3350,10606,8,416,23,0.0
114,311805,2046,3445,10911,9,421,15,0.0
115,311375,2061,3554,11217,9,430,15,0.0
116,310944,2100,3627,11536,9,431,18,0.0
117,310508,2134,3690,11875,9,436,24,0.0
118,310064,2162,3787,12194,9,444,17,0.0
119,309640,2165,3857,12545,9,424,27,0.0
120,309170,2205,3943,12889,9,470,23,0.0
121,308722,2222,4006,13257,9,448,24,0.0
122,308257,2251,4082,13617,9,465,24,0.0
123,307732,2332,4138,14004,10,525,16,0.0
124,307225,2415,4165,14401,10,507,23,0.0
125,306725,2445,4250,14786,10,500,20,0.0
126,306184,2538,4298,15185,11,541,20,0.0
127,305656,2601,4354,15594,11,528,23,0.0
128,305141,2591,4461,16012,11,515,25,0.0
129,304547,2678,4548,16432,11,594,28,0.0
130,304004,2721,4621,16859,11,543,19,0.0
131,303432,2752,4740,17281,11,572,29,0.0
132,302827,2829,4839,17708,13,605,19,0.0
133,302224,2917,4935,18127,13,603,31,0.0
134,301602,2945,5070,18586,13,622,28,0.0
135,300974,3030,5163,19036,13,628,27,0.0
136,300384,3048,5284,19487,13,590,17,0.0
137,299805,3022,5373,20002,14,579,23,0.0
138,299191,3033,5470,20507,15,614,32,0.0
