#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,239639,426,0,0,0,0,0,0.0
-28,239639,426,0,0,0,0,0,0.0
-27,239639,426,0,0,0,0,0,0.0
-26,239639,426,0,0,0,0,0,0.0
-25,239639,426,0,0,0,0,0,0.0
-24,239639,426,0,0,0,0,0,0.0
-23,239639,426,0,0,0,0,0,0.0
-22,239639,426,0,0,0,0,0,0.0
-21,239639,426,0,0,0,0,0,0.0
-20,239639,426,0,0,0,0,0,0.0
-19,239639,426,0,0,0,0,0,0.0
-18,239639,426,0,0,0,0,0,0.0
-17,239639,426,0,0,0,0,0,0.0
-16,239639,375,51,0,0,0,0,0.0
-15,239636,378,51,0,0,3,0,0.0
-14,239635,362,68,0,0,1,0,0.0
-13,239634,346,85,0,0,1,0,0.0
-12,239632,331,102,0,0,2,0,0.0
-11,239625,321,119,0,0,7,0,0.0
-10,239618,274,173,0,0,7,5,0.0
-9,239610,196,259,0,0,8,0,0.0
-8,239599,137,329,0,0,11,2,0.0
-7,239587,113,319,46,0,12,0,0.0
-6,239570,55,394,46,0,17,2,0.0
-5,239549,69,386,61,0,21,0,0.0
-4,239527,83,377,78,0,22,3,0.0
-3,239496,103,373,93,0,31,8,0.0
-2,239474,113,368,110,0,22,2,0.0
-1,239447,123,334,161,0,27,1,0.0
0,239410,139,277,239,0,37,3,40.0
1,239366,161,231,307,0,44,0,7.0
2,239332,164,227,342,0,34,1,10.0
3,239289,185,176,415,0,43,2,4.0
4,239237,210,196,422,0,52,1,3.0
5,239191,219,225,430,0,46,2,5.0
6,239125,241,258,441,0,66,3,6.0
7,239071,261,281,452,0,54,1,6.0
8,239008,281,309,467,0,63,2,9.0
9,238938,299,342,486,0,70,3,12.0
10,238873,318,367,507,0,65,1,7.0
11,238802,323,404,536,0,71,0,11.0
12,238696,375,439,555,0,106,2,18.0
13,238604,404,476,581,0,92,2,13.0
14,238503,435,508,618,1,101,2,27.0
15,238404,469,526,665,1,99,5,23.0
16,238369,433,565,697,1,35,2,33.0
17,238329,367,628,740,1,40,2,23.0
18,238270,334,673,787,1,59,2,35.0
19,238215,288,729,832,1,55,6,26.0
20,238170,234,764,896,1,45,4,23.0
21,238119,250,746,949,1,51,1,15.0
22,238067,262,722,1013,1,52,7,1.0
23,238049,221,713,1081,1,18,4,0.0
24,238028,187,703,1146,1,21,4,0.0
25,238008,162,681,1213,1,20,10,0.0
26,237995,124,630,1315,1,13,6,0.0
27,237974,93,592,1405,1,21,2,0.0
28,237949,100,515,1500,1,25,1,0.0
29,237923,105,441,1595,1,26,1,0.0
30,237889,119,426,1630,1,34,7,0.0
31,237867,128,397,1672,1,22,1,0.0
