#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,240225,425,0,0,0,0,0,0.0
-28,240225,425,0,0,0,0,0,0.0
-27,240225,425,0,0,0,0,0,0.0
-26,240225,425,0,0,0,0,0,0.0
-25,240225,425,0,0,0,0,0,0.0
-24,240225,425,0,0,0,0,0,0.0
-23,240225,425,0,0,0,0,0,0.0
-22,240225,425,0,0,0,0,0,0.0
-21,240225,425,0,0,0,0,0,0.0
-20,240225,425,0,0,0,0,0,0.0
-19,240225,425,0,0,0,0,0,0.0
-18,240225,425,0,0,0,0,0,0.0
-17,240225,425,0,0,0,0,0,0.0
-16,240225,374,51,0,0,0,0,0.0
-15,240224,375,51,0,0,1,0,0.0
-14,240223,359,68,0,0,1,0,0.0
-13,240221,344,85,0,0,2,0,0.0
-12,240218,330,102,0,0,3,0,0.0
-11,240217,314,119,0,0,1,0,0.0
-10,240215,264,171,0,0,2,6,0.0
-9,240207,186,257,0,0,8,0,0.0
-8,240200,123,327,0,0,7,2,0.0
-7,240187,99,319,45,0,13,1,0.0
-6,240165,52,388,45,0,22,2,0.0
-5,240136,79,375,60,0,29,1,0.0
-4,240111,96,367,76,0,25,4,0.0
-3,240078,122,359,91,0,33,11,0.0
-2,240045,142,356,107,0,33,6,0.0
-1,240000,165,329,156,0,45,1,0.0
0,239951,185,283,231,0,49,6,40.0
1,239897,214,244,295,0,54,0,7.0
2,239843,235,241,331,0,54,1,10.0
3,239792,253,211,394,0,51,3,4.0
4,239738,262,254,396,0,54,0,3.0
5,239670,281,296,403,0,68,0,5.0
6,239624,273,343,410,0,46,0,6.0
7,239571,272,384,423,0,53,3,6.0
8,239506,286,413,445,0,65,1,9.0
9,239422,316,438,474,0,84,3,12.0
10,239336,334,484,496,0,86,2,7.0
11,239256,368,498,528,0,80,3,11.0
12,239168,403,520,559,0,88,1,18.0
13,239063,443,542,602,0,105,3,13.0
14,238941,481,580,648,0,122,2,27.0
15,238807,529,608,706,0,134,6,23.0
16,238760,496,636,758,0,47,2,33.0
17,238717,451,673,809,0,43,2,23.0
18,238665,398,728,859,0,52,2,35.0
19,238618,323,782,927,0,47,2,26.0
20,238554,253,871,972,0,64,2,23.0
21,238501,259,863,1027,0,53,4,15.0
22,238442,275,835,1098,0,59,7,1.0
23,238425,240,799,1186,0,17,1,0.0
24,238407,211,763,1269,0,18,9,0.0
25,238385,169,748,1348,0,22,7,0.0
26,238365,136,714,1435,0,20,6,0.0
27,238347,95,676,1532,0,18,2,0.0
28,238320,105,576,1649,0,27,7,0.0
29,238293,114,466,1777,0,27,4,0.0
30,238260,125,442,1823,0,33,2,0.0
31,238237,128,425,1860,0,23,4,0.0
32,238210,137,393,1910,0,27,3,0.0
33,238182,138,374,1956,0,28,7,0.0
34,238163,130,339,2018,0,19,0,0.0
35,238140,120,320,2070,0,23,0,0.0
36,238105,132,288,2125,0,35,1,0.0
37,238079,131,297,2143,0,26,5,0.0
38,238058,124,304,2164,0,21,1,0.0
39,238030,133,300,2187,0,28,7,0.0
40,237992,148,301,2209,0,38,0,0.0
41,237955,150,317,2228,0,37,1,0.0
42,237916,163,316,2255,0,39,1,0.0
43,237882,176,308,2284,0,34,1,0.0
44,237849,181,302,2318,0,33,3,0.0
45,237808,184,316,2342,0,41,0,0.0
46,237771,184,324,2371,0,37,0,0.0
47,237738,178,332,2402,0,33,3,0.0
48,237716,166,346,2422,0,22,2,0.0
49,237696,153,347,2454,0,20,1,0.0
50,237658,150,349,2493,0,38,1,0.0
51,237622,149,356,2523,0,36,1,0.0
52,237574,164,367,2545,0,48,2,0.0
53,237537,179,355,2579,0,37,6,0.0
54,237500,196,334,2620,0,37,2,0.0
55,237460,198,335,2657,0,40,3,0.0
56,237423,199,335,2693,0,37,3,0.0
57,237374,200,348,2728,0,49,1,0.0
58,237338,199,353,2760,0,36,5,0.0
59,237294,206,352,2798,0,44,0,0.0
60,237266,194,356,2834,0,28,1,0.0
61,237216,207,364,2863,0,50,3,0.0
62,237179,195,386,2890,0,37,3,0.0
63,237143,195,402,2910,0,36,3,0.0
64,237095,199,404,2952,0,48,5,0.0
65,237059,207,399,2985,0,36,1,0.0
66,237018,198,402,3032,0,41,3,0.0
67,236970,209,406,3065,0,48,1,0.0
68,236911,232,405,3102,0,59,4,0.0
69,236875,220,412,3143,0,36,1,0.0
70,236834,225,412,3179,0,41,4,0.0
71,236788,230,408,3224,0,46,1,0.0
72,236738,232,418,3262,0,50,2,0.0
73,236694,217,434,3305,0,44,4,0.0
74,236645,230,442,3333,0,49,4,0.0
75,236607,227,434,3382,0,38,2,0.0
76,236558,230,446,3416,0,49,0,0.0
77,236513,225,462,3450,0,45,2,0.0
78,236467,227,454,3502,0,46,5,0.0
79,236434,211,465,3540,0,33,4,0.0
80,236381,226,461,3582,0,53,2,0.0
81,236316,242,464,3628,0,65,2,0.0
82,236262,251,453,3684,0,54,2,0.0
83,236224,243,460,3723,0,38,6,0.0
84,236177,257,454,3762,0,47,3,0.0
85,236125,256,463,3806,0,52,5,0.0
86,236077,239,480,3854,0,48,2,0.0
87,236032,230,489,3899,0,45,4,0.0
88,235975,249,478,3948,0,57,3,0.0
89,235922,255,485,3988,0,53,5,0.0
90,235862,263,491,4034,0,60,3,0.0
91,235803,274,494,4079,0,59,1,0.0
92,235751,281,497,4121,0,52,1,0.0
93,235692,283,520,4155,0,59,7,0.0
94,235644,278,520,4208,0,48,2,0.0
95,235562,300,512,4276,0,82,3,0.0
96,235485,318,523,4324,0,77,3,0.0
97,235405,346,537,4362,0,80,5,0.0
