#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,239311,425,0,0,0,0,0,0.0
-28,239311,425,0,0,0,0,0,0.0
-27,239311,425,0,0,0,0,0,0.0
-26,239311,425,0,0,0,0,0,0.0
-25,239311,425,0,0,0,0,0,0.0
-24,239311,425,0,0,0,0,0,0.0
-23,239311,425,0,0,0,0,0,0.0
-22,239311,425,0,0,0,0,0,0.0
-21,239311,425,0,0,0,0,0,0.0
-20,239311,425,0,0,0,0,0,0.0
-19,239311,425,0,0,0,0,0,0.0
-18,239311,425,0,0,0,0,0,0.0
-17,239311,425,0,0,0,0,0,0.0
-16,239311,374,51,0,0,0,0,0.0
-15,239311,374,51,0,0,0,0,0.0
-14,239309,359,68,0,0,2,0,0.0
-13,239306,345,85,0,0,3,0,0.0
-12,239305,329,102,0,0,1,0,0.0
-11,239302,315,119,0,0,3,0,0.0
-10,239296,270,170,0,0,6,3,0.0
-9,239286,193,257,0,0,10,0,0.0
-8,239276,132,328,0,0,10,2,0.0
-7,239260,113,315,48,0,16,3,0.0
-6,239245,57,386,48,0,15,0,0.0
-5,239227,69,377,63,0,18,1,0.0
-4,239196,90,373,77,0,31,3,0.0
-3,239171,105,366,94,0,25,3,0.0
-2,239138,122,366,110,0,33,10,0.0
-1,239104,141,333,158,0,34,4,0.0
0,239056,171,267,242,0,48,4,40.0
1,239000,196,237,303,0,56,2,7.0
2,238949,222,231,334,0,51,0,10.0
3,238907,231,197,401,0,42,1,4.0
4,238835,269,227,405,0,72,1,3.0
5,238772,284,265,415,0,63,1,5.0
6,238704,296,311,425,0,68,2,6.0
7,238638,311,347,440,0,66,5,6.0
8,238572,335,375,454,0,66,2,9.0
9,238490,345,431,470,0,82,1,12.0
10,238419,353,467,497,0,71,5,7.0
11,238309,395,512,520,0,110,3,11.0
12,238204,434,546,552,0,105,5,18.0
13,238110,462,582,582,0,94,5,13.0
14,238000,490,619,627,0,110,2,27.0
15,237857,562,636,681,0,143,4,23.0
16,237815,494,698,728,1,42,3,33.0
17,237754,450,761,770,1,61,2,23.0
18,237695,415,784,841,1,59,5,35.0
19,237647,353,834,901,1,48,1,26.0
20,237594,263,910,968,1,53,4,23.0
21,237539,276,888,1032,1,55,4,15.0
22,237474,280,882,1099,1,65,1,1.0
23,237448,247,854,1186,1,26,3,0.0
24,237430,217,831,1257,1,18,12,0.0
25,237404,190,771,1370,1,26,6,0.0
26,237373,166,723,1473,1,31,6,0.0
27,237340,134,706,1555,1,33,2,0.0
28,237321,127,627,1660,1,19,1,0.0
29,237291,139,506,1799,1,30,5,0.0
30,237265,139,491,1840,1,26,4,0.0
31,237235,138,460,1902,1,30,4,0.0
32,237195,145,434,1961,1,40,1,0.0
33,237172,149,406,2008,1,23,7,0.0
34,237143,148,385,2059,1,29,1,0.0
35,237114,151,352,2118,1,29,1,0.0
36,237090,145,320,2180,1,24,3,0.0
37,237062,133,330,2210,1,28,3,0.0
38,237030,142,331,2232,1,32,0,0.0
39,236987,156,335,2257,1,43,0,0.0
40,236950,164,332,2289,1,37,1,0.0
41,236926,164,320,2325,1,24,2,0.0
42,236890,172,327,2346,1,36,0,0.0
43,236862,168,325,2380,1,28,6,0.0
44,236839,148,343,2405,1,23,4,0.0
45,236803,147,348,2437,1,36,1,0.0
46,236761,165,333,2476,1,42,2,0.0
47,236729,161,349,2496,1,32,1,0.0
48,236686,176,347,2526,1,43,3,0.0
49,236643,196,332,2564,1,43,3,0.0
50,236599,204,340,2592,1,44,3,0.0
51,236565,196,350,2623,2,34,4,0.0
52,236527,202,350,2655,2,38,2,0.0
53,236488,198,352,2696,2,39,1,0.0
54,236440,203,357,2734,2,48,2,0.0
55,236397,202,374,2761,2,43,3,0.0
56,236361,204,369,2800,2,36,3,0.0
57,236327,200,379,2828,2,34,3,0.0
58,236293,195,392,2854,2,34,1,0.0
59,236252,188,405,2889,2,41,2,0.0
60,236209,188,407,2930,2,43,2,0.0
61,236169,192,409,2964,2,40,2,0.0
62,236129,198,400,3007,2,40,0,0.0
63,236083,210,393,3048,2,46,3,0.0
64,236033,219,392,3090,2,50,1,0.0
65,235987,222,400,3125,2,46,4,0.0
66,235939,230,402,3163,2,48,2,0.0
67,235894,235,404,3201,2,45,1,0.0
68,235846,237,402,3249,2,48,4,0.0
69,235792,241,407,3294,2,54,2,0.0
70,235731,256,417,3330,2,61,3,0.0
71,235686,253,434,3361,2,45,4,0.0
72,235647,247,445,3394,3,39,4,0.0
73,235591,255,452,3434,4,56,1,0.0
74,235545,247,464,3476,4,46,1,0.0
75,235490,241,487,3514,4,55,1,0.0
76,235439,247,490,3556,4,51,4,0.0
77,235392,255,482,3603,4,47,0,0.0
78,235347,244,488,3653,4,45,4,0.0
79,235298,247,491,3696,4,49,4,0.0
80,235247,243,496,3746,4,51,4,0.0
81,235195,244,502,3791,4,52,3,0.0
82,235151,241,503,3837,4,44,0,0.0
83,235092,255,497,3888,4,59,1,0.0
