#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,291744,425,0,0,0,0,0,0.0
-28,291744,425,0,0,0,0,0,0.0
-27,291744,425,0,0,0,0,0,0.0
-26,291744,425,0,0,0,0,0,0.0
-25,291744,425,0,0,0,0,0,0.0
-24,291744,425,0,0,0,0,0,0.0
-23,291744,425,0,0,0,0,0,0.0
-22,291744,425,0,0,0,0,0,0.0
-21,291744,425,0,0,0,0,0,0.0
-20,291744,425,0,0,0,0,0,0.0
-19,291744,425,0,0,0,0,0,0.0
-18,291744,425,0,0,0,0,0,0.0
-17,291744,425,0,0,0,0,0,0.0
-16,291744,374,51,0,0,0,0,0.0
-15,291740,378,51,0,0,4,0,0.0
-14,291730,371,68,0,0,10,0,0.0
-13,291711,373,85,0,0,19,0,0.0
-12,291682,385,102,0,0,29,0,0.0
-11,291651,399,119,0,0,31,0,0.0
-10,291601,394,174,0,0,50,3,0.0
-9,291534,366,269,0,0,67,0,0.0
-8,291452,361,356,0,0,82,1,0.0
-7,291331,419,371,48,0,121,0,0.0
-6,291164,487,470,48,0,167,1,0.0
-5,290910,691,504,64,0,254,0,0.0
-4,290565,969,554,81,0,345,2,0.0
-3,290140,1312,620,97,0,425,3,0.0
-2,289585,1746,724,114,0,555,5,0.0
-1,288854,2310,837,168,0,731,4,0.0
0,287953,2957,999,260,0,901,3,40.0
1,286737,3828,1262,342,0,1216,5,7.0
2,285155,4985,1628,401,0,1582,4,10.0
3,283166,6419,2086,498,0,1989,5,4.0
4,280636,8218,2772,543,0,2530,10,3.0
5,277526,10427,3610,606,0,3110,7,5.0
6,273641,13096,4749,683,0,3885,9,6.0
7,269667,15488,6219,795,0,3974,19,6.0
8,266383,16783,8048,955,0,3284,18,9.0
9,263646,16990,10332,1201,0,2737,22,12.0
10,261313,16213,13116,1527,0,2333,32,7.0
11,259208,14433,16594,1934,0,2105,42,11.0
12,257287,12380,20034,2468,0,1921,47,18.0
13,255436,10947,22619,3167,0,1851,102,13.0
14,253642,10004,24496,4027,0,1794,112,27.0
15,251711,9602,25658,5198,0,1931,134,23.0
16,250895,8313,26280,6681,0,816,157,33.0
17,250038,7249,26323,8559,0,857,196,23.0
18,249235,6201,25773,10960,0,803,202,35.0
19,248401,5241,24613,13914,0,834,193,26.0
20,247431,4280,22853,17605,0,970,132,23.0
21,246391,4504,19888,21386,0,1040,131,15.0
22,245325,4713,17639,24492,0,1066,121,1.0
23,244757,4478,15825,27109,0,568,106,0.0
24,244167,4234,14442,29326,0,590,114,0.0
25,243534,3897,13410,31328,0,633,121,0.0
26,242871,3520,12609,33167,2,663,109,0.0
27,242193,3132,11914,34928,2,678,57,0.0
28,241508,3249,10778,36632,2,685,53,0.0
29,240688,3479,9522,38478,2,820,51,0.0
30,239879,3655,9375,39257,3,809,56,0.0
31,239074,3797,9209,40085,4,805,56,0.0
32,238254,3939,9108,40863,5,820,70,0.0
33,237328,4180,8986,41668,7,926,49,0.0
34,236467,4221,8857,42613,11,861,38,0.0
35,235509,4370,8652,43626,12,958,38,0.0
36,234658,4416,8394,44687,14,851,37,0.0
37,233727,4527,8628,45267,20,931,38,0.0
38,232773,4555,8903,45916,22,954,54,0.0
39,231761,4706,9058,46620,24,1012,39,0.0
40,230739,4770,9261,47372,27,1022,42,0.0
41,229712,4946,9344,48139,28,1027,48,0.0
42,228629,5098,9443,48969,30,1083,52,0.0
43,227548,5225,9433,49931,32,1081,38,0.0
44,226408,5353,9516,50859,33,1140,73,0.0
45,225331,5408,9669,51728,33,1077,48,0.0
46,224192,5520,9797,52627,33,1139,45,0.0
47,223024,5605,9914,53589,37,1168,44,0.0
48,221808,5740,10084,54500,37,1216,54,0.0
49,220566,5842,10202,55521,38,1242,50,0.0
50,219387,5944,10363,56434,41,1179,62,0.0
51,218107,6085,10524,57412,41,1280,68,0.0
52,216778,6246,10733,58371,41,1329,66,0.0
53,215562,6246,10948,59372,41,1216,53,0.0
54,214309,6257,11194,60368,41,1253,62,0.0
55,212973,6414,11359,61382,41,1336,42,0.0
56,211687,6420,11556,62465,41,1286,68,0.0
57,210365,6413,11800,63550,41,1322,68,0.0
58,209068,6494,11875,64691,41,1297,64,0.0
59,207647,6662,12081,65738,41,1421,75,0.0
60,206313,6660,12310,66844,42,1334,78,0.0
61,204967,6720,12448,67991,43,1346,74,0.0
62,203575,6790,12586,69175,43,1392,73,0.0
63,202211,6857,12664,70394,43,1364,79,0.0
64,200824,6823,12941,71538,43,1387,84,0.0
65,199348,6965,13026,72787,43,1476,71,0.0
66,197894,7073,13069,74088,45,1454,78,0.0
67,196520,7055,13277,75272,45,1374,68,0.0
68,195072,7139,13416,76496,46,1448,58,0.0
69,193622,7202,13470,77828,47,1450,75,0.0
70,192154,7194,13676,79098,47,1468,97,0.0
71,190677,7217,13816,80408,51,1477,64,0.0
72,189219,7301,13920,81677,52,1458,74,0.0
73,187778,7294,13987,83057,53,1441,80,0.0
74,186258,7364,14115,84378,54,1520,69,0.0
75,184809,7345,14248,85713,54,1449,97,0.0
76,183340,7337,14344,87094,54,1469,78,0.0
77,181843,7376,14440,88455,55,1497,89,0.0
78,180304,7474,14543,89793,55,1539,69,0.0
79,178731,7527,14598,91255,58,1573,67,0.0
80,177157,7652,14636,92666,58,1574,97,0.0
81,175596,7744,14734,94037,58,1561,88,0.0
82,174019,7824,14777,95491,58,1577,82,0.0
83,172490,7814,14899,96908,58,1529,90,0.0
84,170939,7792,15018,98362,58,1551,89,0.0
85,169394,7763,15119,99832,61,1545,87,0.0
86,167913,7683,15235,101276,62,1481,70,0.0
87,166278,7741,15383,102705,62,1635,88,0.0
88,164672,7818,15400,104214,65,1606,75,0.0
89,163153,7786,15488,105676,66,1519,91,0.0
90,161606,7788,15576,107133,66,1547,75,0.0
91,160039,7874,15554,108635,67,1567,99,0.0
92,158515,7763,15675,110148,68,1524,69,0.0
93,156923,7749,15721,111708,68,1592,97,0.0
94,155452,7701,15685,113262,69,1471,86,0.0
95,153942,7664,15646,114846,71,1510,92,0.0
96,152373,7666,15670,116388,72,1569,97,0.0
97,150798,7717,15677,117905,72,1575,79,0.0
98,149221,7702,15725,119446,75,1577,82,0.0
99,147666,7786,15678,120961,78,1555,88,0.0
100,146139,7803,15691,122458,78,1527,101,0.0
101,144671,7702,15631,124087,78,1468,91,0.0
102,143153,7645,15600,125692,79,1518,80,0.0
103,141585,7636,15692,127175,81,1568,75,0.0
104,140060,7606,15717,128704,82,1525,81,0.0
105,138508,7631,15659,130288,83,1552,102,0.0
106,137025,7646,15589,131823,86,1483,86,0.0
107,135595,7558,15516,133414,86,1430,102,0.0
