#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,292475,425,0,0,0,0,0,0.0
-28,292475,425,0,0,0,0,0,0.0
-27,292475,425,0,0,0,0,0,0.0
-26,292475,425,0,0,0,0,0,0.0
-25,292475,425,0,0,0,0,0,0.0
-24,292475,425,0,0,0,0,0,0.0
-23,292475,425,0,0,0,0,0,0.0
-22,292475,425,0,0,0,0,0,0.0
-21,292475,425,0,0,0,0,0,0.0
-20,292475,425,0,0,0,0,0,0.0
-19,292475,425,0,0,0,0,0,0.0
-18,292475,425,0,0,0,0,0,0.0
-17,292475,425,0,0,0,0,0,0.0
-16,292475,374,51,0,0,0,0,0.0
-15,292471,378,51,0,0,4,0,0.0
-14,292461,371,68,0,0,10,0,0.0
-13,292454,361,85,0,0,7,0,0.0
-12,292438,360,102,0,0,16,0,0.0
-11,292412,369,119,0,0,26,0,0.0
-10,292373,353,174,0,0,39,2,0.0
-9,292308,323,269,0,0,65,0,0.0
-8,292228,328,344,0,0,80,2,0.0
-7,292112,394,345,49,0,116,0,0.0
-6,291964,448,439,49,0,148,1,0.0
-5,291771,602,463,64,0,193,0,0.0
-4,291501,807,511,81,0,270,3,0.0
-3,291145,1083,575,97,0,356,6,0.0
-2,290661,1451,674,114,0,484,1,0.0
-1,290074,1890,769,167,0,587,4,0.0
0,289353,2418,873,256,0,721,7,40.0
1,288323,3178,1069,330,0,1030,3,7.0
2,286985,4160,1379,376,0,1338,4,10.0
3,285189,5472,1776,463,0,1796,4,4.0
4,282948,7126,2327,499,0,2241,4,3.0
5,280152,9201,2986,561,0,2796,11,5.0
6,276829,11494,3938,639,0,3323,10,6.0
7,272784,14201,5164,751,0,4045,10,6.0
8,268491,16698,6823,888,0,4293,18,9.0
9,264971,17977,8881,1071,0,3520,19,12.0
10,261948,18204,11417,1331,0,3023,29,7.0
11,259195,17634,14402,1669,0,2753,33,11.0
12,256621,16163,17982,2134,0,2574,61,18.0
13,254149,14342,21717,2692,0,2472,56,13.0
14,251784,13187,24546,3383,0,2365,95,27.0
15,249285,12663,26598,4354,0,2499,121,23.0
16,248036,11159,28068,5637,0,1249,139,33.0
17,246852,9769,28937,7342,0,1184,182,23.0
18,245603,8546,29288,9463,0,1249,197,35.0
19,244282,7502,28992,12124,0,1321,219,26.0
20,242920,6365,28346,15269,0,1362,188,23.0
21,241375,6661,25739,19125,0,1545,192,15.0
22,239781,7071,22834,23214,0,1594,132,1.0
23,239008,6595,20744,26553,0,773,160,0.0
24,238135,6147,19218,29400,0,873,149,0.0
25,237229,5691,17943,32037,0,906,137,0.0
26,236240,5135,17042,34483,0,989,124,0.0
27,235182,4599,16277,36842,0,1058,80,0.0
28,234155,4853,14795,39097,0,1027,74,0.0
29,233026,5109,13270,41495,0,1129,81,0.0
30,231837,5392,12978,42692,1,1189,66,0.0
31,230690,5550,12824,43828,8,1147,74,0.0
32,229483,5699,12689,45021,8,1207,91,0.0
33,228237,5918,12437,46300,8,1246,74,0.0
34,227019,6007,12244,47619,11,1218,52,0.0
35,225733,6104,11938,49111,14,1286,46,0.0
36,224366,6324,11525,50668,17,1367,47,0.0
37,223049,6434,11947,51451,19,1317,58,0.0
38,221659,6578,12319,52322,22,1390,50,0.0
39,220278,6741,12585,53273,23,1381,48,0.0
40,218910,6823,12823,54320,24,1368,51,0.0
41,217562,6804,13042,55465,27,1348,64,0.0
42,216095,6954,13221,56602,28,1467,58,0.0
43,214635,7024,13364,57848,29,1460,69,0.0
44,213126,7152,13420,59170,32,1509,60,0.0
45,211689,7221,13528,60426,36,1437,63,0.0
46,210211,7351,13564,61738,36,1478,63,0.0
47,208673,7422,13725,63043,37,1538,69,0.0
48,207171,7464,13886,64342,37,1502,69,0.0
49,205738,7388,14028,65708,38,1433,90,0.0
50,204155,7534,14038,67135,38,1583,75,0.0
51,202651,7560,14152,68498,39,1504,76,0.0
52,201170,7503,14314,69872,41,1481,74,0.0
53,199660,7511,14433,71254,42,1510,86,0.0
54,198158,7580,14491,72627,44,1502,72,0.0
55,196558,7597,14731,73970,44,1600,85,0.0
56,194987,7664,14780,75425,44,1571,76,0.0
57,193384,7786,14788,76898,44,1603,92,0.0
58,191789,7871,14802,78392,46,1595,84,0.0
59,190189,7969,14890,79806,46,1600,88,0.0
60,188583,7975,15054,81242,46,1606,96,0.0
61,186961,8026,15118,82748,47,1622,111,0.0
62,185385,7999,15241,84227,48,1576,81,0.0
63,183772,8017,15443,85618,50,1613,75,0.0
64,182194,7995,15518,87141,52,1578,102,0.0
65,180533,8050,15647,88617,53,1661,74,0.0
66,178930,8031,15796,90089,54,1603,74,0.0
67,177346,8039,15902,91558,55,1584,90,0.0
68,175787,7985,16013,93057,58,1559,94,0.0
69,174163,8031,16007,94641,58,1624,105,0.0
70,172564,7969,16124,96184,59,1599,95,0.0
71,170979,7951,16155,97753,62,1585,91,0.0
72,169405,7941,16178,99313,63,1574,92,0.0
73,167767,8020,16160,100890,63,1638,113,0.0
74,166201,7962,16176,102498,63,1566,110,0.0
75,164631,7933,16175,104097,64,1570,80,0.0
76,163028,7951,16216,105640,65,1603,101,0.0
77,161473,7932,16208,107221,66,1555,90,0.0
78,159478,8289,16271,108795,67,1995,112,0.0
79,157632,8569,16203,110429,67,1846,97,0.0
80,155881,8750,16168,112033,68,1751,96,0.0
81,154317,8711,16222,113580,70,1564,86,0.0
82,152731,8742,16221,115134,72,1586,91,0.0
83,151095,8383,16603,116746,73,1636,83,0.0
84,149452,8180,16851,118342,75,1643,94,0.0
85,147859,8022,17014,119930,75,1593,83,0.0
86,146341,7976,16982,121526,75,1518,85,0.0
87,144820,7911,16936,123158,75,1521,93,0.0
88,143169,7926,17017,124711,77,1651,98,0.0
89,141631,7821,17073,126298,77,1538,87,0.0
90,140000,7859,17080,127882,79,1631,110,0.0
91,138479,7862,17060,129418,81,1521,84,0.0
92,136923,7897,16583,131414,83,1556,91,0.0
93,135439,7730,16407,133241,83,1484,86,0.0
94,133931,7700,16172,135013,84,1508,93,0.0
95,132459,7541,16235,136579,86,1472,78,0.0
96,130951,7528,16168,138166,87,1508,76,0.0
97,129414,7509,16083,139807,87,1537,74,0.0
98,127926,7513,15891,141483,87,1488,75,0.0
99,126451,7480,15776,143105,88,1475,84,0.0
100,124987,7472,15718,144632,91,1464,104,0.0
101,123490,7461,15676,146181,92,1497,88,0.0
102,121999,7415,15550,147842,94,1491,79,0.0
103,120508,7418,15491,149389,94,1491,83,0.0
104,119050,7401,15321,151033,95,1458,76,0.0
105,117645,7342,15251,152566,96,1405,73,0.0
106,116212,7278,15192,154122,96,1433,81,0.0
107,114870,7129,15193,155612,96,1342,77,0.0
108,113457,7051,15166,157129,97,1413,89,0.0
109,112090,6960,15141,158610,99,1367,84,0.0
110,110739,6906,15023,160129,103,1351,85,0.0
