#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,292568,425,0,0,0,0,0,0.0
-28,292568,425,0,0,0,0,0,0.0
-27,292568,425,0,0,0,0,0,0.0
-26,292568,425,0,0,0,0,0,0.0
-25,292568,425,0,0,0,0,0,0.0
-24,292568,425,0,0,0,0,0,0.0
-23,292568,425,0,0,0,0,0,0.0
-22,292568,425,0,0,0,0,0,0.0
-21,292568,425,0,0,0,0,0,0.0
-20,292568,425,0,0,0,0,0,0.0
-19,292568,425,0,0,0,0,0,0.0
-18,292568,425,0,0,0,0,0,0.0
-17,292568,425,0,0,0,0,0,0.0
-16,292568,374,51,0,0,0,0,0.0
-15,292564,378,51,0,0,4,0,0.0
-14,292559,366,68,0,0,5,0,0.0
-13,292550,358,85,0,0,9,0,0.0
-12,292525,366,102,0,0,25,0,0.0
-11,292488,386,119,0,0,37,0,0.0
-10,292437,382,174,0,0,51,2,0.0
-9,292347,382,264,0,0,90,0,0.0
-8,292217,435,341,0,0,130,1,0.0
-7,292072,521,351,49,0,145,1,0.0
-6,291900,588,456,49,0,172,1,0.0
-5,291646,791,491,65,0,254,1,0.0
-4,291299,1048,565,81,0,347,2,0.0
-3,290831,1386,679,97,0,468,3,0.0
-2,290220,1852,808,113,0,611,6,0.0
-1,289437,2463,927,166,0,783,3,0.0
0,288424,3222,1094,253,0,1013,5,40.0
1,287050,4249,1370,324,0,1374,4,7.0
2,285265,5566,1782,380,0,1785,2,10.0
3,282922,7298,2293,480,0,2343,6,4.0
4,279993,9444,3029,527,0,2929,11,3.0
5,276477,11947,3954,615,0,3516,4,5.0
6,272479,14571,5204,739,0,3998,10,6.0
7,268585,16680,6854,874,0,3894,11,6.0
8,265378,17544,9029,1042,0,3207,25,9.0
9,262635,17358,11713,1287,0,2743,28,12.0
10,260304,16173,14892,1624,0,2331,39,7.0
11,258187,14292,18447,2067,0,2117,51,11.0
12,256102,12483,21758,2650,0,2085,66,18.0
13,253983,11395,24220,3395,0,2119,88,13.0
14,251867,10768,26000,4358,0,2116,103,27.0
15,249650,10654,27021,5668,0,2217,157,23.0
16,248605,9582,27440,7366,0,1045,193,33.0
17,247555,8547,27279,9612,0,1050,195,23.0
18,246394,7589,26624,12386,0,1161,210,35.0
19,245200,6667,25414,15712,0,1194,192,26.0
20,243956,5694,23824,19519,0,1244,151,23.0
21,242522,6083,21175,23213,0,1434,132,15.0
22,241105,6450,19202,26236,0,1417,138,1.0
23,240412,5982,17752,28847,0,693,107,0.0
24,239655,5545,16725,31068,0,757,125,0.0
25,238891,5065,15961,33075,1,764,123,0.0
26,238066,4456,15397,35073,1,825,128,0.0
27,237137,3968,14802,37085,1,929,70,0.0
28,236187,4225,13480,39100,1,950,46,0.0
29,235166,4489,12126,41210,2,1021,70,0.0
30,234121,4770,11893,42207,2,1045,64,0.0
31,233075,4991,11695,43230,2,1046,71,0.0
32,231982,5155,11515,44339,2,1093,79,0.0
33,230890,5297,11302,45500,4,1092,84,0.0
34,229758,5408,11110,46712,5,1132,31,0.0
35,228565,5556,10750,48114,8,1193,57,0.0
36,227437,5638,10407,49499,12,1128,41,0.0
37,226163,5819,10773,50225,13,1274,62,0.0
38,224883,6007,11070,51017,16,1280,51,0.0
39,223650,6108,11380,51837,18,1233,59,0.0
40,222318,6247,11664,52743,21,1332,50,0.0
41,220941,6496,11734,53799,23,1377,60,0.0
42,219638,6525,11932,54874,24,1303,49,0.0
43,218227,6656,12047,56038,25,1411,57,0.0
44,216877,6773,12117,57201,25,1350,75,0.0
45,215518,6800,12310,58340,25,1359,62,0.0
46,214112,6829,12530,59497,25,1406,63,0.0
47,212565,7073,12681,60647,27,1547,77,0.0
48,211076,7151,12920,61819,27,1489,60,0.0
49,209635,7242,13022,63067,27,1441,64,0.0
50,208255,7263,13211,64236,28,1380,68,0.0
51,206680,7432,13283,65570,28,1575,80,0.0
52,205231,7334,13545,66853,30,1449,66,0.0
53,203671,7405,13826,68061,30,1560,80,0.0
54,202141,7494,13950,69377,31,1530,93,0.0
55,200558,7697,13956,70748,34,1583,101,0.0
56,199045,7635,14234,72045,34,1513,73,0.0
57,197472,7759,14287,73440,35,1573,73,0.0
58,195867,7804,14514,74772,36,1605,87,0.0
59,194232,7909,14730,76085,37,1635,93,0.0
60,192672,7886,14920,77478,37,1560,65,0.0
61,191098,7947,14927,78983,38,1574,78,0.0
62,189516,7956,15045,80437,39,1582,98,0.0
63,187843,8024,15222,81864,40,1673,83,0.0
64,186229,8003,15499,83222,40,1614,91,0.0
65,184630,8042,15527,84754,40,1599,85,0.0
66,182924,8174,15676,86178,41,1706,95,0.0
67,181253,8263,15736,87700,41,1671,80,0.0
68,179610,8233,15903,89204,43,1643,78,0.0
69,178023,8206,15953,90766,45,1587,90,0.0
70,176342,8288,16057,92260,46,1681,101,0.0
71,174632,8292,16196,93825,48,1710,93,0.0
72,172915,8338,16270,95418,52,1717,91,0.0
73,171310,8300,16317,97012,54,1605,79,0.0
74,169713,8310,16377,98539,54,1597,97,0.0
75,168093,8249,16503,100094,54,1620,85,0.0
76,166482,8150,16628,101678,55,1611,86,0.0
77,164800,8115,16700,103321,57,1682,98,0.0
78,160804,10506,16702,104924,57,3996,79,0.0
79,157067,12646,16695,106525,60,3737,96,0.0
80,153458,14635,16602,108237,61,3609,91,0.0
81,150049,16433,16554,109896,61,3409,81,0.0
82,146798,18002,16617,111515,61,3251,91,0.0
83,143711,17093,19026,113101,62,3087,95,0.0
84,140694,16373,21068,114795,63,3017,83,0.0
85,137796,15662,22982,116487,66,2898,93,0.0
86,134929,15120,24687,118189,68,2867,96,0.0
87,132145,14653,26314,119810,71,2784,81,0.0
88,129411,14300,27816,121393,73,2734,98,0.0
89,126736,13958,29219,123006,74,2675,236,0.0
90,124133,13663,30504,124619,74,2603,199,0.0
91,121593,13336,31686,126303,75,2540,186,0.0
92,119013,13132,30632,130140,76,2580,171,0.0
93,116431,12980,29755,133751,76,2582,176,0.0
94,113973,12763,28908,137269,80,2458,166,0.0
95,111559,12574,28169,140610,81,2414,182,0.0
96,109242,12351,27544,143775,81,2317,191,0.0
97,106896,12117,27104,146793,83,2346,160,0.0
98,104703,11728,26760,149718,84,2193,158,0.0
