#Day, Gamawaa, Zaki, Shira, Jamaare, Kirfi, Misau, Dambam, Itas-Gadau, Darazo, Toro, Ningi,Ganjuwa,Zakara
0,3,1,3,2,3,3,2,1,2,2,3,2,1
1,3,1,3,2,3,3,2,1,2,2,3,2,1
2,3,2,3,2,3,3,2,1,2,1,3,2,2
3,2,2,3,2,3,3,2,1,1,1,3,2,2
4,2,3,3,2,3,3,2,2,1,1,2,2,3
5,2,3,3,2,3,3,2,2,1,1,2,2,3
6,2,2,2,2,3,3,2,2,1,1,2,2,3
7,1,2,2,1,3,3,2,2,1,0,2,1,3
8,1,1,2,1,3,3,1,3,1,0,1,1,3
9,1,1,2,1,3,3,1,3,1,0,1,1,3
10,1,1,2,1,3,3,1,3,1,0,1,1,2
11,1,1,2,1,2,3,1,3,1,0,1,1,2
12,1,1,2,1,2,3,1,3,0,0,1,1,2
13,1,0,1,1,2,3,1,3,0,0,1,1,2
14,1,0,1,1,2,3,1,2,0,0,1,1,2
15,1,0,1,1,1,3,1,2,0,0,1,1,2
16,0,0,1,1,1,3,1,2,0,0,1,1,1
17,0,0,1,1,1,3,1,1,0,0,1,1,1
18,0,0,1,1,1,2,1,1,0,0,0,1,1
19,0,0,1,1,1,2,1,1,0,0,0,1,1
20,0,0,1,1,1,2,1,1,0,0,0,1,1
21,0,0,1,1,1,2,0,1,0,0,0,1,1
22,0,0,1,1,1,2,0,1,0,0,0,1,1
23,0,0,1,1,0,2,0,1,0,0,0,1,1
24,0,0,1,1,0,2,0,1,0,0,0,1,0
25,0,0,1,1,0,2,0,1,0,0,0,1,0
26,0,0,1,1,0,2,0,1,0,0,0,1,0
27,0,0,0,1,0,1,0,1,0,0,0,0,0
28,0,0,0,1,0,1,0,1,0,0,0,0,0
29,0,0,0,1,0,1,0,1,0,0,0,0,0
30,0,0,0,1,0,1,0,1,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0
