#time,susceptible,exposed,infectious,recovered,dead,num infections today,num hospitalisations today,num hospitalisations today (data)
-29,317055,448,0,0,0,0,0,0.0
-28,317055,448,0,0,0,0,0,0.0
-27,317055,448,0,0,0,0,0,0.0
-26,317055,448,0,0,0,0,0,0.0
-25,317055,448,0,0,0,0,0,0.0
-24,317055,448,0,0,0,0,0,0.0
-23,317055,448,0,0,0,0,0,0.0
-22,317055,448,0,0,0,0,0,0.0
-21,317055,448,0,0,0,0,0,0.0
-20,317055,448,0,0,0,0,0,0.0
-19,317055,448,0,0,0,0,0,0.0
-18,317055,448,0,0,0,0,0,0.0
-17,317055,448,0,0,0,0,0,0.0
-16,317055,391,57,0,0,0,0,0.0
-15,317054,392,57,0,0,1,0,0.0
-14,317052,376,75,0,0,2,0,0.0
-13,317051,360,92,0,0,1,0,0.0
-12,317046,347,110,0,0,5,0,0.0
-11,317041,335,127,0,0,5,0,0.0
-10,317033,290,180,0,0,8,2,0.0
-9,317029,197,277,0,0,4,0,0.0
-8,317017,139,347,0,0,12,3,0.0
-7,317008,108,332,55,0,9,0,0.0
-6,316990,51,407,55,0,18,1,0.0
-5,316972,61,400,70,0,18,2,0.0
-4,316946,83,387,87,0,26,5,0.0
-3,316925,92,382,104,0,21,2,0.0
-2,316897,111,376,119,0,28,6,0.0
-1,316862,128,345,168,0,35,6,0.0
0,316827,145,268,263,0,35,6,40.0
1,316784,162,230,327,0,43,0,7.0
2,316736,189,217,361,0,48,1,10.0
3,316695,202,176,430,0,41,0,4.0
4,316646,216,203,438,0,49,0,3.0
5,316594,233,235,441,0,52,0,5.0
6,316546,238,266,453,0,48,2,6.0
7,316487,249,305,462,0,59,0,6.0
8,316417,278,328,480,0,70,0,9.0
9,316337,309,360,497,0,80,1,12.0
10,316248,346,385,523,1,89,1,7.0
11,316165,381,412,544,1,83,1,11.0
12,316078,409,444,571,1,87,0,18.0
13,315990,427,480,605,1,88,1,13.0
14,315909,428,526,639,1,81,4,27.0
15,315800,448,571,683,1,109,2,23.0
16,315682,483,607,730,1,118,2,33.0
17,315556,522,654,769,2,126,2,23.0
18,315422,568,695,816,2,134,4,35.0
19,315289,620,725,867,2,133,3,26.0
20,315116,684,786,915,2,173,3,23.0
21,314952,730,844,975,2,164,4,15.0
22,314775,781,901,1044,2,177,3,1.0
23,314578,844,952,1127,2,197,2,0.0
24,314397,892,995,1217,2,181,5,0.0
25,314153,963,1083,1302,2,244,4,0.0
26,313915,1037,1162,1387,2,238,4,0.0
27,313655,1120,1254,1472,2,260,6,0.0
