day,total_agents
0,806
1,722
2,711
3,710
4,705
5,774
6,776
7,775
8,775
9,780
10,783
11,784
12,785
13,786
14,784
15,781
16,782
17,778
18,779
19,774
20,778
21,774
22,772
23,772
24,769
25,769
26,772
27,768
28,774
29,773
30,770
31,767
32,770
33,768
34,766
35,764
36,760
37,761
38,763
39,766
40,766
41,765
42,766
43,765
44,763
45,762
46,764
47,763
48,765
49,764
50,764
51,762
52,766
53,765
54,765
55,760
56,762
57,763
58,762
59,761
60,762
61,760
62,757
63,757
64,757
65,758
66,757
67,760
68,758
69,758
70,760
71,758
72,760
73,759
74,760
75,761
76,761
77,760
78,761
79,762
80,771
81,772
82,775
83,778
84,774
85,776
86,775
87,774
88,776
89,776
90,777
91,793
92,783
93,789
94,789
95,789
96,789
97,809
98,815
99,829
100,812
101,819
102,823
103,826
104,829
105,830
106,832
107,836
108,837
109,837
110,839
111,841
112,844
113,844
114,844
115,844
116,844
117,844
118,844
119,844
120,843
121,843
122,846
123,847
124,852
125,855
126,855
127,861
128,864
129,867
130,869
131,872
132,874
133,872
134,874
135,877
136,878
137,877
138,881
139,885
140,891
141,895
142,902
143,907
144,911
145,915
146,911
147,921
148,922
149,926
150,929
151,933
152,935
153,971
154,943
155,947
156,950
157,950
158,952
159,951
160,951
161,951
162,951
163,952
164,971
165,977
166,985
167,976
168,985
169,988
170,991
171,992
172,997
173,998
174,998
175,999
176,999
177,998
178,998
179,998
180,1003
181,1002
182,1002
183,1003
184,1005
185,1006
186,1007
187,1007
188,1008
189,1008
190,1008
191,1009
192,1011
193,1012
194,1012
195,1011
196,1012
197,1012
198,1012
199,1012
200,1012
201,1012
202,1012
203,1013
204,1013
205,1013
206,1021
207,1023
208,1027
209,1033
210,1037
211,1045
212,1051
213,1053
214,1050
215,1053
216,1055
217,1057
218,1060
219,1061
220,1062
221,1065
222,1065
223,1064
224,1066
225,1065
226,1067
227,1065
228,1067
229,1069
230,1070
231,1070
232,1072
233,1073
234,1074
235,1075
236,1077
237,1077
238,1080
239,1083
240,1085
241,1084
242,1087
243,1089
244,1090
245,1088
246,1090
247,1090
248,1090
249,1090
250,1091
251,1090
252,1091
253,1091
254,1090
255,1092
256,1092
257,1092
258,1090
259,1092
260,1092
261,1092
262,1093
263,1091
264,1092
265,1094
266,1094
267,1096
268,1095
269,1096
270,1094
271,1097
272,1175
273,1115
274,1122
275,1129
276,1130
277,1136
278,1135
279,1136
280,1139
281,1137
282,1138
283,1138
284,1139
285,1138
286,1138
287,1138
288,1138
289,1139
290,1140
291,1142
292,1141
293,1141
294,1141
295,1140
296,1141
297,1142
298,1141
299,1141
300,1141
301,1141
302,1141
303,1156
304,1141
305,1143
306,1147
307,1146
308,1145
309,1145
310,1145
311,1144
312,1147
313,1150
314,1153
315,1154
316,1157
317,1157
318,1163
319,1166
320,1168
321,1166
322,1170
323,1173
324,1176
325,1179
326,1184
327,1185
328,1187
329,1190
330,1192
331,1197
332,1199
333,1199
334,1197
335,1204
336,1202
337,1203
338,1207
339,1210
340,1207
341,1207
342,1208
343,1213
344,1212
345,1212
346,1225
347,1227
348,1230
349,1229
350,1231
351,1231
352,1230
353,1233
354,1234
355,1234
356,1234
357,1235
358,1239
359,1245
360,1246
361,1250
362,1251
363,1255
364,1261
365,1257
366,1259
367,1258
368,1263
369,1263
370,1263
371,1262
372,1260
373,1262
374,1263
375,1266
376,1267
377,1264
378,1269
379,1272
380,1271
381,1271
382,1274
383,1276
384,1274
385,1273
386,1275
387,1274
388,1275
389,1276
390,1280
391,1283
392,1284
393,1284
394,1289
395,1285
396,1289
397,1294
398,1294
399,1295
400,1294
401,1296
402,1297
403,1297
404,1296
405,1295
406,1297
407,1299
408,1298
409,1305
410,1313
411,1317
412,1332
413,1342
414,1348
415,1343
416,1350
417,1357
418,1356
419,1360
420,1363
421,1366
422,1366
423,1365
424,1364
425,1365
