day,total_agents
0,0
1,0
2,15
3,6
4,13
5,9
6,13
7,6
8,12
9,9
10,8
11,8
12,10
13,11
14,10
15,8
16,5
17,8
18,7
19,7
20,7
21,9
22,5
23,8
24,6
25,7
26,6
27,6
28,5
29,5
30,5
31,4
32,4
33,5
34,5
35,3
36,4
37,3
38,4
39,4
40,4
41,3
42,4
43,4
44,2
45,2
46,2
47,2
48,2
49,1
50,2
51,2
52,1
53,2
54,1
55,3
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,2
64,1
65,1
66,1
67,1
68,1
69,2
70,2
71,3
72,2
73,3
74,1
75,2
76,1
77,1
78,1
79,1
80,1
81,5
82,7
83,6
84,7
85,4
86,4
87,2
88,2
89,1
90,1
91,1
92,6
93,1
94,1
95,1
96,1
97,1
98,10
99,13
100,16
101,8
102,8
103,8
104,8
105,6
106,6
107,6
108,5
109,5
110,2
111,3
112,2
113,2
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,2
125,2
126,3
127,3
128,4
129,2
130,2
131,1
132,2
133,4
134,2
135,2
136,3
137,1
138,1
139,2
140,4
141,4
142,7
143,4
144,5
145,7
146,6
147,3
148,3
149,3
150,6
151,5
152,4
153,6
154,21
155,9
156,5
157,3
158,2
159,2
160,1
161,1
162,1
163,1
164,1
165,7
166,15
167,13
168,9
169,10
170,8
171,7
172,6
173,5
174,4
175,4
176,5
177,3
178,1
179,1
180,0
181,1
182,0
183,0
184,1
185,0
186,1
187,2
188,2
189,2
190,1
191,2
192,3
193,2
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,2
208,5
209,5
210,5
211,6
212,5
213,6
214,8
215,5
216,6
217,6
218,3
219,2
220,3
221,3
222,5
223,7
224,6
225,6
226,7
227,6
228,7
229,8
230,8
231,9
232,9
233,10
234,10
235,8
236,7
237,8
238,7
239,7
240,7
241,8
242,8
243,9
244,9
245,10
246,8
247,8
248,9
249,8
250,8
251,8
252,7
253,8
254,7
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,7
265,8
266,8
267,7
268,9
269,9
270,8
271,9
272,9
273,27
274,23
275,26
276,25
277,22
278,22
279,22
280,20
281,19
282,19
283,18
284,18
285,17
286,17
287,17
288,16
289,15
290,15
291,15
292,14
293,14
294,14
295,14
296,14
297,14
298,14
299,14
300,14
301,14
302,14
303,14
304,18
305,19
306,17
307,17
308,17
309,17
310,17
311,17
312,17
313,16
314,16
315,17
316,17
317,20
318,20
319,20
320,20
321,22
322,22
323,22
324,22
325,24
326,23
327,25
328,25
329,26
330,25
331,25
332,26
333,25
334,24
335,23
336,23
337,23
338,23
339,23
340,23
341,23
342,22
343,22
344,22
345,22
346,21
347,24
348,26
349,30
350,31
351,32
352,32
353,31
354,30
355,30
356,30
357,30
358,29
359,30
360,29
361,31
362,32
363,34
364,34
365,38
366,36
367,36
368,37
369,35
370,35
371,34
372,33
373,33
374,33
375,33
376,33
377,33
378,32
379,32
380,32
381,31
382,31
383,31
384,31
385,31
386,31
387,31
388,31
389,31
390,30
391,31
392,30
393,30
394,33
395,32
396,32
397,32
398,32
399,32
400,32
401,32
402,32
403,32
404,32
405,31
406,31
407,31
408,31
409,31
410,31
411,33
412,35
413,36
414,39
415,39
416,41
417,42
418,41
419,41
420,41
421,41
422,41
423,40
424,39
425,39
