Day,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Meri sim,Meri data,Meri error,Kakuma sim,Kakuma data,Kakuma error,Alwaral sim,Alwaral data,Alwaral error,East_Darfur sim,East_Darfur data,East_Darfur error,Khartoum sim,Khartoum data,Khartoum error,South_Darfur sim,South_Darfur data,South_Darfur error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,4,0.0,0.0,0,0.0,0.0,15,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,53.0,1.0,0,0.0,0.0,0,0.0,0.0,143,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.268,53,729,806,163,0
1,5,3,0.6667,0,0,0.0,20,0,0.0,0,64,1.0,0,1,1.0,0,1,1.0,0,5,1.0,0,53.0,1.0,0,15,1.0,0,1,1.0,164,25,5.56,3,264,0.9886,1,8,0.875,0.706,440,716,806,193,0
2,7,6,0.1667,0,0,0.0,25,0,0.0,2,128,0.9844,0,2,1.0,0,2,1.0,0,11,1.0,0,53.0,1.0,0,30,1.0,0,3,1.0,190,51,2.7255,4,264,0.9848,3,16,0.8125,0.824,566,719,807,231,0
3,8,10,0.2,0,0,0.0,33,1,32.0,6,192,0.9688,0,3,1.0,0,3,1.0,0,17,1.0,0,53.0,1.0,0,45,1.0,0,5,1.0,213,76,1.8026,7,265,0.9736,8,24,0.6667,0.938,694,711,807,275,0
4,9,13,0.3077,0,1,1.0,36,1,35.0,9,257,0.965,0,4,1.0,0,5,1.0,0,23,1.0,0,53.0,1.0,0,61,1.0,0,6,1.0,225,102,1.2059,9,265,0.966,12,32,0.625,1.0397,823,783,807,300,0
5,13,17,0.2353,0,1,1.0,41,2,19.5,12,321,0.9626,0,5,1.0,0,6,1.0,0,29,1.0,0,53.0,1.0,0,76,1.0,0,8,1.0,238,127,0.874,9,266,0.9662,13,41,0.6829,1.1475,952,780,807,326,0
6,18,20,0.1,0,1,1.0,44,2,21.0,12,385,0.9688,0,6,1.0,0,7,1.0,0,35,1.0,0,53.0,1.0,0,91,1.0,0,10,1.0,244,153,0.5948,10,266,0.9624,14,49,0.7143,1.2416,1078,779,807,342,0
7,22,24,0.0833,1,1,0.0,49,3,15.3333,17,449,0.9621,0,7,1.0,0,9,1.0,0,41,1.0,0,53.0,1.0,0,107,1.0,0,12,1.0,260,178,0.4607,14,267,0.9476,16,57,0.7193,1.3445,1208,777,807,379,0
8,26,27,0.037,1,2,0.5,52,3,16.3333,21,514,0.9591,0,8,1.0,0,10,1.0,0,47,1.0,0,53.0,1.0,0,122,1.0,0,13,1.0,267,204,0.3088,16,267,0.9401,16,65,0.7538,1.4374,1335,771,807,399,0
9,29,30,0.0333,1,2,0.5,55,4,12.75,25,578,0.9567,0,9,1.0,0,11,1.0,0,53,1.0,0,53.0,1.0,0,137,1.0,0,15,1.0,272,229,0.1878,17,268,0.9366,16,74,0.7838,1.5316,1463,770,807,415,0
