Day,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,1,11,0.9091,0,0,0.0,0,34,1.0,0,2,1.0,0,0,0.0,0,0,0.0,1,4,0.75,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,1.0,1.14,59,32,50,2,0
2,4,23,0.8261,0,0,0.0,0,69,1.0,0,5,1.0,0,0,0.0,0,0,0.0,4,9,0.5556,0,0,0.0,0,3,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,15,1.0,1.16,124,53,100,8,0
3,4,34,0.8824,0,0,0.0,1,103,0.9903,0,8,1.0,0,0,0.0,0,0,0.0,8,14,0.4286,0,0,0.0,3,4,0.25,0,0,0.0,0,0,0.0,0,0,0.0,0,23,1.0,1.453,186,67,117,16,0
4,5,46,0.8913,0,0,0.0,2,138,0.9855,0,11,1.0,0,0,0.0,0,0,0.0,10,19,0.4737,0,0,0.0,3,6,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,31,1.0,1.7239,251,85,134,20,0
5,9,58,0.8448,0,1,1.0,3,172,0.9826,1,14,0.9286,0,0,0.0,0,0,0.0,12,24,0.5,0,0,0.0,4,8,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,39,1.0,1.9007,316,96,151,29,0
6,17,69,0.7536,0,1,1.0,4,207,0.9807,1,17,0.9412,0,0,0.0,0,0,0.0,15,28,0.4643,0,0,0.0,4,9,0.5556,0,0,0.0,0,0,0.0,0,0,0.0,0,47,1.0,2.006,378,119,168,41,0
7,19,81,0.7654,0,1,1.0,4,242,0.9835,1,20,0.95,0,0,0.0,0,0,0.0,19,33,0.4242,0,0,0.0,5,11,0.5455,0,0,0.0,0,0,0.0,0,0,0.0,0,55,1.0,2.1351,443,139,185,48,0
8,22,92,0.7609,0,1,1.0,4,276,0.9855,1,23,0.9565,0,0,0.0,0,0,0.0,24,38,0.3684,0,0,0.0,5,13,0.6154,0,0,0.0,0,0,0.0,0,0,0.0,0,62,1.0,2.2228,505,153,202,56,0
9,25,104,0.7596,0,1,1.0,4,311,0.9871,2,26,0.9231,0,0,0.0,0,0,0.0,28,43,0.3488,0,0,0.0,5,14,0.6429,0,0,0.0,0,0,0.0,0,0,0.0,0,70,1.0,2.2955,569,169,220,64,0
10,26,116,0.7759,1,2,0.5,7,345,0.9797,4,28,0.8571,2,0,0.0,0,0,0.0,28,48,0.4167,0,0,0.0,6,16,0.625,0,0,0.0,0,0,0.0,0,0,0.0,0,78,1.0,2.2794,633,185,247,74,0
11,29,127,0.7717,1,2,0.5,7,380,0.9816,5,31,0.8387,2,0,0.0,0,0,0.0,31,53,0.4151,0,0,0.0,10,17,0.4118,0,0,0.0,0,0,0.0,0,0,0.0,0,86,1.0,2.2364,696,204,275,85,0
12,30,139,0.7842,1,2,0.5,7,415,0.9831,5,34,0.8529,2,0,0.0,0,0,0.0,33,57,0.4211,0,0,0.0,10,19,0.4737,0,0,0.0,0,0,0.0,0,0,0.0,0,94,1.0,2.2384,760,219,302,88,0
13,33,151,0.7815,1,2,0.5,8,449,0.9822,6,37,0.8378,2,0,0.0,0,0,0.0,33,62,0.4677,0,0,0.0,10,21,0.5238,0,0,0.0,0,0,0.0,0,0,0.0,0,102,1.0,2.2273,824,235,330,93,0
14,38,162,0.7654,1,3,0.6667,10,484,0.9793,6,40,0.85,3,0,0.0,0,0,0.0,40,67,0.403,0,0,0.0,12,22,0.4545,0,0,0.0,0,0,0.0,0,0,0.0,0,110,1.0,1.7043,888,309,460,110,0
15,49,174,0.7184,1,3,0.6667,10,518,0.9807,9,43,0.7907,4,0,0.0,0,0,0.0,44,72,0.3889,0,0,0.0,15,24,0.375,0,0,0.0,0,0,0.0,0,0,0.0,0,115,1.0,1.5865,949,339,520,132,0
16,62,185,0.6649,2,3,0.3333,12,553,0.9783,9,46,0.8043,10,0,0.0,0,0,0.0,49,77,0.3636,0,0,0.0,18,26,0.3077,0,0,0.0,0,0,0.0,0,0,0.0,0,120,1.0,1.4966,1010,399,580,162,0
17,72,197,0.6345,2,3,0.3333,13,587,0.9779,11,49,0.7755,13,0,0.0,0,0,0.0,55,82,0.3293,0,0,0.0,20,27,0.2593,0,0,0.0,0,0,0.0,0,0,0.0,0,125,1.0,1.4219,1070,435,640,186,0
18,81,209,0.6124,3,3,0.0,15,622,0.9759,11,52,0.7885,17,0,0.0,0,0,0.0,68,86,0.2093,0,0,0.0,22,29,0.2414,0,0,0.0,0,0,0.0,0,0,0.0,0,130,1.0,1.3543,1131,489,700,217,0
19,90,220,0.5909,3,3,0.0,20,657,0.9696,13,55,0.7636,22,0,0.0,0,0,0.0,71,91,0.2198,0,0,0.0,25,31,0.1935,0,0,0.0,0,0,0.0,0,0,0.0,0,136,1.0,1.3066,1193,552,760,244,0
20,101,232,0.5647,4,3,0.3333,28,691,0.9595,13,57,0.7719,28,0,0.0,0,0,0.0,84,96,0.125,0,0,0.0,29,32,0.0938,0,0,0.0,0,0,0.0,0,0,0.0,0,141,1.0,1.2476,1252,600,820,287,0
21,109,244,0.5533,5,3,0.6667,33,726,0.9545,15,60,0.75,29,0,0.0,0,0,0.0,89,101,0.1188,0,0,0.0,31,34,0.0882,0,0,0.0,0,0,0.0,0,0,0.0,0,146,1.0,1.2102,1314,655,880,311,0
22,120,255,0.5294,5,3,0.6667,39,760,0.9487,16,63,0.746,32,0,0.0,0,0,0.0,94,106,0.1132,0,0,0.0,32,35,0.0857,0,0,0.0,0,0,0.0,0,0,0.0,0,151,1.0,1.1734,1373,711,940,338,0
23,136,267,0.4906,5,3,0.6667,44,795,0.9447,17,66,0.7424,37,0,0.0,0,0,0.0,102,110,0.0727,0,0,0.0,37,37,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,156,1.0,1.134,1434,748,1000,378,0
24,151,278,0.4568,6,3,1.0,50,830,0.9398,17,69,0.7536,42,0,0.0,0,0,0.0,115,115,0.0,0,0,0.0,40,39,0.0256,0,0,0.0,0,0,0.0,1,0,0.0,0,162,1.0,1.0017,1496,862,1166,422,0
25,165,290,0.431,6,3,1.0,55,864,0.9363,19,72,0.7361,47,0,0.0,0,0,0.0,127,120,0.0583,0,0,0.0,44,40,0.1,0,0,0.0,0,0,0.0,1,0,0.0,0,167,1.0,0.9122,1556,966,1333,464,0
26,186,302,0.3841,6,3,1.0,58,899,0.9355,23,75,0.6933,51,0,0.0,0,0,0.0,147,125,0.176,0,0,0.0,52,42,0.2381,0,0,0.0,0,0,0.0,1,0,0.0,0,172,1.0,0.8453,1618,1085,1500,524,0
27,204,313,0.3482,7,3,1.3333,65,933,0.9303,24,78,0.6923,57,0,0.0,0,0,0.0,167,130,0.2846,0,0,0.0,62,44,0.4091,0,0,0.0,0,0,0.0,2,0,0.0,0,177,1.0,0.7577,1678,1257,1750,588,0
28,236,325,0.2738,7,3,1.3333,67,968,0.9308,29,81,0.642,68,0,0.0,0,0,0.0,183,135,0.3556,0,0,0.0,71,45,0.5778,0,0,0.0,0,0,0.0,2,0,0.0,0,182,1.0,0.686,1739,1445,2000,663,0
29,281,337,0.1662,7,3,1.3333,74,1002,0.9261,32,84,0.619,73,0,0.0,0,0,0.0,215,139,0.5468,0,0,0.0,80,47,0.7021,0,0,0.0,0,0,0.0,3,0,0.0,0,188,1.0,0.5652,1800,1787,2500,765,0
