#name,region,country,lat,lon,location_type,conflict_date,population
Kule,Gambela,Ethiopia,8.2793,34.2076,camp,,52624
Nguenyyiel,Gambela,Ethiopia,8.2955,34.2763,camp,,54296
Okugo,Gambela,Ethiopia,6.4879,35.1365,camp,,12353
Pugnido,Gambela,Ethiopia,7.6825,34.1843,camp,,65223
Tierkidi,Gambela,Ethiopia,8.2421,34.2452,camp,,71301
Liang,Upper_Nile,South_Sudan,9.87,33.65,conflict_zone,65,121922
Bor,Jonglei,South_Sudan,6.2089,31.5586,conflict_zone,74,305328
Pajut,Jonglei,South_Sudan,7.746,31.6892,conflict_zone,80,31562
El-galhak,Upper_Nile,South_Sudan,11.05,32.7,conflict_zone,132,17436
Malakal,Upper_Nile,South_Sudan,9.541,31.652,conflict_zone,135,181498
Awarajwok,Upper_Nile,South_Sudan,9.4969,31.6158,conflict_zone,136,5000
Bunj,Upper_Nile,South_Sudan,9.9453,33.8094,conflict_zone,137,11233
Wadakona,Upper_Nile,South_Sudan,11.6173,32.7305,conflict_zone,145,18042
Maban,Upper_Nile,South_Sudan,9.96,33.73,conflict_zone,147,65117
Gadiang,Jonglei,South_Sudan,7.4,32.0667,conflict_zone,164,20000
Panyagor,Jonglei,South_Sudan,7.1633,31.4059,conflict_zone,188,50723
Jalle,Jonglei,South_Sudan,6.7489,31.4154,conflict_zone,197,13506
Renk,Upper_Nile,South_Sudan,11.75,32.8,conflict_zone,201,198123
Kaljak,Jonglei,South_Sudan,9.04,31.27,conflict_zone,217,6552
Nasir,Upper_Nile,South_Sudan,8.6,33.0667,conflict_zone,219,302034
Duk_Fadiat,Jonglei,South_Sudan,7.7508,31.4087,conflict_zone,230,89912
Pentin,Jonglei,South_Sudan,6.91,34.43,conflict_zone,231,204176
Dentoang,Upper_Nile,South_Sudan,10.28,32.42,conflict_zone,247,70659
Owachi,Upper_Nile,South_Sudan,9.42,31.55,conflict_zone,253,5000
Wau_Shilluk,Upper_Nile,South_Sudan,9.649,31.3367,conflict_zone,254,5000
Yuai,Jonglei,South_Sudan,7.901,31.8883,conflict_zone,270,20000
Ayod,Jonglei,South_Sudan,8.1234,31.4289,conflict_zone,279,192937
Khor_Adar,Upper_Nile,South_Sudan,10.3833,32.25,conflict_zone,281,54034
Atar,Jonglei,South_Sudan,9.2533,31.3387,conflict_zone,283,21758
Pieri,Jonglei,South_Sudan,8.0448,32.0272,conflict_zone,318,18455
Pulchuol,Jonglei,South_Sudan,8.1215,31.9605,conflict_zone,318,14915
Waat,Jonglei,South_Sudan,8.1972,32.15,conflict_zone,319,14511
Walgak,Jonglei,South_Sudan,8.1593,32.2418,conflict_zone,319,6052
Gel_Achel,Upper_Nile,South_Sudan,9.09,32.4,conflict_zone,330,1876
Kodok,Upper_Nile,South_Sudan,9.888,32.117,conflict_zone,330,52648
Kaka,Upper_Nile,South_Sudan,10.5988,32.1888,conflict_zone,339,9143
Doro,Upper_Nile,South_Sudan,10.0672,33.9429,conflict_zone,358,10000
Makol_Cuei,Jonglei,South_Sudan,6.4327,31.5946,conflict_zone,391,24882
Multhiang,Upper_Nile,South_Sudan,9.01,33.5,conflict_zone,401,91442
Maiwut,Upper_Nile,South_Sudan,8.6031,33.9226,conflict_zone,422,113609
Akobo,Gambela,Ethiopia,7.874,32.9933,forward,,
Burbiey,Gambela,Ethiopia,8.4085,33.1856,forward,,
Pagak,Upper_Nile,South_Sudan,8.4907,34.0233,forward,,
Pochalla,Jonglei,South_Sudan,7.1783,34.0967,forward,,
Raad,Gambela,Ethiopia,6.5908,34.7774,forward,,
Wanke,Gambela,Ethiopia,8.4767,34.06223,forward,,
Tonga,Upper_Nile,South_Sudan,9.526972,31.646196,marker,,
Baleit,Upper_Nile,South_Sudan,9.29151,32.07544,town,,
Duk_Faiwil,Jonglei,South_Sudan,7.52141,31.49259,town,,
Kongettit,Jonglei,South_Sudan,7.49999,32.80666,town,,
Mabior_Canal,Jonglei,South_Sudan,7.40378,31.42164,town,,
Malut,Upper_Nile,South_Sudan,10.39673,32.56281,town,,
Mayot,Jonglei,South_Sudan,8.4498,33.59385,town,,
Nahr_Atiem,Jonglei,South_Sudan,7.65194,33.63582,town,,
Ofyo,Jonglei,South_Sudan,9.35954,31.55189,town,,
Padok,Upper_Nile,South_Sudan,9.738527,32.171297,town,,
Pibor,Jonglei,South_Sudan,7.13746,33.7735,town,,
Waw,Jonglei,South_Sudan,8.26109,31.31016,town,,
Panyikang,Upper_Nile,South_Sudan,9.4744,31.0451,conflict_zone,337,65117
