Day,Akobo - Nahr_Atiem,Awarajwok - Tonga,Awarajwok - Kodok,Ayod - Waw,Baleit - Padok,Baleit - Gel_Achel,Bor - Makol_Cuei,Bunj - Doro,Burbiey - Mayot,Burbiey - Akobo,Burbiey - Kule,Burbiey - Tierkidi,Dentoang - Malut,Duk_Fadiat - Yuai,Duk_Fadiat - Ayod,Duk_Faiwil - Pajut,Duk_Faiwil - Duk_Fadiat,El-galhak - Renk,Gadiang - Akobo,Gadiang - Kongettit,Gel_Achel - Nasir,Jalle - Panyagor,Kaka - Wadakona,Kaljak - Atar,Khor_Adar - Kaka,Kodok - Khor_Adar,Kongettit - Pibor,Maban - Liang,Maban - Bunj,Maban - Doro,Mabior_Canal - Duk_Faiwil,Mabior_Canal - Duk_Fadiat,Makol_Cuei - Jalle,Malakal - Baleit,Malakal - Padok,Malut - El-galhak,Malut - Maban,Mayot - Pagak,Mayot - Multhiang,Nahr_Atiem - Pibor,Nahr_Atiem - Pugnido,Nasir - Burbiey,Nasir - Akobo,Ofyo - Malakal,Ofyo - Atar,Owachi - Awarajwok,Padok - Dentoang,Pagak - Wanke,Pagak - Tierkidi,Pagak - Kule,Pagak - Nguenyyiel,Pagak - Maiwut,Pajut - Yuai,Pajut - Gadiang,Panyagor - Mabior_Canal,Panyikang - Wau_Shilluk,Pentin - Raad,Pibor - Pochalla,Pieri - Pulchuol,Pochalla - Pentin,Pulchuol - Walgak,Raad - Okugo,Renk - Doro,Tierkidi - Nguenyyiel,Tierkidi - Kule,Tonga - Malakal,Walgak - Waat,Walgak - Akobo,Wau_Shilluk - Owachi,Waw - Ofyo,Waw - Kaljak,Yuai - Gadiang,Yuai - Pieri,Yuai - Pulchuol
0,0.013571233,0.09711832,0.12532249,0.15142560000000002,0.12532249,0.09294227,0.08563325,0.0062584877,0.013571233,0.013571233,0.0,0.0,0.12532249,0.0574328,0.0574328,0.0574328,0.0574328,0.0,0.0574328,0.0574328,0.055335462,0.0010430813,0.0,0.32061338,0.12532249,0.12532249,0.0,0.0062584877,0.0062584877,0.0062584877,0.0574328,0.0574328,0.0010430813,0.09294227,0.12532249,0.0,0.013574958,0.0,0.2119951,0.0,0.0,0.013571233,0.013571233,0.09294227,0.09294227,0.12532249,0.12532249,0.0,0.0,0.0,0.0,0.0,0.0574328,0.0574328,0.0010430813,0.09711832,0.010441989,0.0,0.0574328,0.0,0.0574328,0.0010430813,0.0,0.0,0.0,0.09711832,0.0574328,0.013571233,0.09711832,0.32061338,0.32061338,0.0574328,0.0574328,0.0574328
1,0.0,0.0,0.03550574,0.041767955,0.03550574,0.058479607,0.0010430813,0.036548823,0.0,0.0,0.0,0.0,0.03550574,0.028192997,0.028192997,0.028192997,0.028192997,0.012524426000000002,0.028192997,0.028192997,0.0,0.004172325,0.0,0.035502017000000004,0.03550574,0.03550574,0.0,0.036548823,0.036548823,0.036548823,0.028192997,0.028192997,0.004172325,0.058479607,0.03550574,0.012524426000000002,0.018797815,0.0,0.0,0.0,0.0,0.0,0.0,0.058479607,0.058479607,0.03550574,0.03550574,0.0,0.0,0.0,0.0,0.0,0.028192997,0.028192997,0.004172325,0.0,0.007309019599999999,0.009398907,0.028192997,0.009398907,0.028192997,0.01566112,0.012524426000000002,0.0,0.0,0.0,0.028192997,0.0,0.0,0.035502017000000004,0.035502017000000004,0.028192997,0.028192997,0.028192997
2,0.0,0.043861568,0.044900924,0.12009591,0.044900924,0.11487678,0.29240920000000004,0.42609125,0.0,0.0,0.007305294300000001,0.007305294300000001,0.044900924,0.04490465,0.04490465,0.04490465,0.04490465,0.0010430813,0.04490465,0.04490465,0.02610311,0.12322515,0.0,0.5054586,0.044900924,0.044900924,0.032369047000000005,0.42609125,0.42609125,0.42609125,0.04490465,0.04490465,0.12322515,0.11487678,0.044900924,0.0010430813,0.004172325,0.007305294300000001,0.021923333,0.007305294300000001,0.007305294300000001,0.0,0.0,0.11487678,0.11487678,0.044900924,0.044900924,0.007305294300000001,0.007305294300000001,0.007305294300000001,0.007305294300000001,0.007305294300000001,0.04490465,0.04490465,0.12322515,0.043861568,0.21094829,0.016704201999999998,0.04490465,0.016704201999999998,0.04490465,0.010438263,0.0010430813,0.007305294300000001,0.007305294300000001,0.043861568,0.04490465,0.0,0.043861568,0.5054586,0.5054586,0.04490465,0.04490465,0.04490465
3,0.039678067000000004,1.0913386,0.30181184,0.2005063,0.30181184,0.22870675,0.41982159999999996,0.05220622,0.039678067000000004,0.039678067000000004,0.033415854,0.033415854,0.30181184,0.19528717,0.19528717,0.19528717,0.19528717,0.09711832,0.19528717,0.19528717,0.12844801,0.05220622,0.07519126,0.554543,0.30181184,0.30181184,0.08250028,0.05220622,0.05220622,0.05220622,0.19528717,0.19528717,0.05220622,0.22870675,0.30181184,0.09711832,0.11591613,0.033415854,0.18484145,0.033415854,0.033415854,0.039678067000000004,0.039678067000000004,0.22870675,0.22870675,0.30181184,0.30181184,0.033415854,0.033415854,0.033415854,0.033415854,0.033415854,0.19528717,0.19528717,0.05220622,1.0913386,0.47621503,0.0,0.19528717,0.0,0.19528717,0.073097646,0.09711832,0.033415854,0.033415854,1.0913386,0.19528717,0.039678067000000004,1.0913386,0.554543,0.554543,0.19528717,0.19528717,0.19528717
4,2.5064275,4.551273,6.5062976,25.813226999999998,6.5062976,5.2436776,9.573564,0.23287907,2.5064275,2.5064275,0.28927252,0.28927252,6.5062976,1.2552999,1.2552999,1.2552999,1.2552999,0.36864728,1.2552999,1.2552999,1.2009926000000002,4.3591074999999995,3.0891857000000003,6.176289,6.5062976,6.5062976,1.3889782,0.23287907,0.23287907,0.23287907,1.2552999,1.2552999,4.3591074999999995,5.2436776,6.5062976,0.36864728,7.402353,0.28927252,1.1372864,0.28927252,0.28927252,2.5064275,2.5064275,5.2436776,5.2436776,6.5062976,6.5062976,0.28927252,0.28927252,0.28927252,0.28927252,0.28927252,1.2552999,1.2552999,4.3591074999999995,4.551273,0.11799857,0.03759563,1.2552999,0.03759563,1.2552999,0.04490465,0.36864728,0.28927252,0.28927252,4.551273,1.2552999,2.5064275,4.551273,6.176289,6.176289,1.2552999,1.2552999,1.2552999
5,0.74252486,0.036545098,0.23183599,0.36342815,0.23183599,0.8145794,0.27883053,0.95870346,0.74252486,0.74252486,0.0448972,0.0448972,0.23183599,1.3294481000000002,1.3294481000000002,1.3294481000000002,1.3294481000000002,0.52529204,1.3294481000000002,1.3294481000000002,5.308419000000001,2.5649145,0.17961487,0.90022016,0.23183599,0.23183599,0.008348376,0.95870346,0.95870346,0.95870346,1.3294481000000002,1.3294481000000002,2.5649145,0.8145794,0.23183599,0.52529204,2.6359334,0.0448972,0.45949966,0.0448972,0.0448972,0.74252486,0.74252486,0.8145794,0.8145794,0.23183599,0.23183599,0.0448972,0.0448972,0.0448972,0.0448972,0.0448972,1.3294481000000002,1.3294481000000002,2.5649145,0.036545098,0.12009218,0.04281476,1.3294481000000002,0.04281476,1.3294481000000002,0.061612575999999995,0.52529204,0.0448972,0.0448972,0.036545098,1.3294481000000002,0.74252486,0.036545098,0.90022016,0.90022016,1.3294481000000002,1.3294481000000002,1.3294481000000002
6,3.0860417,0.118002295,0.018790364,0.62868744,0.018790364,0.076230615,0.55140626,0.41563436,3.0860417,3.0860417,1.0934248,1.0934248,0.018790364,3.4233703999999996,3.4233703999999996,3.4233703999999996,3.4233703999999996,0.13367087,3.4233703999999996,3.4233703999999996,0.3665425,0.49501285,0.1649931,0.32582134,0.018790364,0.018790364,0.14097616,0.41563436,0.41563436,0.41563436,3.4233703999999996,3.4233703999999996,0.49501285,0.076230615,0.018790364,0.13367087,0.15037507,1.0934248,1.0328442,1.0934248,1.0934248,3.0860417,3.0860417,0.076230615,0.076230615,0.018790364,0.018790364,1.0934248,1.0934248,1.0934248,1.0934248,1.0934248,3.4233703999999996,3.4233703999999996,0.49501285,0.118002295,0.028189272,0.013571233,3.4233703999999996,0.013571233,3.4233703999999996,0.11174008,0.13367087,1.0934248,1.0934248,0.118002295,3.4233703999999996,3.0860417,0.118002295,0.32582134,0.32582134,3.4233703999999996,3.4233703999999996,3.4233703999999996
7,0.14515221,0.26107952,0.64748895,0.30076504,0.64748895,0.71431696,0.055339187000000005,0.44905022,0.14515221,0.14515221,0.0010430813,0.0010430813,0.64748895,1.3148301000000002,1.3148301000000002,1.3148301000000002,1.3148301000000002,1.0902956,1.3148301000000002,1.3148301000000002,0.2788268,0.059518963,0.13993308,0.43756887,0.64748895,0.64748895,0.024013221,0.44905022,0.44905022,0.44905022,1.3148301000000002,1.3148301000000002,0.059518963,0.71431696,0.64748895,1.0902956,2.4573392999999997,0.0010430813,0.13262406,0.0010430813,0.0010430813,0.14515221,0.14515221,0.71431696,0.71431696,0.64748895,0.64748895,0.0010430813,0.0010430813,0.0010430813,0.0010430813,0.0010430813,1.3148301000000002,1.3148301000000002,0.059518963,0.26107952,0.013571233,0.025060027999999998,1.3148301000000002,0.025060027999999998,1.3148301000000002,0.061612575999999995,1.0902956,0.0010430813,0.0010430813,0.26107952,1.3148301000000002,0.14515221,0.26107952,0.43756887,0.43756887,1.3148301000000002,1.3148301000000002,1.3148301000000002
8,10.118704,1.9873903000000002,1.8181987000000002,1.1362396000000001,1.8181987000000002,1.6155988000000001,1.1612997,1.871463,10.118704,10.118704,0.056385994,0.056385994,1.8181987000000002,4.529342,4.529342,4.529342,4.529342,0.27465448,4.529342,4.529342,0.8177012,6.907328999999999,0.11800602,4.141878,1.8181987000000002,1.8181987000000002,3.1769016,1.871463,1.871463,1.871463,4.529342,4.529342,6.907328999999999,1.6155988000000001,1.8181987000000002,0.27465448,4.5168066,0.056385994,0.5931705,0.056385994,0.056385994,10.118704,10.118704,1.6155988000000001,1.6155988000000001,1.8181987000000002,1.8181987000000002,0.056385994,0.056385994,0.056385994,0.056385994,0.056385994,4.529342,4.529342,6.907328999999999,1.9873903000000002,0.10129437,0.17753616,4.529342,0.17753616,4.529342,0.11277571,0.27465448,0.056385994,0.056385994,1.9873903000000002,4.529342,10.118704,1.9873903000000002,4.141878,4.141878,4.529342,4.529342,4.529342
9,2.7967652999999997,0.3247857,0.99734217,0.22661686,0.99734217,0.30494479999999996,0.0031329691,0.055335462,2.7967652999999997,2.7967652999999997,0.30807033,0.30807033,0.99734217,0.07309392,0.07309392,0.07309392,0.07309392,2.5283546,0.07309392,0.07309392,0.12740493,0.007301569,0.5555711999999999,0.43652579999999996,0.99734217,0.99734217,0.21199882,0.055335462,0.055335462,0.055335462,0.07309392,0.07309392,0.007301569,0.30494479999999996,0.99734217,2.5283546,0.9774976000000001,0.30807033,1.5853196000000003,0.30807033,0.30807033,2.7967652999999997,2.7967652999999997,0.30494479999999996,0.30494479999999996,0.99734217,0.99734217,0.30807033,0.30807033,0.30807033,0.30807033,0.30807033,0.07309392,0.07309392,0.007301569,0.3247857,0.033415854,0.0,0.07309392,0.0,0.07309392,0.19842014,2.5283546,0.30807033,0.30807033,0.3247857,0.07309392,2.7967652999999997,0.3247857,0.43652579999999996,0.43652579999999996,0.07309392,0.07309392,0.07309392
