Day,Kule sim,Kule data,Kule error,Nguenyyiel sim,Nguenyyiel data,Nguenyyiel error,Okugo sim,Okugo data,Okugo error,Pugnido sim,Pugnido data,Pugnido error,Tierkidi sim,Tierkidi data,Tierkidi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,24366,1.0,0,50,1.0,0,35,1.0,0,31459,1.0,0,4435,1.0,1.0,60345,0,60345,0,0
2,0,48733,1.0,0,100,1.0,0,71,1.0,1,62919,0.9999841065496908,0,8870,1.0,0.9999917145153405,120693,881,120693,1,0
3,0,48733,1.0,0,150,1.0,1,107,0.9906542056074766,3,65287,0.999954049044986,0,13305,1.0,0.9999686476148673,127582,521,127582,4,0
4,0,48734,1.0,0,201,1.0,4,143,0.972027972027972,4,67656,0.9999408773796855,0,17741,1.0,0.9999405093883621,134475,1042,134475,8,0
5,0,48734,1.0,0,251,1.0,8,179,0.9553072625698324,5,70025,0.999928596929668,0,22176,1.0,0.999908039472288,141365,943,141365,13,0
6,1,48735,0.9999794808659075,0,301,1.0,13,214,0.9392523364485982,7,72394,0.9999033069038871,1,26611,0.999962421554996,0.9998516070284308,148255,1259,148255,22,0
7,1,48736,0.9999794812869337,0,352,1.0,17,250,0.9319999999999999,14,74763,0.9998127415967791,3,31047,0.9999033723065031,0.9997744089514528,155148,1348,155148,35,0
8,1,48736,0.9999794812869337,0,402,1.0,25,286,0.9125874125874126,19,77132,0.9997536690349013,3,35482,0.9999154500873683,0.999703773189005,162038,1543,162038,48,0
9,2,48737,0.9999589634158853,0,452,1.0,32,322,0.9006211180124224,27,79501,0.9996603816304197,3,39917,0.9999248440514067,0.9996211426102091,168929,1649,168929,64,0
10,3,48753,0.9999384653252108,0,503,1.0,44,358,0.8770949720670391,44,79501,0.9994465478421655,4,44352,0.9999098124098124,0.999452345402872,173467,1864,173467,95,0
11,4,48769,0.9999179806844511,0,553,1.0,51,393,0.8702290076335878,49,79501,0.9993836555515025,4,48788,0.9999180126260556,0.999393272061302,178004,1988,178004,108,0
12,4,48785,0.9999180075842985,0,603,1.0,65,429,0.8484848484848485,59,79501,0.9992578709701765,6,53223,0.9998872667831576,0.9992659183416328,182541,2110,182541,134,0
13,4,48801,0.9999180344665068,0,653,1.0,79,465,0.8301075268817204,65,79501,0.9991824002213808,8,57658,0.9998612508238233,0.9991661232213301,187078,2284,187078,156,0
14,6,48817,0.9998770919966405,0,704,1.0,99,501,0.8023952095808383,79,79501,0.9990063018075245,8,62094,0.9998711630753374,0.998998001221186,191617,2379,191617,192,0
15,7,48833,0.9998566543116335,0,754,1.0,117,537,0.782122905027933,95,79501,0.9988050464774028,10,66529,0.9998496896090426,0.9988325499352549,196154,2421,196154,229,0
16,8,48849,0.999836230014944,0,804,1.0,137,572,0.7604895104895105,111,79501,0.9986037911472812,12,70964,0.9998309001747365,0.9986646071054861,200690,2488,200690,268,0
17,8,48865,0.9998362836385961,0,855,1.0,157,608,0.7417763157894737,133,79501,0.9983270650683639,14,75400,0.9998143236074271,0.9984797470143109,205229,2451,205229,312,0
18,8,48881,0.9998363372271435,0,905,1.0,177,644,0.7251552795031055,155,79501,0.9980503389894467,15,79835,0.9998121124819941,0.9983076380347625,209766,2486,209766,355,0
19,12,48897,0.9997545861709307,0,955,1.0,203,680,0.7014705882352941,174,79501,0.9978113482849272,18,84270,0.9997864008543966,0.9981008198671973,214303,2455,214303,407,0
20,12,48914,0.9997546714642025,0,1006,1.0,224,716,0.6871508379888268,193,79501,0.9975723575804077,22,88705,0.9997519869229469,0.9979391524478848,218842,2518,218842,451,0
21,14,48930,0.9997138769670959,0,1056,1.0,240,751,0.6804260985352863,216,79501,0.997283053043358,23,93141,0.9997530625610633,0.9977929885978539,223379,2540,223379,493,0
22,16,48946,0.9996731091406856,0,1106,1.0,268,787,0.659466327827192,236,79501,0.997031483880706,23,97576,0.9997642862999098,0.9976175433054283,227916,2574,227916,543,0
23,18,48962,0.9996323679588253,1,1157,0.9991356957649092,290,823,0.6476306196840826,255,79501,0.9967924931761865,24,102011,0.9997647312544725,0.9974704672752459,232454,2660,232454,588,0
24,20,48966,0.9995915533227138,1,1207,0.9991714995857498,310,859,0.6391152502910361,267,77106,0.9965372344564626,25,102016,0.9997549404015057,0.997293116782676,230154,2576,230154,623,2300
25,22,48971,0.9995507545281902,1,1257,0.9992044550517104,343,895,0.6167597765363129,284,74712,0.996198736481422,30,102020,0.9997059400117624,0.9970156459151653,227855,2739,227855,680,4599
26,25,48975,0.9994895354772844,1,1307,0.9992348890589136,366,930,0.6064516129032258,305,72317,0.9957824577900078,32,102024,0.9996863483102015,0.9967679436762091,225553,2600,225553,729,6901
27,27,48980,0.9994487545937117,1,1358,0.9992636229749632,393,966,0.5931677018633541,324,69923,0.9953663315361183,34,102029,0.9996667614109714,0.9965107320743899,223256,2784,223256,779,9198
28,28,48985,0.9994283964478922,2,1408,0.9985795454545454,425,1002,0.5758483033932136,338,67528,0.9949946688780951,37,102033,0.9996373722227122,0.9962435960100654,220956,2656,220956,830,11498
29,31,48989,0.9993672048827288,2,1458,0.9986282578875172,454,1038,0.5626204238921002,352,65134,0.9945957564405686,37,102038,0.9996373899919638,0.9959937253323699,218657,2819,218657,876,13797
30,31,48994,0.9993672694615667,2,1509,0.998674618952949,486,1074,0.547486033519553,374,62740,0.9940388906598661,40,102042,0.9996080045471473,0.9956877227201087,216359,2753,216359,933,16095
31,32,49008,0.999347045380346,2,1559,0.9987171263630532,514,1109,0.5365193868349865,401,65113,0.9938414755885921,43,102050,0.9995786379225869,0.9954669871458013,218839,2865,218839,992,13615
32,38,49022,0.999224837827914,3,1609,0.9981354878806712,551,1145,0.5187772925764191,425,67487,0.9937024908500897,44,102059,0.9995688768261496,0.9952060798293888,221322,2896,221322,1061,11132
33,39,49037,0.999204682178763,3,1660,0.9981927710843373,565,1181,0.5215918712955123,445,69860,0.9936301173776124,48,102067,0.9995297206736752,0.9950850070373762,223805,2860,223805,1100,8649
34,43,49051,0.9991233613993599,3,1710,0.9982456140350877,594,1217,0.5119145439605588,462,72234,0.9936041199435169,50,102075,0.9995101640950281,0.9949091198345464,226287,2960,226287,1152,6167
35,47,49065,0.9990420870274126,3,1760,0.9982954545454545,616,1253,0.5083798882681565,483,74607,0.993526076641602,51,102083,0.9995004065319397,0.9947545111204364,228768,2923,228768,1200,3686
